site,metric,universe,n,spearman_rho,p_value,bootstrap_95_ci_low,bootstrap_95_ci_high,bootstrap_repetitions
cn,weighted_sum,matched_characters_only,118,0.5599197248303903,4.3421891314088017e-11,0.41749339696059073,0.6784346550633633,5000
cn,weighted_mean,matched_characters_only,118,0.6308489891399517,1.9110856221808562e-14,0.49005941295172273,0.7413637164315405,5000
cn,weighted_sum,all_characters_missing_music_as_zero,122,0.5297607935878117,3.5092216130933454e-10,0.38156451218744514,0.6529891817365562,5000
cn,weighted_mean,all_characters_missing_music_as_zero,122,0.595308397829735,4.770570755042139e-13,0.45910207438088546,0.7133536328534871,5000
cn,song_count_vs_weighted_sum,matched_characters_only,118,-0.04528992345807261,0.6262673047317422,-0.2551889304617512,0.17383844331740753,5000
cn,song_count_vs_weighted_mean,matched_characters_only,118,0.17696227290308053,0.05523828853186424,0.0012306436185321392,0.3473190639513289,5000
jp,weighted_sum,matched_characters_only,118,0.6408914032052099,5.427335505101969e-15,0.504481083066605,0.7513817222175388,5000
jp,weighted_mean,matched_characters_only,118,0.7174392976878535,6.26886005645777e-20,0.5884339359632778,0.8161771949453387,5000
jp,weighted_sum,all_characters_missing_music_as_zero,122,0.6045784627937472,1.6568821395475948e-13,0.46395320491645264,0.7218639776514351,5000
jp,weighted_mean,all_characters_missing_music_as_zero,122,0.6757784297762731,1.3521100056075362e-17,0.5441796992404542,0.7809890967615403,5000
jp,song_count_vs_weighted_sum,matched_characters_only,118,-0.04010890685998121,0.6663012909612738,-0.2554344177040487,0.17806548852974285,5000
jp,song_count_vs_weighted_mean,matched_characters_only,118,0.1946199669194936,0.03469963795357512,0.014545763398669103,0.3754654207157917,5000
