character_cn,poll_region_alignment,title_mention_video_count,interpretation_limit
博丽灵梦,region_unspecified,14,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
古明地恋,region_unspecified,8,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
雾雨魔理沙,region_unspecified,6,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
魂魄妖梦,region_unspecified,3,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
芙兰朵露·斯卡蕾特,region_unspecified,3,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
蕾米莉亚·斯卡蕾特,jp_poll,2,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
露米娅,region_unspecified,2,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
琪露诺,region_unspecified,2,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
红美铃,jp_poll,2,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
博丽灵梦,jp_poll,2,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
藤原妹红,cn_poll,2,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
雾雨魔理沙,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
堀川雷鼓,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
大妖精,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
妖精（女仆妖精、向日葵妖精等）,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
比那名居天子,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
红美铃,cn_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
西行寺幽幽子,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
魂魄妖梦,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
芙兰朵露·斯卡蕾特,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
霍青娥,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
鬼人正邪,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
云居一轮,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
博丽灵梦,cn_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
蕾米莉亚·斯卡蕾特,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
古明地觉,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
射命丸文,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
宫出口瑞灵,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
妖精（女仆妖精、向日葵妖精等）,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
大妖精,cn_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
清兰,jp_poll,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
圣白莲,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
比那名居天子,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
冴月麟,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
萨丽爱尔,region_unspecified,1,仅为本查询题名命中数，不是角色全站作品量、支持率或投票转化量。
