year,content_category,poll_region_alignment,video_count
2011,other_direct_poll_item,region_unspecified,1
2011,result_or_ranking,cn_poll,1
2011,result_or_ranking,jp_poll,1
2011,result_or_ranking,region_unspecified,3
2011,support_or_mobilization,region_unspecified,1
2012,meme_or_derivative,region_unspecified,2
2012,other_direct_poll_item,region_unspecified,3
2012,result_or_ranking,jp_poll,3
2012,result_or_ranking,region_unspecified,3
2013,longitudinal_analysis,region_unspecified,1
2013,other_direct_poll_item,region_unspecified,2
2013,result_or_ranking,jp_poll,3
2013,result_or_ranking,region_unspecified,3
2014,longitudinal_analysis,jp_poll,1
2014,meme_or_derivative,region_unspecified,1
2014,other_direct_poll_item,jp_poll,1
2014,result_or_ranking,jp_poll,1
2014,result_or_ranking,region_unspecified,3
2015,longitudinal_analysis,jp_poll,2
2015,meme_or_derivative,region_unspecified,2
2015,other_direct_poll_item,jp_poll,1
2015,result_or_ranking,jp_poll,4
2015,result_or_ranking,region_unspecified,2
2016,longitudinal_analysis,cn_poll,1
2016,longitudinal_analysis,jp_poll,3
2016,meme_or_derivative,region_unspecified,1
2016,other_direct_poll_item,jp_poll,1
2016,other_direct_poll_item,region_unspecified,2
2016,result_or_ranking,jp_poll,5
2016,support_or_mobilization,region_unspecified,3
2017,longitudinal_analysis,jp_poll,1
2017,meme_or_derivative,region_unspecified,2
2017,result_or_ranking,jp_poll,1
2017,result_or_ranking,region_unspecified,2
2017,rules_or_discussion,cn_poll,1
2017,support_or_mobilization,jp_poll,2
2017,support_or_mobilization,region_unspecified,1
2018,longitudinal_analysis,jp_poll,1
2018,longitudinal_analysis,region_unspecified,3
2018,meme_or_derivative,jp_poll,1
2018,other_direct_poll_item,cn_poll,1
2018,other_direct_poll_item,jp_poll,4
2018,other_direct_poll_item,region_unspecified,3
2018,result_or_ranking,cn_poll,2
2018,result_or_ranking,jp_poll,7
2018,result_or_ranking,region_unspecified,1
2018,support_or_mobilization,jp_poll,1
2018,support_or_mobilization,region_unspecified,4
2019,longitudinal_analysis,cn_poll,1
2019,meme_or_derivative,region_unspecified,1
2019,other_direct_poll_item,cn_poll,1
2019,other_direct_poll_item,region_unspecified,2
2019,result_or_ranking,jp_poll,4
2019,result_or_ranking,region_unspecified,1
2019,rules_or_discussion,cn_poll,1
2019,support_or_mobilization,jp_poll,1
2019,support_or_mobilization,region_unspecified,1
2020,longitudinal_analysis,jp_poll,1
2020,longitudinal_analysis,region_unspecified,1
2020,meme_or_derivative,jp_poll,1
2020,meme_or_derivative,region_unspecified,3
2020,other_direct_poll_item,jp_poll,3
2020,other_direct_poll_item,region_unspecified,4
2020,result_or_ranking,jp_poll,6
2020,result_or_ranking,region_unspecified,1
2020,support_or_mobilization,region_unspecified,4
2021,longitudinal_analysis,jp_poll,2
2021,meme_or_derivative,cn_poll,1
2021,meme_or_derivative,jp_poll,1
2021,meme_or_derivative,region_unspecified,3
2021,other_direct_poll_item,cn_poll,2
2021,other_direct_poll_item,region_unspecified,2
2021,result_or_ranking,cn_poll,1
2021,result_or_ranking,jp_poll,10
2021,result_or_ranking,region_unspecified,1
2021,support_or_mobilization,region_unspecified,2
2022,longitudinal_analysis,cn_poll,1
2022,longitudinal_analysis,jp_poll,1
2022,meme_or_derivative,cn_poll,3
2022,meme_or_derivative,jp_poll,1
2022,meme_or_derivative,region_unspecified,2
2022,other_direct_poll_item,cn_poll,2
2022,other_direct_poll_item,region_unspecified,9
2022,result_or_ranking,cn_poll,7
2022,result_or_ranking,jp_poll,4
2022,result_or_ranking,region_unspecified,8
2022,rules_or_discussion,cn_poll,1
2022,support_or_mobilization,cn_poll,2
2022,support_or_mobilization,region_unspecified,6
2023,meme_or_derivative,region_unspecified,5
2023,other_direct_poll_item,cn_poll,1
2023,other_direct_poll_item,region_unspecified,11
2023,result_or_ranking,jp_poll,2
2023,result_or_ranking,region_unspecified,9
2023,support_or_mobilization,cn_poll,1
2023,support_or_mobilization,region_unspecified,4
2024,longitudinal_analysis,region_unspecified,1
2024,meme_or_derivative,cn_poll,1
2024,meme_or_derivative,region_unspecified,4
2024,other_direct_poll_item,cn_poll,1
2024,other_direct_poll_item,jp_poll,1
2024,other_direct_poll_item,region_unspecified,7
2024,result_or_ranking,cn_poll,5
2024,result_or_ranking,jp_poll,3
2024,result_or_ranking,region_unspecified,4
2024,support_or_mobilization,region_unspecified,4
2025,longitudinal_analysis,region_unspecified,6
2025,meme_or_derivative,cn_poll,3
2025,meme_or_derivative,region_unspecified,2
2025,other_direct_poll_item,region_unspecified,20
2025,result_or_ranking,jp_poll,2
2025,result_or_ranking,region_unspecified,6
2025,support_or_mobilization,region_unspecified,5
2026,longitudinal_analysis,region_unspecified,1
2026,meme_or_derivative,cn_poll,1
2026,meme_or_derivative,region_unspecified,2
2026,other_direct_poll_item,region_unspecified,10
2026,result_or_ranking,jp_poll,2
2026,result_or_ranking,region_unspecified,4
2026,rules_or_discussion,jp_poll,1
2026,rules_or_discussion,region_unspecified,1
2026,support_or_mobilization,jp_poll,1
2026,support_or_mobilization,region_unspecified,4
