region,round,round_status,poll_period,character_cn,character_cn_raw,character_jp,rank,candidate_count,top_percentile,points_jp,primary_jp,official_support_jp,votes_cn,primary_cn,weighted_score_cn,community_event_count,community_event_ids,community_platforms,comment_or_danmaku_sample_count,evidence_status,timeline_limit
cn,1,complete,,博丽灵梦,博丽灵梦,,1,138,100.0,,,,1728,491,2219,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,芙兰朵露·斯卡蕾特,芙兰朵露·斯卡蕾特,,2,138,99.2701,,,,1385,374,1759,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,西行寺幽幽子,西行寺幽幽子,,2,138,99.2701,,,,1385,306,1691,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,蕾米莉亚·斯卡蕾特,蕾米莉亚·斯卡蕾特,,4,138,97.8102,,,,1323,290,1613,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,十六夜咲夜,十六夜咲夜,,5,138,97.0803,,,,1138,252,1390,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,雾雨魔理沙,雾雨魔理沙,,6,138,96.3504,,,,1111,274,1385,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,八云紫,八云紫,,7,138,95.6204,,,,1099,257,1356,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,爱丽丝·玛格特洛依德,爱丽丝·玛格特洛依德,,8,138,94.8905,,,,1028,264,1292,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,帕秋莉·诺蕾姬,帕秋莉·诺蕾姬,,9,138,94.1606,,,,929,206,1135,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
cn,1,complete,,藤原妹红,藤原妹红,,10,138,93.4307,,,,915,237,1152,0,,,0,no_curated_evidence_yet,0表示当前证据表未收录，不表示当届没有讨论；社媒指标与票数始终分列。
