round,rank,character_cn,vote_count,primary_count,primary_rate,weighted_score,vote_share,primary_share,male_count,male_rate,female_count,female_rate,source_path,source_sheet,region,character_cn_raw,character_key,candidate_count,top_percentile,rank_fraction
1,1,博丽灵梦,1728,491,0.2841,2219,0.2715,0.0916,,0.7986,,0.2014,TouhouVote_cn.xlsx,1,cn,博丽灵梦,博丽灵梦,138,100.0,0.007246
1,2,芙兰朵露·斯卡蕾特,1385,374,0.27,1759,0.2176,0.0698,,0.6917,,0.3083,TouhouVote_cn.xlsx,1,cn,芙兰朵露·斯卡蕾特,芙兰朵露斯卡蕾特,138,99.2701,0.014493
1,2,西行寺幽幽子,1385,306,0.2209,1691,0.2176,0.0571,,0.7213,,0.2787,TouhouVote_cn.xlsx,1,cn,西行寺幽幽子,西行寺幽幽子,138,99.2701,0.014493
1,4,蕾米莉亚·斯卡蕾特,1323,290,0.2192,1613,0.2079,0.0541,,0.7067,,0.2933,TouhouVote_cn.xlsx,1,cn,蕾米莉亚·斯卡蕾特,蕾米莉亚斯卡蕾特,138,97.8102,0.028986
1,5,十六夜咲夜,1138,252,0.2214,1390,0.1788,0.047,,0.7724,,0.2276,TouhouVote_cn.xlsx,1,cn,十六夜咲夜,十六夜咲夜,138,97.0803,0.036232
1,6,雾雨魔理沙,1111,274,0.2466,1385,0.1745,0.0511,,0.6571,,0.3429,TouhouVote_cn.xlsx,1,cn,雾雨魔理沙,雾雨魔理沙,138,96.3504,0.043478
1,7,八云紫,1099,257,0.2338,1356,0.1727,0.048,,0.7616,,0.2384,TouhouVote_cn.xlsx,1,cn,八云紫,八云紫,138,95.6204,0.050725
1,8,爱丽丝·玛格特洛依德,1028,264,0.2568,1292,0.1615,0.0493,,0.7422,,0.2578,TouhouVote_cn.xlsx,1,cn,爱丽丝·玛格特洛依德,爱丽丝玛格特洛依德,138,94.8905,0.057971
1,9,帕秋莉·诺蕾姬,929,206,0.2217,1135,0.146,0.0384,,0.7513,,0.2487,TouhouVote_cn.xlsx,1,cn,帕秋莉·诺蕾姬,帕秋莉诺蕾姬,138,94.1606,0.065217
1,10,藤原妹红,915,237,0.259,1152,0.1438,0.0442,,0.5617,,0.4383,TouhouVote_cn.xlsx,1,cn,藤原妹红,藤原妹红,138,93.4307,0.072464
1,11,琪露诺,892,200,0.2242,1092,0.1401,0.0373,,0.8061,,0.1939,TouhouVote_cn.xlsx,1,cn,琪露诺,琪露诺,138,92.7007,0.07971
1,12,魂魄妖梦,885,187,0.2113,1072,0.139,0.0349,,0.7729,,0.2271,TouhouVote_cn.xlsx,1,cn,魂魄妖梦,魂魄妖梦,138,91.9708,0.086957
1,13,东风谷早苗,756,153,0.2024,909,0.1188,0.0286,,0.8214,,0.1786,TouhouVote_cn.xlsx,1,cn,东风谷早苗,东风谷早苗,138,91.2409,0.094203
1,14,射命丸文,681,142,0.2085,823,0.107,0.0265,,0.7606,,0.2394,TouhouVote_cn.xlsx,1,cn,射命丸文,射命丸文,138,90.5109,0.101449
1,15,古明地觉,664,148,0.2229,812,0.1043,0.0276,,0.747,,0.253,TouhouVote_cn.xlsx,1,cn,古明地觉,古明地觉,138,89.781,0.108696
1,16,伊吹萃香,646,109,0.1687,755,0.1015,0.0203,,0.808,,0.192,TouhouVote_cn.xlsx,1,cn,伊吹萃香,伊吹萃香,138,89.0511,0.115942
1,17,风见幽香,560,104,0.1857,664,0.088,0.0194,,0.6929,,0.3071,TouhouVote_cn.xlsx,1,cn,风见幽香,风见幽香,138,88.3212,0.123188
1,18,铃仙·优昙华院·因幡,544,83,0.1526,627,0.0855,0.0155,,0.8438,,0.1563,TouhouVote_cn.xlsx,1,cn,铃仙·优昙华院·因幡,铃仙优昙华院因幡,138,87.5912,0.130435
1,19,古明地恋,519,68,0.131,587,0.0815,0.0127,,0.6281,,0.3719,TouhouVote_cn.xlsx,1,cn,古明地恋,古明地恋,138,86.8613,0.137681
1,20,比那名居天子,496,73,0.1472,569,0.0779,0.0136,,0.8266,,0.1734,TouhouVote_cn.xlsx,1,cn,比那名居天子,比那名居天子,138,86.1314,0.144928
1,21,蓬莱山辉夜,474,97,0.2046,571,0.0745,0.0181,,0.6603,,0.3397,TouhouVote_cn.xlsx,1,cn,蓬莱山辉夜,蓬莱山辉夜,138,85.4015,0.152174
1,22,键山雏,438,79,0.1804,517,0.0688,0.0147,,0.7192,,0.2808,TouhouVote_cn.xlsx,1,cn,键山雏,键山雏,138,84.6715,0.15942
1,23,红美铃,427,76,0.178,503,0.0671,0.0142,,0.7424,,0.2576,TouhouVote_cn.xlsx,1,cn,红美铃,红美铃,138,83.9416,0.166667
1,24,洩矢诹访子,361,61,0.169,422,0.0567,0.0114,,0.7341,,0.2659,TouhouVote_cn.xlsx,1,cn,洩矢诹访子,洩矢诹访子,138,83.2117,0.173913
1,25,四季映姬·夜摩仙那度,340,36,0.1059,376,0.0534,0.0067,,0.6088,,0.3912,TouhouVote_cn.xlsx,1,cn,四季映姬·夜摩仙那度,四季映姬夜摩仙那度,138,82.4818,0.181159
1,26,上白泽慧音,309,35,0.1133,344,0.0485,0.0065,,0.5955,,0.4045,TouhouVote_cn.xlsx,1,cn,上白泽慧音,上白泽慧音,138,81.7518,0.188406
1,27,灵乌路空,301,68,0.2259,369,0.0473,0.0127,,0.7608,,0.2392,TouhouVote_cn.xlsx,1,cn,灵乌路空,灵乌路空,138,81.0219,0.195652
1,28,露米娅,267,39,0.1461,306,0.0419,0.0073,,0.7715,,0.2285,TouhouVote_cn.xlsx,1,cn,露米娅,露米娅,138,80.292,0.202899
1,29,圣白莲,241,37,0.1535,278,0.0379,0.0069,,0.7925,,0.2075,TouhouVote_cn.xlsx,1,cn,圣白莲,圣白莲,138,79.562,0.210145
1,30,八云蓝,240,42,0.175,282,0.0377,0.0078,,0.7833,,0.2167,TouhouVote_cn.xlsx,1,cn,八云蓝,八云蓝,138,78.8321,0.217391
1,31,多多良小伞,193,19,0.0984,212,0.0303,0.0035,,0.7668,,0.2332,TouhouVote_cn.xlsx,1,cn,多多良小伞,多多良小伞,138,78.1022,0.224638
1,32,封兽鵺,175,28,0.16,203,0.0275,0.0052,,0.6571,,0.3429,TouhouVote_cn.xlsx,1,cn,封兽鵺,封兽鵺,138,77.3723,0.231884
1,33,小野塚小町,173,20,0.1156,193,0.0272,0.0037,,0.6879,,0.3121,TouhouVote_cn.xlsx,1,cn,小野塚小町,小野塚小町,138,76.6423,0.23913
1,34,霍青娥,170,11,0.0647,181,0.0267,0.0021,,0.5471,,0.4529,TouhouVote_cn.xlsx,1,cn,霍青娥,霍青娥,138,75.9124,0.246377
1,35,犬走椛,159,27,0.1698,186,0.025,0.005,,0.7799,,0.2201,TouhouVote_cn.xlsx,1,cn,犬走椛,犬走椛,138,75.1825,0.253623
1,35,八意永琳,159,19,0.1195,178,0.025,0.0035,,0.6541,,0.3459,TouhouVote_cn.xlsx,1,cn,八意永琳,八意永琳,138,75.1825,0.253623
1,37,物部布都,147,23,0.1565,170,0.0231,0.0043,,0.3673,,0.6327,TouhouVote_cn.xlsx,1,cn,物部布都,物部布都,138,73.7226,0.268116
1,38,茨木华扇,143,14,0.0979,157,0.0225,0.0026,,0.7483,,0.2517,TouhouVote_cn.xlsx,1,cn,茨木华扇,茨木华扇,138,72.9927,0.275362
1,39,橙,131,11,0.084,142,0.0206,0.0021,,0.7481,,0.2519,TouhouVote_cn.xlsx,1,cn,橙,橙,138,72.2628,0.282609
1,39,火焰猫燐,131,9,0.0687,140,0.0206,0.0017,,0.6641,,0.3359,TouhouVote_cn.xlsx,1,cn,火焰猫燐,火焰猫燐,138,72.2628,0.282609
1,41,宇佐见莲子,128,18,0.1406,146,0.0201,0.0034,,0.6172,,0.3828,TouhouVote_cn.xlsx,1,cn,宇佐见莲子,宇佐见莲子,138,70.8029,0.297101
1,42,稗田阿求,126,20,0.1587,146,0.0198,0.0037,,0.7381,,0.2619,TouhouVote_cn.xlsx,1,cn,稗田阿求,稗田阿求,138,70.073,0.304348
1,42,丰聪耳神子,126,17,0.1349,143,0.0198,0.0032,,0.5079,,0.4921,TouhouVote_cn.xlsx,1,cn,丰聪耳神子,丰聪耳神子,138,70.073,0.304348
1,44,水桥帕露西,124,17,0.1371,141,0.0195,0.0032,,0.4597,,0.5403,TouhouVote_cn.xlsx,1,cn,水桥帕露西,水桥帕露西,138,68.6131,0.318841
1,45,森近霖之助,119,22,0.1849,141,0.0187,0.0041,,0.7899,,0.2101,TouhouVote_cn.xlsx,1,cn,森近霖之助,森近霖之助,138,67.8832,0.326087
1,46,河城荷取,116,17,0.1466,133,0.0182,0.0032,,0.6379,,0.3621,TouhouVote_cn.xlsx,1,cn,河城荷取,河城荷取,138,67.1533,0.333333
1,47,永江衣玖,111,16,0.1441,127,0.0174,0.003,,0.7387,,0.2613,TouhouVote_cn.xlsx,1,cn,永江衣玖,永江衣玖,138,66.4234,0.34058
1,48,星熊勇仪,108,12,0.1111,120,0.017,0.0022,,0.75,,0.25,TouhouVote_cn.xlsx,1,cn,星熊勇仪,星熊勇仪,138,65.6934,0.347826
1,49,神绮,102,11,0.1078,113,0.016,0.0021,,0.7353,,0.2647,TouhouVote_cn.xlsx,1,cn,神绮,神绮,138,64.9635,0.355072
1,50,八坂神奈子,100,9,0.09,109,0.0157,0.0017,,0.69,,0.31,TouhouVote_cn.xlsx,1,cn,八坂神奈子,八坂神奈子,138,64.2336,0.362319
1,51,因幡天为（因幡帝）,99,11,0.1111,110,0.0156,0.0021,,0.6364,,0.3636,TouhouVote_cn.xlsx,1,cn,因幡天为（因幡帝）,因幡天为因幡帝,138,63.5036,0.369565
1,52,姬海棠果,97,8,0.0825,105,0.0152,0.0015,,0.701,,0.299,TouhouVote_cn.xlsx,1,cn,姬海棠果,姬海棠果,138,62.7737,0.376812
1,53,玛艾露贝莉·赫恩,92,12,0.1304,104,0.0145,0.0022,,0.6957,,0.3043,TouhouVote_cn.xlsx,1,cn,玛艾露贝莉·赫恩,玛艾露贝莉赫恩,138,62.0438,0.384058
1,54,小恶魔,89,13,0.1461,102,0.014,0.0024,,0.7978,,0.2022,TouhouVote_cn.xlsx,1,cn,小恶魔,小恶魔,138,61.3139,0.391304
1,55,爱丽丝的人偶（上海、蓬莱、大江户等）,83,8,0.0964,91,0.013,0.0015,,0.8072,,0.1928,TouhouVote_cn.xlsx,1,cn,人形（含上海人形、哥利亚人形）,爱丽丝的人偶上海蓬莱大江户等,138,60.5839,0.398551
1,56,米斯蒂娅·萝蕾拉,82,16,0.1951,98,0.0129,0.003,,0.7805,,0.2195,TouhouVote_cn.xlsx,1,cn,米斯蒂娅·萝蕾拉,米斯蒂娅萝蕾拉,138,59.854,0.405797
1,57,毛玉,71,8,0.1127,79,0.0112,0.0015,,0.7324,,0.2676,TouhouVote_cn.xlsx,1,cn,毛玉,毛玉,138,59.1241,0.413043
1,58,魅魔,70,10,0.1429,80,0.011,0.0019,,0.7143,,0.2857,TouhouVote_cn.xlsx,1,cn,魅魔,魅魔,138,58.3942,0.42029
1,58,大妖精,70,8,0.1143,78,0.011,0.0015,,0.8714,,0.1286,TouhouVote_cn.xlsx,1,cn,大妖精,大妖精,138,58.3942,0.42029
1,60,冈崎梦美,61,8,0.1311,69,0.0096,0.0015,,0.6885,,0.3115,TouhouVote_cn.xlsx,1,cn,冈崎梦美,冈崎梦美,138,56.9343,0.434783
