character_cn,character_key,event_count,earliest_event_date,latest_event_date,platforms,poll_regions,event_types,comment_or_danmaku_sample_count,bilibili_query_or_title_hit_count,tieba_evidence_count,tieba_rank_heading_coverage_count,tieba_fulltext_comment_sample_count,tieba_round21_nested_reply_sample_count,tieba_pre21_fulltext_comment_sample_count,pixiv_tag_count_snapshot,round21_rank,canon_verification_status,research_scope,coverage_limit
稗田阿求,稗田阿求,12,2008-02-18,2024-08-24,Bilibili;Japanese blog;X,jp,canon_extrapolation;countdown_meme;counter_interpretation;meme_video;result_meme;result_table_mention,11,40,0,1,4,4,0,9976,79,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
古明地恋,古明地恋,8,2009-01-31,2026-08-22,Bilibili;Japanese blog;Pixiv;Tieba;X,jp,comment_reaction;discussion_thread;result_interpretation;result_meme;rule_counterfactual;support_art,19,2,1,1,12,3,9,,1,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
宇佐见莲子,宇佐见莲子,6,2008-02-18,2026-08-23,Bilibili;Japanese blog;Tieba;X,;jp,character_lecture;group_lecture;result_interpretation;result_table_mention;support_thread,3,2,2,1,2,2,0,,38,verified,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
藤原妹红,藤原妹红,5,2008-02-18,2026-08-23,Japanese blog;Tieba;X,jp,prediction_thread;result_interpretation;result_table_mention,5,1,1,1,4,4,0,,9,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
东风谷早苗,东风谷早苗,4,2008-02-18,2012-02-29,Japanese blog,jp,result_interpretation,4,2,0,1,4,4,0,,13,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
八云紫,八云紫,4,2008-02-18,2012-02-29,Japanese blog,jp,result_interpretation;result_table_mention,4,6,0,1,2,2,0,,16,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
四季映姬·夜摩仙那度,四季映姬夜摩仙那度,4,2005-12-28,2011-03-03,Japanese blog;Pixiv,jp,result_interpretation;result_table_mention;support_art,8,0,0,1,8,4,4,,24,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
娜兹玲,娜兹玲,4,2010-02-13,2012-02-29,Japanese blog;Pixiv;X,jp,prediction;result_interpretation;support_art,1,0,0,1,1,1,0,,58,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
射命丸文,射命丸文,4,2005-12-28,2011-03-02,Japanese blog,jp,result_interpretation,8,0,1,1,3,3,0,,11,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
小恶魔,小恶魔,4,2008-02-18,2020-02-22,Bilibili;Japanese blog,;jp,character_lecture;result_table_mention,1,1,0,1,1,1,0,,57,verified,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
易者,易者,4,2015-03-01,2016-01-21,Pixiv;X,jp,derivative_art;result_meme;support_or_mobilization,7,39,0,1,6,3,3,193,140,out_of_scope_no_thbwiki_index,excluded,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
河城荷取,河城荷取,4,2008-02-18,2011-03-02,Japanese blog,jp,result_interpretation;result_table_mention,1,0,0,1,1,1,0,,44,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
犬走椛,犬走椛,4,2008-02-18,2012-02-29,Japanese blog,jp,comment_reaction;result_interpretation;result_table_mention,4,0,0,1,3,3,0,,30,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
玛艾露贝莉·赫恩,玛艾露贝莉赫恩,4,2008-02-18,2026-08-23,Bilibili;Japanese blog;Tieba,;jp,character_lecture;result_table_mention;support_thread,2,4,2,1,1,1,0,,55,verified,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
鬼人正邪,鬼人正邪,4,2009-01-31,2015-06-02,Japanese blog;X,jp,meme_pairing;result_interpretation;result_visualization,7,39,0,1,3,3,0,14580,35,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
魂魄妖梦,魂魄妖梦,4,2008-02-18,2012-02-29,Japanese blog,jp,result_interpretation;result_table_mention,6,0,0,1,5,4,1,,7,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
八坂神奈子,八坂神奈子,3,2008-02-18,2011-03-03,Japanese blog,jp,result_interpretation;result_table_mention,10,0,0,1,7,3,4,,69,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
八意永琳,八意永琳,3,2008-02-18,2012-02-29,Japanese blog,jp,result_interpretation;result_table_mention,1,40,0,1,1,1,0,17121,28,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
古明地觉,古明地觉,3,2009-01-31,2026-08-22,Japanese blog;Pixiv;Tieba,jp,result_interpretation;support_art;support_thread,5,2,1,1,4,4,0,,8,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
大妖精,大妖精,3,2008-02-18,2020-02-12,Bilibili;Japanese blog,;jp,character_lecture;result_table_mention,5,1,2,1,1,1,0,,53,verified,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
小野塚小町,小野塚小町,3,2005-12-28,2009-01-31,Japanese blog,jp,result_interpretation;result_table_mention,0,0,0,1,0,0,0,,75,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
森近霖之助,森近霖之助,3,2008-02-18,2012-02-29,Japanese blog,jp,result_interpretation;result_table_mention,1,0,0,1,1,1,0,,82,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
洩矢诹访子,洩矢诹访子,3,2008-02-18,2011-03-03,Japanese blog,jp,result_interpretation;result_table_mention,2,0,0,1,2,2,0,,23,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
爱丽丝·玛格特洛依德,爱丽丝玛格特洛依德,3,2008-02-18,2012-02-29,Japanese blog,jp,result_interpretation;result_table_mention,4,0,0,1,4,4,0,,14,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
秋穰子,秋穰子,3,2008-02-18,2011-03-02,Japanese blog,jp,result_interpretation;result_table_mention,2,0,0,1,2,2,0,,106,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
秋静叶,秋静叶,3,2008-02-18,2011-03-02,Japanese blog,jp,result_interpretation;result_table_mention,1,0,0,1,1,1,0,,107,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
米斯蒂娅·萝蕾拉,米斯蒂娅萝蕾拉,3,2008-02-18,2021-10-07,Bilibili;Japanese blog,cn;jp,game_exposure;result_interpretation;result_table_mention,5,46,1,1,4,4,0,,47,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
茨木华扇,茨木华扇,3,2011-03-05,2012-02-29,Japanese blog,jp,comment_reaction;result_interpretation;result_table_mention,3,39,0,1,2,2,0,,45,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
西行寺幽幽子,西行寺幽幽子,3,2005-12-28,2009-01-31,Japanese blog,jp,result_interpretation;result_table_mention,3,0,0,1,3,3,0,,12,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
铃仙·优昙华院·因幡,铃仙优昙华院因幡,3,2008-02-18,2011-03-02,Japanese blog,jp,result_interpretation;result_table_mention,3,4,0,1,3,2,1,,15,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
雾雨魔理沙,雾雨魔理沙,3,2005-12-28,2011-03-03,Japanese blog,jp,result_interpretation,5,5,1,1,4,4,0,,2,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
露米娅,露米娅,3,2008-02-18,2012-02-29,Japanese blog,jp,result_interpretation;result_table_mention,5,0,1,1,4,4,0,,19,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
风见幽香,风见幽香,3,2008-02-18,2011-03-02,Japanese blog,jp,result_interpretation;result_table_mention,4,1,0,1,4,4,0,,27,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
伊吹萃香,伊吹萃香,2,2008-02-18,2012-02-29,Japanese blog,jp,result_interpretation;result_table_mention,3,1,0,1,3,3,0,,29,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
博丽灵梦,博丽灵梦,2,2005-12-28,2008-02-18,Japanese blog,jp,result_interpretation,9,21,3,1,3,3,0,,3,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
哆来咪·苏伊特,哆来咪苏伊特,2,2018-01-20,2018-01-23,X,jp,result_interpretation;support_art,2,39,0,1,2,2,0,9171,59,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
帕秋莉·诺蕾姬,帕秋莉诺蕾姬,2,2008-02-18,2009-01-31,Japanese blog,jp,result_interpretation;result_table_mention,3,0,0,1,3,3,0,,18,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
幽谷响子,幽谷响子,2,2022-11-18,2024-01-25,Bilibili,cn,game_exposure;result_visibility,2,39,0,1,2,2,0,,110,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
梅蒂欣·梅兰可莉,梅蒂欣梅兰可莉,2,2005-12-28,2008-02-18,Japanese blog,jp,result_table_mention,0,0,0,1,0,0,0,,93,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
水桥帕露西,水桥帕露西,2,2015-06-02,2022-09-27,X,jp,meme_pairing;result_celebration,4,0,0,1,3,2,1,,37,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
神玉,神玉,2,2017-02-01,2025-08-31,X,jp,long_tail_statistics;result_interpretation,0,0,0,0,0,0,0,,170,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
绵月丰姬,绵月丰姬,2,2011-03-05,2025-08-15,Bilibili;Japanese blog,jp,result_table_mention;support_meme,15,39,1,1,2,2,0,3412,73,verified,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
莉格露·奈特巴格,莉格露奈特巴格,2,2008-02-18,2025-08-30,Japanese blog;X,jp,result_table_mention;rule_interpretation,3,39,1,1,2,2,0,16993,63,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
莉莉卡·普莉兹姆利巴,莉莉卡普莉兹姆利巴,2,2008-02-18,2011-03-02,Japanese blog,jp,result_table_mention,0,0,0,1,0,0,0,,132,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
莉莉霍瓦特（莉莉白）,莉莉霍瓦特莉莉白,2,2008-02-18,2011-03-02,Japanese blog,jp,result_table_mention,1,0,0,1,1,1,0,,71,basic_index_only,included,事件数与题名命中数只表示本次证据表覆盖，不是角色人气或作品量排名。
