region,round,source_id,character_jp,character_cn,under20_rate,under20_denominator,female_rate,female_denominator,first_time_voter_rate,first_time_voter_denominator,event_participation_rate,event_participation_denominator,2019plus_cognition_rate,2019plus_cognition_denominator,source_note,poll_rank,poll_points,poll_primary_num,poll_official_support_count,poll_candidate_count,poll_top_percentile,join_note
jp,21,1,博麗 霊夢,博丽灵梦,0.595138,4031,0.252011,4103,0.424608,4145,0.412178,3843,0.472016,3913,官方角色条件问卷；各题分母不同，比例不可相加。,3,27408,3618,40,221,99.0909,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,10,レミリア・スカーレット,蕾米莉亚·斯卡蕾特,0.672703,3037,0.279743,3110,0.454488,3186,0.375546,2977,0.497306,2970,官方角色条件问卷；各题分母不同，比例不可相加。,6,19638,2366,19,221,97.7273,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,100,庭渡 久侘歌,庭渡久侘歌,0.422287,341,0.183381,349,0.209366,363,0.433628,339,0.352436,349,官方角色条件问卷；各题分母不同，比例不可相加。,86,1324,96,5,221,61.3636,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,101,吉弔 八千慧,吉吊八千慧,0.40274,365,0.328,375,0.191601,381,0.5,364,0.310992,373,官方角色条件问卷；各题分母不同，比例不可相加。,81,1478,90,3,221,63.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,102,杖刀偶 磨弓,杖刀偶磨弓,0.426901,171,0.370588,170,0.304348,184,0.44382,178,0.369318,176,官方角色条件问卷；各题分母不同，比例不可相加。,120,671,53,5,221,45.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,103,埴安神 袿姫,埴安神袿姬,0.449889,449,0.232662,447,0.265086,464,0.437358,439,0.408297,458,官方角色条件问卷；各题分母不同，比例不可相加。,62,1916,177,7,221,72.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,104,驪駒 早鬼,骊驹早鬼,0.444954,218,0.35426,223,0.228814,236,0.418919,222,0.358407,226,官方角色条件问卷；各题分母不同，比例不可相加。,112,849,53,1,221,49.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,105,オオカミ霊,野狼灵,0.578947,19,0.2,20,0.176471,17,0.176471,17,0.388889,18,官方角色条件问卷；各题分母不同，比例不可相加。,194,43,,,221,12.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,106,カワウソ霊,水獭灵,0.583333,48,0.163265,49,0.16,50,0.625,48,0.265306,49,官方角色条件问卷；各题分母不同，比例不可相加。,174,119,2,,221,21.3636,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,107,オオワシ霊,大鹫灵,0.714286,7,,8,0.142857,7,0.428571,7,0.571429,7,官方角色条件问卷；各题分母不同，比例不可相加。,205,22,2,,221,7.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,108,シンギョク,神玉,0.633333,30,0.53125,32,0.382353,34,0.28125,32,0.484848,33,官方角色条件问卷；各题分母不同，比例不可相加。,170,154,16,2,221,23.1818,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,109,ユウゲンマガン,幽幻魔眼,0.6,50,0.145833,48,0.377358,53,0.333333,48,0.442308,52,官方角色条件问卷；各题分母不同，比例不可相加。,167,170,8,2,221,24.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,11,フランドール・スカーレット,芙兰朵露·斯卡蕾特,0.71746,3465,0.315657,3564,0.488282,3627,0.371862,3426,0.506942,3385,官方角色条件问卷；各题分母不同，比例不可相加。,4,23917,3726,23,221,98.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,110,エリス,依莉斯,0.679487,78,0.325,80,0.382716,81,0.434211,76,0.378378,74,官方角色条件问卷；各题分母不同，比例不可相加。,150,318,12,4,221,32.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,111,サリエル,萨丽爱尔,0.521277,94,0.361702,94,0.323232,99,0.41573,89,0.358696,92,官方角色条件问卷；各题分母不同，比例不可相加。,142,403,26,,221,35.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,112,キクリ,菊理,0.5,24,0.541667,24,0.25,24,0.409091,22,0.28,25,官方角色条件问卷；各题分母不同，比例不可相加。,181,77,4,1,221,18.1818,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,113,コンガラ,矜羯罗,0.605634,71,0.4,70,0.337662,77,0.306667,75,0.506849,73,官方角色条件问卷；各题分母不同，比例不可相加。,154,272,15,,221,30.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,114,玄爺,玄爷,0.674419,43,0.222222,45,0.5625,48,0.318182,44,0.479167,48,官方角色条件问卷；各题分母不同，比例不可相加。,169,162,8,,221,23.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,115,里香,里香,0.454545,55,0.333333,54,0.241379,58,0.461538,52,0.457627,59,官方角色条件问卷；各题分母不同，比例不可相加。,164,192,15,,221,25.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,116,明羅,明罗,0.617021,47,0.568182,44,0.32,50,0.333333,48,0.416667,48,官方角色条件问卷；各题分母不同，比例不可相加。,162,217,18,,221,26.8182,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,117,魅魔,魅魔,0.697917,672,0.456268,686,0.445833,720,0.364318,667,0.528302,689,官方角色条件问卷；各题分母不同，比例不可相加。,49,2860,170,4,221,78.1818,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,118,エレン,爱莲,0.604651,86,0.358696,92,0.4375,96,0.494505,91,0.483146,89,官方角色条件问卷；各题分母不同，比例不可相加。,147,350,19,2,221,33.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,119,小兎姫,小兔姬,0.540984,61,0.375,64,0.268657,67,0.448276,58,0.447761,67,官方角色条件问卷；各题分母不同，比例不可相加。,160,224,15,,221,27.7273,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,12,レティ・ホワイトロック,蕾蒂·霍瓦特洛克,0.528497,193,0.247368,190,0.253731,201,0.515957,188,0.444444,198,官方角色条件问卷；各题分母不同，比例不可相加。,100,983,94,1,221,55.0,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,120,カナ・アナベラル,卡娜·安娜贝拉尔,0.63388,183,0.335227,176,0.411168,197,0.468085,188,0.508021,187,官方角色条件问卷；各题分母不同，比例不可相加。,122,648,36,9,221,45.0,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,121,朝倉 理香子,朝仓理香子,0.55102,49,0.346939,49,0.333333,45,0.526316,38,0.458333,48,官方角色条件问卷；各题分母不同，比例不可相加。,165,178,11,,221,25.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,122,北白河 ちゆり,北白河千百合,0.651786,112,0.475806,124,0.385246,122,0.401786,112,0.487395,119,官方角色条件问卷；各题分母不同，比例不可相加。,139,418,12,1,221,37.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,123,岡崎 夢美,冈崎梦美,0.5209,311,0.246835,316,0.27707,314,0.460481,291,0.434505,313,官方角色条件问卷；各题分母不同，比例不可相加。,90,1221,101,3,221,59.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,124,オレンジ,奥莲姬,0.714286,49,0.615385,52,0.631579,57,0.425926,54,0.642857,56,官方角色条件问卷；各题分母不同，比例不可相加。,161,222,9,,221,27.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,125,くるみ,胡桃,0.728814,118,0.347107,121,0.434109,129,0.338843,121,0.461538,117,官方角色条件问卷；各题分母不同，比例不可相加。,130,520,30,3,221,41.3636,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,126,エリー,艾丽,0.605263,76,0.407895,76,0.455696,79,0.266667,75,0.481013,79,官方角色条件问卷；各题分母不同，比例不可相加。,149,326,17,2,221,32.7273,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,127,夢月,梦月,0.764706,238,0.367347,245,0.387597,258,0.381743,241,0.510373,241,官方角色条件问卷；各题分母不同，比例不可相加。,108,912,19,5,221,51.3636,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,128,幻月,幻月,0.708571,350,0.349727,366,0.385013,387,0.384615,364,0.467568,370,官方角色条件问卷；各题分母不同，比例不可相加。,80,1481,90,7,221,64.0909,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,129,サラ,萨拉,0.538462,26,0.333333,27,0.290323,31,0.482759,29,0.366667,30,官方角色条件问卷；各题分母不同，比例不可相加。,178,87,3,,221,19.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,13,橙,橙,0.631179,526,0.193974,531,0.426136,528,0.428008,507,0.488095,504,官方角色条件问卷；各题分母不同，比例不可相加。,51,2726,198,4,221,77.2727,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,130,ルイズ,露易兹,0.533333,30,0.193548,31,0.16129,31,0.444444,27,0.34375,32,官方角色条件问卷；各题分母不同，比例不可相加。,176,108,8,1,221,20.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,131,ユキ,雪,0.633803,71,0.25,72,0.276316,76,0.439394,66,0.513889,72,官方角色条件问卷；各题分母不同，比例不可相加。,156,256,17,3,221,29.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,132,マイ,舞,0.532468,77,0.324675,77,0.25,84,0.4,75,0.45679,81,官方角色条件问卷；各题分母不同，比例不可相加。,153,277,15,2,221,30.9091,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,133,夢子,梦子,0.658537,123,0.449612,129,0.325758,132,0.368,125,0.442623,122,官方角色条件问卷；各题分母不同，比例不可相加。,135,482,19,4,221,39.0909,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,134,神綺,神绮,0.671024,459,0.30608,477,0.430303,495,0.412804,453,0.486316,475,官方角色条件问卷；各题分母不同，比例不可相加。,61,2055,109,4,221,72.7273,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,135,蓬莱人形ジャケットイラストの娘,蓬莱人形封面的少女（夹克子）,0.560606,198,0.398058,206,0.173077,208,0.571429,196,0.457547,212,官方角色条件问卷；各题分母不同，比例不可相加。,115,772,71,2,221,48.1818,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,136,蓬莱人形レーベルイラストの娘,蓬莱人形碟面的少女（Label子）,0.444444,81,0.418605,86,0.117647,85,0.54878,82,0.348837,86,官方角色条件问卷；各题分母不同，比例不可相加。,158,241,5,,221,28.6364,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,137,宇佐見 蓮子,宇佐见莲子,0.51766,906,0.214912,912,0.226477,914,0.539181,855,0.385809,902,官方角色条件问卷；各题分母不同，比例不可相加。,38,3690,323,15,221,83.1818,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,138,マエリベリー・ハーン,玛艾露贝莉·赫恩,0.502849,702,0.234795,707,0.214888,712,0.556869,677,0.377652,707,官方角色条件问卷；各题分母不同，比例不可相加。,55,2511,128,12,221,75.4545,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
jp,21,139,稗田 阿求,稗田阿求,0.435583,326,0.158683,334,0.214067,327,0.542373,295,0.379205,327,官方角色条件问卷；各题分母不同，比例不可相加。,79,1499,119,3,221,64.5455,第21回完整历史结果与同届角色条件问卷；不是第22回进行中数据。
