region,round,source_id,character_jp,character_cn,under20_rate,under20_denominator,female_rate,female_denominator,first_time_voter_rate,first_time_voter_denominator,event_participation_rate,event_participation_denominator,2019plus_cognition_rate,2019plus_cognition_denominator,source_note
jp,11,0064b96a7df713,佐渡の二ッ岩,,0.235556,225,0.118644,236,0.309917,242,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,00d8b8c2735bc3,かわいい悪魔 ～ Innocence,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,01087047ae74a9,星の器 ～ Casket of Star,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,011e48d94913e2,魔界地方都市エソテリア,,0.276596,94,0.15,100,0.307692,104,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,013c7c4c120bd3,月の妖鳥、化猫の幻,,0.392857,84,0.119048,84,0.280899,89,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,02f6bc9d7c85a3,旧地獄街道を行く,,0.389831,118,0.096774,124,0.375,128,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,0372dc6b0133cc,幻想郷の二ッ岩,,0.253165,79,0.109756,82,0.149425,87,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,03e80f145cc2c6,アルティメットトゥルース,,0.347032,219,0.176211,227,0.326271,236,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,05201fb6b12868,八雲 藍,八云蓝,0.419421,484,0.074,500,0.389414,529,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,0523f5b5d9acf1,八意 永琳,八意永琳,0.337121,264,0.168539,267,0.383803,284,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,05678406567059,神さびた古戦場 ～ Suwa Foughten Field,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,0650f26ffddcd5,満月の竹林,,0.263975,322,0.109034,321,0.180473,338,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,06d3aebbd5a322,感情の摩天楼 ～ Cosmic Mind,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,07a9b9aa5494c0,夢消失 ～ Lost Dream,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,080c15ad657e2d,蘇我 屠自古,苏我屠自古,0.37415,147,0.310345,145,0.352201,159,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,0897b99565f450,ルナチャイルド,露娜切露德,0.234234,111,0.034783,115,0.243697,119,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,09b20e6e221b41,萃夢想,,0.375,112,0.077586,116,0.442623,122,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,09f2542d244827,堀川 雷鼓,堀川雷鼓,0.341637,281,0.146853,286,0.353333,300,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,0b0666d086283b,リグル・ナイトバグ,莉格露·奈特巴格,0.348485,132,0.131387,137,0.362416,149,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,0e71d62fb170ff,九十九 八橋,九十九八桥,0.239583,96,0.147368,95,0.262626,99,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,0eee97df2a5b7e,蠢々秋月 ～ Mooned Insect,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1098f5deb2f367,魔法少女十字軍,,0.377778,90,0.175824,91,0.195876,97,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,11c693bb829045,四季映姫・ヤマザナドゥ,四季映姬·夜摩仙那度,0.467213,488,0.121756,501,0.446768,526,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,128f5ea18b42f5,姫海棠 はたて,姬海棠果,0.299107,224,0.090517,232,0.253112,241,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1315d373225433,六十年目の東方裁判 ～ Fate of Sixty Years,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,13764195909800,業火マントル,,0.407407,81,0.142857,84,0.277108,83,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,16f78fa3ffe30b,クリスタライズシルバー,,0.424528,106,0.097345,113,0.479675,123,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,173cb383624dc5,Tabula rasa ～ 空白少女,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1774fed0852a70,霊烏路 空,灵乌路空,0.406137,554,0.086572,566,0.367174,591,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1863eec4f98189,妖精大戦争 ～ Fairy Wars,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1b14d52b15765e,毛玉,毛玉,0.65,20,,23,0.608696,23,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1c3d9bd0f5853c,不思議の国のアリス,,0.307393,257,0.137405,262,0.298182,275,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1ca2cb020bd4c7,U.N.オーエンは彼女なのか？,,0.568469,1979,0.110783,2031,0.538749,2142,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1cafd3d3b88abd,少女秘封倶楽部,,0.360947,338,0.102857,350,0.290323,372,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1d035af5bcd4b4,リリカ・プリズムリバー,莉莉卡·普莉兹姆利巴,0.439024,82,0.045977,87,0.380435,92,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,1d9eb2dad5d1c7,河城 にとり,河城荷取,0.467583,509,0.096339,519,0.425455,550,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2003af69ea0c1e,サニーミルクの紅霧異変,,0.476923,65,0.085714,70,0.287671,73,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,202ace774d2d3f,妖々跋扈 ～ Who done it!,,,,,,,,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,2037048a3e8467,比那名居 天子,比那名居天子,0.381579,836,0.058072,861,0.366962,902,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,203706e854912f,53ミニッツの青い海,,0.18,50,0.098039,51,0.185185,54,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,20899774c81ea5,砕月,,0.41314,898,0.083691,932,0.416497,982,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,20de0cda42fa43,サリエル,萨丽爱尔,0.655172,29,0.206897,29,0.4375,32,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,20ef489dc9b82b,妖怪裏参道,,0.375,72,0.228571,70,0.168831,77,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,212b6d7df37322,ぼくらの非想天則,,0.36,100,0.018349,109,0.39823,113,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
jp,11,21321adefb7fa7,花は幻想のままに,,0.203704,54,0.185185,54,0.310345,58,,,,,官方角色条件问卷；各题分母不同，比例不可相加。
