round,poll_period,character,rank,rank_prev,points,primary_num,comment_num,official_support_count,score_source,source_path,region,character_key,character_cn,candidate_count,top_percentile,rank_fraction
3,2004-10-17—2004-10-23,霧雨 魔理沙,1,,2284,785,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,霧雨魔理沙,雾雨魔理沙,60,100.0,0.016667
3,2004-10-17—2004-10-23,魂魄 妖夢,2,,1802,490,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,魂魄妖夢,魂魄妖梦,60,98.3051,0.033333
3,2004-10-17—2004-10-23,十六夜 咲夜,3,,1746,585,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,十六夜咲夜,十六夜咲夜,60,96.6102,0.05
3,2004-10-17—2004-10-23,西行寺 幽々子,4,,1502,406,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,西行寺幽々子,西行寺幽幽子,60,94.9153,0.066667
3,2004-10-17—2004-10-23,鈴仙・優曇華院・イナバ,5,,1482,311,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,鈴仙優曇華院イナバ,铃仙·优昙华院·因幡,60,93.2203,0.083333
3,2004-10-17—2004-10-23,博麗 霊夢,6,,1391,426,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,博麗霊夢,博丽灵梦,60,91.5254,0.1
3,2004-10-17—2004-10-23,上白沢 慧音,7,,996,204,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,上白沢慧音,上白泽慧音,60,89.8305,0.116667
3,2004-10-17—2004-10-23,レミリア・スカーレット,8,,843,174,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,レミリアスカーレット,蕾米莉亚·斯卡蕾特,60,88.1356,0.133333
3,2004-10-17—2004-10-23,八雲 藍,9,,809,198,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,八雲藍,八云蓝,60,86.4407,0.15
3,2004-10-17—2004-10-23,アリス・マーガトロイド,10,,759,179,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,アリスマーガトロイド,爱丽丝·玛格特洛依德,60,84.7458,0.166667
3,2004-10-17—2004-10-23,八雲 紫,11,,720,173,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,八雲紫,八云紫,60,83.0508,0.183333
3,2004-10-17—2004-10-23,藤原 妹紅,12,,609,109,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,藤原妹紅,藤原妹红,60,81.3559,0.2
3,2004-10-17—2004-10-23,紅 美鈴,13,,532,124,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,紅美鈴,红美铃,60,79.661,0.216667
3,2004-10-17—2004-10-23,パチュリー・ノーレッジ,14,,513,104,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,パチュリーノーレッジ,帕秋莉·诺蕾姬,60,77.9661,0.233333
3,2004-10-17—2004-10-23,フランドール・スカーレット,15,,486,96,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,フランドールスカーレット,芙兰朵露·斯卡蕾特,60,76.2712,0.25
3,2004-10-17—2004-10-23,八意 永琳,16,,387,63,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,八意永琳,八意永琳,60,74.5763,0.266667
3,2004-10-17—2004-10-23,橙,17,,302,55,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,橙,橙,60,72.8814,0.283333
3,2004-10-17—2004-10-23,蓬莱山 輝夜,18,,298,49,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,蓬莱山輝夜,蓬莱山辉夜,60,71.1864,0.3
3,2004-10-17—2004-10-23,ルーミア,19,,248,51,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,ルーミア,露米娅,60,69.4915,0.316667
3,2004-10-17—2004-10-23,ルナサ・プリズムリバー,20,,246,51,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,ルナサプリズムリバー,露娜萨·普莉兹姆利巴,60,67.7966,0.333333
3,2004-10-17—2004-10-23,チルノ,21,,234,53,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,チルノ,琪露诺,60,66.1017,0.35
3,2004-10-17—2004-10-23,因幡 てゐ,21,,234,28,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,因幡てゐ,因幡天为（因幡帝）,60,66.1017,0.35
3,2004-10-17—2004-10-23,リリーホワイト,23,,143,32,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,リリーホワイト,莉莉霍瓦特（莉莉白）,60,62.7119,0.383333
3,2004-10-17—2004-10-23,ミスティア・ローレライ,24,,120,23,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,ミスティアローレライ,米斯蒂娅·萝蕾拉,60,61.0169,0.4
3,2004-10-17—2004-10-23,レティ・ホワイトロック,25,,116,25,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,レティホワイトロック,蕾蒂·霍瓦特洛克,60,59.322,0.416667
3,2004-10-17—2004-10-23,魅魔,26,,68,13,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,魅魔,魅魔,60,57.6271,0.433333
3,2004-10-17—2004-10-23,小悪魔,27,,65,14,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,小悪魔,小恶魔,60,55.9322,0.45
3,2004-10-17—2004-10-23,リグル・ナイトバグ,28,,64,11,,,legacy_official_html_table,data_raw/jp_official_legacy/round_03/aggregate/result_char.html.tables.json,jp,リグルナイトバグ,莉格露·奈特巴格,60,54.2373,0.466667
