region,character_key,character_jp,character_cn,previous_round,round,round_gap,consecutive_rounds,previous_rank,rank,rank_improvement,previous_candidate_count,candidate_count,previous_top_percentile,top_percentile,top_percentile_change,interpretation_limit
cn,易者,,易者,4,5,1,True,145,77,68.0,191,203,24.2105,62.3762,38.1657,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,命莲,,命莲,2,3,1,True,130,106,24.0,152,163,14.5695,35.1852,20.6157,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,8,8,0,False,155,201,-46.0,227,227,31.8584,11.5044,-20.354,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,石长姬,,石长姬,9,10,1,True,175,230,-55.0,229,239,23.6842,3.7815,-19.9027,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,尼西号,,尼西号,5,6,1,True,145,196,-51.0,203,215,28.7129,8.8785,-19.8344,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,万岁乐,,万岁乐,6,7,1,True,196,156,40.0,215,218,8.8785,28.5714,19.6929,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,久米竿打,,久米 / 竿打,6,7,1,True,196,156,40.0,215,218,8.8785,28.5714,19.6929,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,幽幻魔眼,,幽幻魔眼,6,7,1,True,196,156,40.0,215,218,8.8785,28.5714,19.6929,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,矢田寺成美,,矢田寺成美,6,7,1,True,33,76,-43.0,215,218,85.0467,65.4378,-19.6089,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,尼西号,,尼西号,4,5,1,True,173,145,28.0,191,203,9.4737,28.7129,19.2392,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,5,5,0,False,140,178,-38.0,203,203,31.1881,12.3762,-18.8119,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,阴阳玉,,阴阳玉,3,3,0,False,106,136,-30.0,163,163,35.1852,16.6667,-18.5185,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,盐家老板,,盐家老板,7,8,1,True,189,155,34.0,218,227,13.3641,31.8584,18.4943,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,稻荷大人,,稻荷大人,6,7,1,True,147,189,-42.0,215,218,31.7757,13.3641,-18.4116,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,卡娜安娜贝拉尔,,卡娜·安娜贝拉尔,2,3,1,True,104,82,22.0,152,163,31.7881,50.0,18.2119,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
cn,幽谷响子,,幽谷响子,2,3,1,True,102,80,22.0,152,163,33.1126,51.2346,18.122,名次与分位变化均为描述性；同票、候选合并、规则与投票者构成变化仍需逐届核对。
