snapshot_time,rank,twitter_ballot_self_report_count,character_jp_raw,character_cn,source_url,source_image_url,transcription_method,metric_note,observed_at,final_jp14_rank,final_jp14_points,final_jp14_primary_num,final_jp14_candidate_count,final_rank_minus_snapshot_rank,join_status,alignment_note
2018-01-16 00:00,1,317,古明地恋,古明地恋,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,3,7238,1318,186,2,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,2,302,博麗霊夢,博丽灵梦,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,1,8574,1675,186,-1,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,3,280,霧雨魔理沙,雾雨魔理沙,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,2,7386,1326,186,-1,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,4,254,魂魄妖夢,魂魄妖梦,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,4,6936,1615,186,0,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,5,253,レミリア・スカーレット,蕾米莉亚·斯卡蕾特,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,7,6304,1025,186,2,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,6,239,十六夜咲夜,十六夜咲夜,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,5,6529,1146,186,-1,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,7,238,射命丸文,射命丸文,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,11,4978,844,186,4,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,8,237,比那名居天子,比那名居天子,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,12,4671,661,186,4,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,9,235,フランドール・スカーレット,芙兰朵露·斯卡蕾特,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,6,6497,1178,186,-3,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
2018-01-16 00:00,10,229,八雲紫,八云紫,https://tieba.baidu.com/p/5517613326,https://imgsrc.baidu.com/forum/pic/item/5631aa18972bd407f4f4502b70899e510eb309ce.jpg,manual_visual_verified,原帖称“推特晒票统计”；这是公开自晒样本计数，不是官方票数或全体Twitter帖子量。,2026-08-24,13,4451,619,186,3,matched_final_result,Twitter公开晒票计数与日区第14回最终官方结果分列；名次差只描述样本与最终结果的偏离，不代表期间净增票。
