session,candidate_rows,all_character_vote_marks,gender_data_status,male_character_marks,female_character_marks,unassigned_character_marks,known_gender_mark_coverage,female_share_known_binary_character_marks
1,138,26790,estimated_from_rounded_character_ratios,19442.8577,7347.1967,-0.0544000000008964,1.000002030608436,0.27425090633634547
2,152,23160,missing,,,,,
3,163,27521,missing,,,,,
4,191,38407,missing,,,,,
5,203,44710,exact_character_mark_counts,36045,8638,27,0.9993961082531873,0.19331736902177563
6,215,47757,exact_character_mark_counts,38025,9702,30,0.9993718198379296,0.20328116160663776
7,218,44392,exact_character_mark_counts,36328,8053,11,0.9997522076049739,0.18145152204772313
8,227,53272,exact_character_mark_counts,44347,8909,16,0.9996996546027932,0.16728631515697762
9,229,73437,exact_character_mark_counts,62423,11014,0,1.0,0.14997889347331728
10,239,162385,exact_character_mark_counts,137544,24841,0,1.0,0.15297595221233487
11,244,89467,exact_character_mark_counts,76311,13156,0,1.0,0.14704863245666
