session,male_respondents,female_respondents,other_respondents,reported_total_respondents,female_share_all_reported_categories,female_share_binary_only,other_category_reported
5,7634,485,,8119,0.059736420741470626,0.059736420741470626,False
6,13069,1246,,14315,0.08704156479217603,0.08704156479217603,False
7,18938,1952,,20890,0.09344183820009574,0.09344183820009574,False
8,18485,1841,,20326,0.09057364951293909,0.09057364951293909,False
9,17193,1937,,19130,0.10125457396759018,0.10125457396759018,False
10,12966,1937,,14903,0.12997383077232771,0.12997383077232771,False
11,8834,1116,,9950,0.11216080402010051,0.11216080402010051,False
12,15320,2018,,17338,0.11639174068520014,0.11639174068520014,False
13,13557,2096,,15653,0.1339040439532358,0.1339040439532358,False
14,11442,1911,,13353,0.1431139069871939,0.1431139069871939,False
15,8806,1531,,10337,0.14810873560994486,0.14810873560994486,False
16,11268,2148,,13416,0.16010733452593917,0.16010733452593917,False
17,9289,2194,,11483,0.19106505268658017,0.19106505268658017,False
18,11676,3392,557,15625,0.217088,0.22511282187417042,True
19,11680,3373,538,15591,0.21634276184978513,0.22407493522885805,True
20,11969,3764,559,16292,0.23103363614043704,0.23924235682959386,True
