character,first_appearance_work,cn11_official_rank,jp20_official_rank,rank_gap_cn_minus_jp,cn11_male_character_marks,cn11_female_character_marks,cn11_female_share_known_binary_marks,female_relative_preference_ratio,literal_neutral_tag_hit,presentation_proxy_hit,expanded_proxy_hit,cn11_raw_vote_baseline_rank_within_comparable_roster,cn11_raw_vote_reweighted_rank_at_jp20_binary_female_share,reweighted_rank_change_negative_is_improvement,matched_tags
丁礼田舞,16,134,115,19,38,15,0.2830188679245283,2.289659710998384,False,True,True,110,109,-1,"['仆娘', '伪娘', '冒失', '及膝袜', '大蝴蝶结', '腹黑', '舞姬', '舞鞋', '连衣裙', '长鬓角', '风折乌帽']"
三头慧之子,19,112,111,1,80,22,0.21568627450980393,1.5951295986622072,False,False,False,98,98,0,"['三尾', '双色发', '吃人', '吊坠', '尾巴', '挑染', '捕兽夹手环', '犬娘', '犬耳', '白发红眼', '短发', '脚环', '萝莉老太婆', '虎牙', '裸足', '间谍', '露肩装']"
上白泽慧音,8,42,50,-8,482,102,0.17465753424657535,1.2274856209999634,False,False,False,39,39,0,"['兽人', '双角', '变身', '大蝴蝶结', '头槌', '巨乳', '御姐', '泡泡袖', '秀才帽', '老师', '连衣裙', '长发']"
东风谷早苗,10,9,14,-5,1866,248,0.1173131504257332,0.7709093646462583,False,False,False,9,9,0,"['不对称鬓发', '分离袖子', '及膝袜', '吐槽役', '天然呆', '巨乳', '巫女', '御币', '束鬓', '蛇形发饰', '认真', '长直', '长鬓角', '露脐装', '露腋', '青蛙发夹']"
丰聪耳神子,13,40,33,7,493,161,0.24617737003058104,1.8942715499510632,False,False,True,37,34,-3,"['中二病', '刀剑', '女王三段笑', '手环', '披风', '笏板', '耳状发', '耳罩', '脚环', '跨性别者', '道士', '露腋']"
九十九八桥,14,135,136,-1,43,9,0.17307692307692307,1.2140521258317012,False,False,False,111,111,0,"['元气', '发箍', '大蝴蝶结', '妹妹', '无铁炮', '短发', '裸足', '音乐人']"
九十九弁弁,14,96,127,-31,132,22,0.14285714285714285,0.9667452113104287,False,False,False,85,85,0,"['下双马尾', '姐姐', '琵琶', '花型发饰', '裸足', '连衣裙', '锁链', '音乐人']"
二岩猯藏,13,86,73,13,159,59,0.2706422018348624,2.1523761308420863,False,False,False,76,74,-2,"['BBA', '亲分', '兽耳', '变身', '和服', '围巾', '墨镜', '妖兽', '尾巴', '抽烟', '木屐', '烟斗', '片假名名字', '特殊第一人称', '猫嘴', '眼镜', '绿帽子', '西装', '连衣裙', '酒器', '酒豪', '铃铛']"
云居一轮,12,128,123,5,30,30,0.5,5.800471267862572,False,False,False,106,105,-1,"['中二', '及膝袜', '呆毛', '头巾', '尼姑', '替身使者', '环', '破戒', '路人女主']"
云山,12,175,158,17,7,4,0.36363636363636365,3.3145550102071843,False,False,False,122,121,-1,['长者']
今泉影狼,14,95,84,11,148,13,0.08074534161490683,0.5095008546095502,False,False,False,84,86,2,"['兽耳', '变身', '尾巴', '狼人', '肉食系', '裸足', '长指甲', '长直', '长裙']"
伊吹萃香,7.5,26,27,-1,889,105,0.1056338028169014,0.6850950316373117,False,False,False,25,26,1,"['万年萝莉', '丝带', '单纯', '双角', '大蝴蝶结', '姬发式', '巨大娘', '幼儿体型', '怪力女', '灯笼裤', '西瓜', '酒器', '酒豪', '锁链', '长直', '鬼']"
依神女苑,15.5,97,68,29,115,36,0.23841059602649006,1.8157997012439357,False,False,False,86,84,-2,"['包包', '双螺旋', '吊坠', '墨镜', '妹妹', '戒指', '扇子', '手环', '抢钱', '拜金', '毒舌', '礼帽', '耳环', '蝴蝶结', '败家', '靴子']"
依神紫苑,15.5,25,32,-7,876,127,0.12662013958125623,0.8409359029892085,False,False,False,24,24,0,"['不幸', '不悯', '大蝴蝶结', '姐姐', '布偶', '帽T', '手环', '裸足', '贪财', '贫穷', '迷你裙', '长发']"
克劳恩皮丝,15,74,60,14,260,32,0.1095890410958904,0.7139041560446243,False,False,False,66,67,1,"['万年萝莉', '国旗装', '妖精', '小丑帽', '条纹连裤袜', '火炬', '翅膀', '长发', '鬼畜']"
八云紫,7,17,16,1,1345,275,0.1697530864197531,1.1859699618306374,False,False,False,17,17,0,"['BBA', '伞', '多马尾', '巨乳', '御姐', '折扇', '最强', '束鬓', '永远的十七岁（装嫩）', '睡神', '腹黑', '荷叶边帽子', '蝴蝶结', '连衣裙', '长卷发', '隔空取物', '隙间']"
八云蓝,7,44,29,15,489,91,0.15689655172413794,1.0794333034263683,False,False,False,41,40,-1,"['兽耳', '助手', '学霸', '尾巴', '巨乳', '御姐', '有袜无鞋', '母爱', '狐娘', '短发', '短靴', '脚环', '荷叶边帽子', '萝莉控']"
八坂神奈子,10,84,74,10,169,62,0.2683982683982684,2.1279835420560915,False,False,False,74,72,-2,"['BBA', '卷发', '女神', '妈妈', '山神', '御姐', '御柱', '木屐', '树叶发饰', '泡泡袖', '短发', '稻草绳', '风神']"
八意永琳,8,52,37,15,337,117,0.2577092511013216,2.0138134668840384,False,False,False,48,44,-4,"['BBA', '医生', '天才', '巨乳', '弓', '御姐', '护士', '护士服和道士服融合服饰', '教师', '永远的十七岁', '泡泡袖', '温柔', '蓬莱人', '隐者', '麻花辫']"
十六夜咲夜,6,7,6,1,2182,387,0.15064227325807708,1.0287728600654518,False,False,False,7,7,0,"['女仆', '女仆装', '御姐', '怀表', '料理达人', '时停', '束鬓', '泡泡袖', '短发', '胸垫', '萝莉控', '飞刀', '麻花辫', '黑色连裤袜']"
博丽灵梦,100,1,1,0,4174,651,0.13492227979274612,0.9046734056968219,False,False,False,1,1,0,"['会生长的御币', '假笑女孩', '分离袖子', '半马尾', '单纯', '大蝴蝶结', '巫女', '强运', '扫帚', '搞姬', '无节操', '无铁炮', '有袜无鞋', '束鬓', '淑女', '玛丽珍鞋', '白色短袜', '符箓', '缠胸布', '贪财', '长鬓角', '露脐装', '露腋', '颜艺', '黑长直', '齐刘海']"
古明地恋,11,3,4,-1,3565,572,0.13826444283297076,0.9306786999207269,False,False,False,3,3,0,"['三眼', '丝带', '单纯', '卷发', '嗜杀', '天然呆', '好奇', '妹妹', '宽檐帽', '无意识', '短靴', '美少女', '萌袖', '阿卡林', '靴子', '颜艺', '鬼畜']"
