round,under20_count,respondent_n,under20_share,source_generation,age_representation,source_url,source_file
5,2784,7909,0.35200404602351754,legacy_official,official broad bins; first three bins through 15-19,http://thwiki.info/th/vote5/result_anq.html,data_raw/jp_official_legacy/round_05/questionnaire/result_anq.html.tables.json
6,5221,13479,0.38734327472364416,legacy_official,official broad bins; first three bins through 15-19,http://thwiki.info/th/vote6/result_anq.html,data_raw/jp_official_legacy/round_06/questionnaire/result_anq.html.tables.json
7,7408,19624,0.37749694251936405,legacy_official,official broad bins; first three bins through 15-19,http://thwiki.info/th/vote7/result_anq.html,data_raw/jp_official_legacy/round_07/questionnaire/result_anq.html.tables.json
8,7257,19273,0.37653712447465365,legacy_official,official broad bins; first three bins through 15-19,http://thwiki.info/th/vote8/result_anq.html,data_raw/jp_official_legacy/round_08/questionnaire/result_anq.html.tables.json
9,6423,18210,0.35271828665568367,legacy_official,official broad bins; first three bins through 15-19,http://thwiki.info/th/vote9/result_anq.html,data_raw/jp_official_legacy/round_09/questionnaire/result_anq.html.tables.json
10,5044,13636,0.36990319741859784,legacy_official,official broad bins; first three bins through 15-19,http://thwiki.info/th/vote10/result_anq.html,data_raw/jp_official_legacy/round_10/questionnaire/result_anq.html.tables.json
11,3992,9664,0.41307947019867547,legacy_official,official broad bins; first three bins through 15-19,http://thwiki.info/th/vote11/result_questionnaire.php,data_raw/jp_official_legacy/round_11/questionnaire/result_questionnaire.php.html.tables.json
12,7846,16869,0.4651135218448041,legacy_official,official broad bins; first three bins through 15-19,http://thwiki.info/th/vote12/result_list_questionnaire.php,data_raw/jp_official_legacy/round_12/questionnaire/result_list_questionnaire.php.html.tables.json
13,6504,15118,0.4302156369890197,legacy_official,official broad bins; first three bins through 15-19,https://toho-vote.info/result13/result_list_questionnaire.php,data_raw/jp_official_legacy/round_13/questionnaire/result_list_questionnaire.php.html.tables.json
14,5335,13060,0.40849923430321594,legacy_official,official broad bins; first three bins through 15-19,https://toho-vote.info/result14/result_list_questionnaire.php,data_raw/jp_official_legacy/round_14/questionnaire/result_list_questionnaire.php.html.tables.json
15,4072,10163,0.40066909377152415,legacy_official,official broad bins; first three bins through 15-19,https://toho-vote.info/result15/result_list_questionnaire.php,data_raw/jp_official_legacy/round_15/questionnaire/result_list_questionnaire.php.html.tables.json
16,6050,13370,0.4525056095736724,legacy_official,official broad bins; first three bins through 15-19,https://toho-vote.info/result16/result_list_questionnaire.php,data_raw/jp_official_legacy/round_16/questionnaire/result_list_questionnaire.php.html.tables.json
17,5609,11384,0.49270906535488407,modern_official,official exact ages; summed ages <=19,https://toho-vote.info/,data_processed/jp_official/questionnaire_long.csv
18,8289,15135,0.5476709613478692,modern_official,official exact ages; summed ages <=19,https://toho-vote.info/,data_processed/jp_official/questionnaire_long.csv
19,8366,15273,0.5477640280233091,modern_official,official exact ages; summed ages <=19,https://toho-vote.info/,data_processed/jp_official/questionnaire_long.csv
20,9277,16030,0.578727386150967,modern_official,official exact ages; summed ages <=19,https://toho-vote.info/,data_processed/jp_official/questionnaire_long.csv
21,8887,15236,0.583289577316881,modern_official,official exact ages; summed ages <=19,https://toho-vote.info/,data_processed/jp_official/questionnaire_long.csv
