round,topic,source_question_id,question,rows,numeric_rows,rows_with_denominator,included_in_any_comparable_trend,trend_status,exclusion_reason,source_url
3,cleared_title,jp3:q:7915609e6bef,1.ノーコンティニューでクリアできた難易度 (EASY～LUNAの中から最大のもの1つとEXTRAのクリア有無。初期残機数・ルート問わず),48,48,48,True,included_in_comparable_trend,,http://thwiki.info/th/vote3/result_anq.html
3,cognition,jp3:q:e64f911738f7,4.東方をシリーズを本格的に知った時期 - 有効回答数:2861人,9,9,9,True,included_in_comparable_trend,,http://thwiki.info/th/vote3/result_anq.html
3,main_character,jp3:q:e7f0ea025c9b,2.メインで使用しているキャラ,17,17,17,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote3/result_anq.html
3,other,jp3:q:85cdf5c10c83,5.「東方香霖堂」について - 有効回答数:2883人,2,2,2,False,raw_only_one_off_or_unmapped,one-off numeric question or component outside a repeatable cross-round definition,http://thwiki.info/th/vote3/result_anq.html
3,play_time,jp3:q:28121cf4ff0b,3.妖々夢、永夜抄の総プレイ時間,26,26,26,True,included_in_comparable_trend,,http://thwiki.info/th/vote3/result_anq.html
4,cleared_title,jp4:q:7915609e6bef,1.ノーコンティニューでクリアできた難易度 (EASY～LUNAの中から最大のもの1つとEXTRAのクリア有無。初期残機数・ルート問わず),62,62,62,True,included_in_comparable_trend,,http://thwiki.info/th/vote4/result_anq.html
4,cognition,jp4:q:753b10cfaeff,6.東方シリーズを本格的に知った時期 - 有効回答数:2995人,12,12,12,True,included_in_comparable_trend,,http://thwiki.info/th/vote4/result_anq.html
4,favorite_work,jp4:q:03648bac9090,5.東方シリーズで一番好きな作品 - 有効回答数:2973人,10,10,10,False,raw_only_incompatible_repeated_design,similarly themed rounds use materially different question/ranking definitions,http://thwiki.info/th/vote4/result_anq.html
4,input_device,jp4:q:3825b322f75b,4.使用入力デバイス - 有効回答数:2986人,5,5,5,True,included_in_comparable_trend,,http://thwiki.info/th/vote4/result_anq.html
4,magazine,jp4:q:ef1e57546866,7.購読・所持している本,3,3,0,False,raw_only_no_two_round_series,no same-definition option series appears in at least two rounds,http://thwiki.info/th/vote4/result_anq.html
4,main_character,jp4:q:77ffc7705cb2,2.メイン使用キャラ,27,27,27,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote4/result_anq.html
4,play_time,jp4:q:28121cf4ff0b,3.妖々夢、永夜抄の総プレイ時間,42,42,42,True,included_in_comparable_trend,,http://thwiki.info/th/vote4/result_anq.html
5,age,jp5:q:31ad93ca0306,1.プレイヤー層調査,10,10,10,True,included_in_comparable_trend,,http://thwiki.info/th/vote5/result_anq.html
5,cleared_title,jp5:q:84ec99ed0026,3.ノーコンティニューでクリアできた難易度 (EASY～LUNAの中から最大のもの1つとEXTRAのクリア有無。初期残機数・ルート問わず),47,47,47,True,included_in_comparable_trend,,http://thwiki.info/th/vote5/result_anq.html
5,cognition,jp5:q:6bc906650360,8.東方を知った時期,10,10,10,True,included_in_comparable_trend,,http://thwiki.info/th/vote5/result_anq.html
5,demographics_other,jp5:q:31ad93ca0306,1.プレイヤー層調査,2,2,2,False,raw_only_one_off_or_unmapped,one-off numeric question or component outside a repeatable cross-round definition,http://thwiki.info/th/vote5/result_anq.html
5,input_device,jp5:q:70a2fb815541,5.使用入力デバイス,5,5,5,True,included_in_comparable_trend,,http://thwiki.info/th/vote5/result_anq.html
5,magazine,jp5:q:77e008c7623d,9.購読している雑誌・所持している書籍,9,9,9,True,included_in_comparable_trend,,http://thwiki.info/th/vote5/result_anq.html
5,main_character,jp5:q:a8dc34fb533e,4.風神録メイン使用キャラ,6,6,6,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote5/result_anq.html
5,played_title,jp5:q:0819d4ec7362,2.プレイしたことがある作品,15,15,15,True,included_in_comparable_trend,,http://thwiki.info/th/vote5/result_anq.html
5,sex,jp5:q:31ad93ca0306,1.プレイヤー層調査,2,2,2,True,included_in_comparable_trend,,http://thwiki.info/th/vote5/result_anq.html
5,trigger,jp5:q:0a3b3b3f8778,7.東方を知った場所,13,13,13,True,included_in_comparable_trend,,http://thwiki.info/th/vote5/result_anq.html
5,work_rating,jp5:q:cc4902a8011f,6.各作品の評価(5段階),35,35,35,False,raw_only_no_repeated_item_option,"question repeats, but the title/item set changes and no same item-option series spans two rounds",http://thwiki.info/th/vote5/result_anq.html
6,age,jp6:q:31ad93ca0306,1.プレイヤー層調査,40,40,40,True,included_in_comparable_trend,,http://thwiki.info/th/vote6/result_anq.html
6,cleared_title,jp6:q:84ec99ed0026,3.ノーコンティニューでクリアできた難易度 (EASY～LUNAの中から最大のもの1つとEXTRAのクリア有無。初期残機数・ルート問わず),54,54,54,True,included_in_comparable_trend,,http://thwiki.info/th/vote6/result_anq.html
