region,round,source_system,source_question_id,question_key,question,topic,source_item,source_option,count,denominator,percent,official_percent,percent_basis,denominator_basis,source_url,source_file,source_locator,question_path_json
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,0～10時間,135,2577,5.23865,5.24,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:0,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,10～20時間,244,2577,9.468374,9.47,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:1,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,100～150時間,325,2577,12.611564,12.61,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:10,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,150～200時間,118,2577,4.578968,4.58,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:11,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,200時間以上,249,2577,9.662398,9.66,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:12,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,20～30時間,265,2577,10.283275,10.28,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:2,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,30～40時間,236,2577,9.157936,9.16,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:3,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,40～50時間,233,2577,9.041521,9.04,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:4,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,50～60時間,205,2577,7.954986,7.95,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:5,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,60～70時間,150,2577,5.820722,5.82,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:6,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,70～80時間,119,2577,4.617773,4.62,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:7,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,80～90時間,101,2577,3.919286,3.92,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:8,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■妖々夢 - 有効回答数:2577人,90～100時間,197,2577,7.644548,7.64,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:11/row:9,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■妖々夢 - 有効回答数：2577人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■永夜抄 - 有効回答数:2602人,0～10時間,131,2602,5.034589,5.03,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:12/row:0,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■永夜抄 - 有効回答数：2602人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■永夜抄 - 有効回答数:2602人,10～20時間,293,2602,11.260569,11.26,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:12/row:1,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■永夜抄 - 有効回答数：2602人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■永夜抄 - 有効回答数:2602人,100～150時間,166,2602,6.379708,6.38,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:12/row:10,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■永夜抄 - 有効回答数：2602人""]"
jp,3,jp_official_legacy,jp3:q:28121cf4ff0b,,3.妖々夢、永夜抄の総プレイ時間,play_time,■永夜抄 - 有効回答数:2602人,150～200時間,50,2602,1.921599,1.92,computed_from_count_and_denominator,explicit_official_heading,http://thwiki.info/th/vote3/result_anq.html,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,table:12/row:11,"[""投票者アンケート結果"",""３．妖々夢、永夜抄の総プレイ時間"",""■永夜抄 - 有効回答数：2602人""]"
