topic,round,raw_numeric_rows,comparable_trend_rows,status
age,3,0,0,question_not_offered_or_not_present
age,4,0,0,question_not_offered_or_not_present
age,5,10,13,comparable_trend_available
age,6,40,11,comparable_trend_available
age,7,62,13,comparable_trend_available
age,8,62,13,comparable_trend_available
age,9,62,13,comparable_trend_available
age,10,62,13,comparable_trend_available
age,11,105,13,comparable_trend_available
age,12,67,13,comparable_trend_available
age,13,75,13,comparable_trend_available
age,14,68,13,comparable_trend_available
age,15,106,13,comparable_trend_available
age,16,64,13,comparable_trend_available
age,17,62,13,comparable_trend_available
age,18,65,13,comparable_trend_available
age,19,67,13,comparable_trend_available
age,20,69,13,comparable_trend_available
age,21,67,13,comparable_trend_available
books,3,0,0,question_not_offered_or_not_present
books,4,0,0,question_not_offered_or_not_present
books,5,0,0,question_not_offered_or_not_present
books,6,0,0,question_not_offered_or_not_present
books,7,0,0,question_not_offered_or_not_present
books,8,0,0,question_not_offered_or_not_present
books,9,0,0,question_not_offered_or_not_present
books,10,0,0,question_not_offered_or_not_present
books,11,0,0,question_not_offered_or_not_present
books,12,0,0,question_not_offered_or_not_present
books,13,0,0,question_not_offered_or_not_present
books,14,0,0,question_not_offered_or_not_present
books,15,0,0,question_not_offered_or_not_present
books,16,0,0,question_not_offered_or_not_present
books,17,0,0,question_not_offered_or_not_present
books,18,0,0,question_not_offered_or_not_present
books,19,0,0,question_not_offered_or_not_present
books,20,0,0,question_not_offered_or_not_present
books,21,14,0,raw_only_or_not_comparable
charm,3,0,0,question_not_offered_or_not_present
charm,4,0,0,question_not_offered_or_not_present
charm,5,0,0,question_not_offered_or_not_present
charm,6,0,0,question_not_offered_or_not_present
charm,7,13,0,raw_only_or_not_comparable
charm,8,0,0,question_not_offered_or_not_present
charm,9,0,0,question_not_offered_or_not_present
charm,10,0,0,question_not_offered_or_not_present
charm,11,7,7,comparable_trend_available
charm,12,7,7,comparable_trend_available
charm,13,7,7,comparable_trend_available
charm,14,7,7,comparable_trend_available
charm,15,7,7,comparable_trend_available
charm,16,7,7,comparable_trend_available
charm,17,7,7,comparable_trend_available
charm,18,7,7,comparable_trend_available
charm,19,7,7,comparable_trend_available
charm,20,7,7,comparable_trend_available
charm,21,7,7,comparable_trend_available
cleared_title,3,48,12,comparable_trend_available
cleared_title,4,62,12,comparable_trend_available
cleared_title,5,47,20,comparable_trend_available
cleared_title,6,54,24,comparable_trend_available
cleared_title,7,61,28,comparable_trend_available
cleared_title,8,56,16,comparable_trend_available
cleared_title,9,85,20,comparable_trend_available
cleared_title,10,73,20,comparable_trend_available
cleared_title,11,68,54,comparable_trend_available
cleared_title,12,66,66,comparable_trend_available
cleared_title,13,66,66,comparable_trend_available
cleared_title,14,72,72,comparable_trend_available
cleared_title,15,72,72,comparable_trend_available
cleared_title,16,78,78,comparable_trend_available
cleared_title,17,84,84,comparable_trend_available
cleared_title,18,84,84,comparable_trend_available
cleared_title,19,90,90,comparable_trend_available
cleared_title,20,90,90,comparable_trend_available
cleared_title,21,90,90,comparable_trend_available
cognition,3,9,8,comparable_trend_available
cognition,4,12,8,comparable_trend_available
cognition,5,10,9,comparable_trend_available
cognition,6,11,10,comparable_trend_available
cognition,7,12,11,comparable_trend_available
cognition,8,0,0,question_not_offered_or_not_present
cognition,9,0,0,question_not_offered_or_not_present
cognition,10,15,13,comparable_trend_available
cognition,11,17,16,comparable_trend_available
cognition,12,18,17,comparable_trend_available
cognition,13,19,18,comparable_trend_available
cognition,14,20,20,comparable_trend_available
cognition,15,20,20,comparable_trend_available
cognition,16,21,20,comparable_trend_available
cognition,17,22,22,comparable_trend_available
cognition,18,22,22,comparable_trend_available
cognition,19,25,25,comparable_trend_available
