topic,comparison_group,item,option,first_round,first_count,first_denominator,first_percent,last_round,last_count,last_denominator,last_percent,change_pp,rounds_observed,observed_rounds_json,missing_rounds_json,source_url_first,source_url_last
age,age_40plus_detail,,40-49,5,5,7909,0.063219,21,387,15236,2.540037,2.476818,16,"[5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[6],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_40plus_detail,,50+,5,3,7909,0.037931,21,138,15236,0.90575,0.867819,16,"[5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[6],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_broad_groups,,30plus,5,412,7909,5.209255,21,1806,15236,11.853505,6.64425,17,"[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_broad_groups,,twenties,5,4713,7909,59.59034,21,4543,15236,29.817537,-29.772803,17,"[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_broad_groups,,under20,5,2784,7909,35.200405,21,8887,15236,58.328958,23.128553,17,"[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_fixed_bins,,00-09,5,2,7909,0.025288,21,109,15236,0.715411,0.690123,17,"[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_fixed_bins,,10-14,5,157,7909,1.98508,21,2973,15236,19.512996,17.527916,17,"[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_fixed_bins,,15-19,5,2625,7909,33.190037,21,5805,15236,38.100551,4.910514,17,"[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_fixed_bins,,20-24,5,3527,7909,44.594765,21,3003,15236,19.709898,-24.884867,17,"[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
age,age_fixed_bins,,25-29,5,1186,7909,14.995575,21,1540,15236,10.10764,-4.887935,17,"[5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21]",[],http://thwiki.info/th/vote5/result_anq.html,https://toho-vote.info/assets/questionnaire-Dtnh2EWB.js
