site,round,merge_group_id,canonical_track,source_row_count,source_titles_jp_json,source_titles_cn_json,source_ranks_json,best_source_rank,merged_rank,rank_improvement_vs_best_source,best_source_score,merged_score,score_added_by_other_reprints,primary_count
cn,1,music:fc15babf3f3705f8,妖妖跋扈,3,[],"[""妖妖跋扈"", ""妖妖跋扈 ~ Speed Fox!"", ""妖妖跋扈 ~ Who done it!""]","[101, 110, 199]",101.0,65.0,36.0,63.0,132.0,69.0,5.0
cn,1,music:576f6a5fb49f6fed,飞翔在夜晚的鸠山 -Power MIX,3,[],"[""飞翔在夜晚的鸠山 -Power MIX""]","[259, 296, 332]",259.0,209.0,50.0,7.0,13.0,6.0,1.0
cn,2,music:fc15babf3f3705f8,妖妖跋扈,3,[],"[""妖妖跋扈"", ""妖妖跋扈 ~ Speed Fox!"", ""妖妖跋扈 ~ Who done it!""]","[119, 130, 335]",119.0,86.0,33.0,46.0,88.0,42.0,7.0
cn,3,music:fc15babf3f3705f8,妖妖跋扈,3,[],"[""妖妖跋扈"", ""妖妖跋扈 ~ Speed Fox!"", ""妖妖跋扈 ~ Who done it!""]","[131, 138, 353]",131.0,94.0,37.0,47.0,90.0,43.0,3.0
cn,4,music:fc15babf3f3705f8,妖妖跋扈,3,[],"[""妖妖跋扈"", ""妖妖跋扈 ~ Speed Fox!"", ""妖妖跋扈 ~ Who done it!""]","[159, 183, 360]",159.0,124.0,35.0,45.0,82.0,37.0,5.0
cn,5,music:fc15babf3f3705f8,妖妖跋扈,3,[],"[""妖妖跋扈"", ""妖妖跋扈 ~ Speed Fox!"", ""妖妖跋扈 ~ Who done it!""]","[156, 223, 363]",156.0,123.0,33.0,53.0,83.0,30.0,4.0
cn,6,music:fff6d1080c13e239,狂气之瞳,2,[],"[""狂气之瞳 ~ Invisible Full Moon""]","[63, 198]",63.0,56.0,7.0,280.0,317.0,37.0,25.0
cn,6,music:fc15babf3f3705f8,妖妖跋扈,3,[],"[""妖妖跋扈"", ""妖妖跋扈 ~ Speed Fox!"", ""妖妖跋扈 ~ Who done it!""]","[217, 246, 400]",217.0,162.0,55.0,32.0,58.0,26.0,2.0
cn,7,music:fc15babf3f3705f8,妖妖跋扈,3,[],"[""妖妖跋扈"", ""妖妖跋扈 ~ Speed Fox!"", ""妖妖跋扈 ~ Who done it!""]","[220, 226, 397]",220.0,162.0,58.0,27.0,56.0,29.0,2.0
cn,7,music:89f99822ea43b4b3,少女神性 ~ Pandora's Box,2,[],"[""少女神性 ~ Pandora's Box""]",[286],286.0,285.0,1.0,14.0,14.0,0.0,0.0
cn,8,music:fc15babf3f3705f8,妖妖跋扈,3,[],"[""妖妖跋扈"", ""妖妖跋扈 ~ Speed Fox!"", ""妖妖跋扈 ~ Who done it!""]","[219, 252, 417]",219.0,164.0,55.0,37.0,67.0,30.0,2.0
