entity_id,name,official_rank,counterfactual_rank_2_1,rank_change_old_minus_official,published_points_3_2_1,counterfactual_points_2_1,primary_count_3pt,secondary_count_2pt,other_count_1pt
2,霧雨 魔理沙,2,1,1,27553,20412,3777,3364,9494
1,博麗 霊夢,3,2,1,27408,20360,3618,3430,9694
54,古明地 こいし,1,3,-2,27688,19948,5133,2607,7075
11,フランドール・スカーレット,4,4,0,23917,17574,3726,2617,7505
9,十六夜 咲夜,5,5,0,19804,15226,2518,2060,8130
10,レミリア・スカーレット,6,6,0,19638,14918,2366,2354,7832
19,魂魄 妖夢,7,7,0,18435,13882,2933,1620,6396
51,古明地 さとり,8,8,0,13504,10331,1399,1774,5759
5,チルノ,10,9,1,12447,9708,1575,1164,5394
30,藤原 妹紅,9,10,-1,12665,9626,1755,1284,4832
32,射命丸 文,11,11,0,10133,7993,1116,1024,4737
20,西行寺 幽々子,12,12,0,9612,7560,1022,1030,4486
42,東風谷 早苗,13,13,0,9426,7451,1082,893,4394
14,アリス・マーガトロイド,14,14,0,9331,7405,972,954,4507
27,鈴仙・優曇華院・イナバ,15,15,0,8609,6858,896,855,4211
22,八雲 紫,16,16,0,7376,5865,699,812,3655
6,紅 美鈴,17,17,0,7315,5803,712,800,3579
8,パチュリー・ノーレッジ,18,18,0,7216,5778,702,736,3638
3,ルーミア,19,19,0,7062,5596,727,739,3403
72,秦 こころ,20,20,0,6729,5247,791,691,2974
46,比那名居 天子,21,21,0,6672,5160,829,683,2819
56,多々良 小傘,22,22,0,6249,4955,627,667,3034
44,洩矢 諏訪子,23,23,0,5943,4688,665,590,2768
36,四季映姫・ヤマザナドゥ,24,24,0,5524,4411,536,577,2762
29,蓬莱山 輝夜,25,25,0,5022,4035,431,556,2617
87,純狐,26,26,0,4972,3971,479,522,2491
28,八意 永琳,28,27,1,4889,3971,428,490,2625
34,風見 幽香,27,28,-1,4959,3949,518,492,2421
31,伊吹 萃香,29,29,0,4733,3804,441,488,2434
41,犬走 椛,30,30,0,4621,3631,534,456,2107
53,霊烏路 空,32,31,1,4315,3453,479,383,2112
21,八雲 藍,31,32,-1,4325,3409,416,500,2077
88,ヘカーティア・ラピスラズリ,33,33,0,4069,3280,326,463,2165
97,依神紫苑,34,34,0,4065,3213,420,432,1941
78,鬼人 正邪,35,35,0,4035,3114,546,375,1647
70,豊聡耳 神子,36,36,0,3952,3087,444,421,1778
49,水橋 パルスィ,37,37,0,3825,3061,362,402,1935
137,宇佐見 蓮子,38,38,0,3690,2976,323,391,1939
39,鍵山 雛,39,39,0,3647,2868,436,343,1653
85,稀神 サグメ,41,40,1,3561,2859,324,378,1833
69,物部 布都,40,41,-1,3571,2831,365,375,1726
95,摩多羅隠岐奈,43,42,1,3430,2746,356,328,1706
205,飯綱丸 龍,42,43,-1,3482,2719,394,369,1562
40,河城 にとり,44,44,0,3262,2619,333,310,1643
147,茨木 華扇,45,45,0,3027,2468,262,297,1647
52,火焔猫 燐,46,46,0,2952,2447,216,289,1726
117,魅魔,49,47,2,2860,2380,170,310,1730
24,ミスティア・ローレライ,47,48,-1,2906,2356,268,282,1538
208,饕餮 尤魔,48,49,-1,2886,2354,237,295,1585
13,橙,51,50,1,2726,2264,198,264,1604
61,聖 白蓮,50,51,-1,2733,2242,204,287,1547
25,上白沢 慧音,52,52,0,2688,2213,187,288,1551
4,大妖精,53,53,0,2633,2121,126,386,1483
62,封獣 ぬえ,54,54,0,2581,2105,222,254,1407
138,マエリベリー・ハーン,55,55,0,2511,2053,128,330,1467
206,天弓 千亦,56,56,0,2468,2009,209,250,1341
7,小悪魔,57,57,0,2289,1954,130,205,1489
221,道神 馴子,60,58,2,2076,1795,83,198,1431
134,神綺,61,59,2,2055,1744,109,202,1324
55,ナズーリン,58,60,-2,2156,1727,215,214,1083
84,ドレミー・スイート,59,61,-2,2094,1698,194,202,1108
26,因幡 てゐ,64,62,2,1871,1567,120,184,1143
204,菅牧 典,66,63,3,1848,1551,116,181,1138
103,埴安神 袿姫,62,64,-2,1916,1544,177,195,995
67,霍 青娥,68,65,3,1820,1501,123,196,1059
23,リグル・ナイトバグ,63,66,-3,1906,1499,227,180,865
74,赤蛮奇,65,67,-2,1860,1493,183,184,943
86,クラウンピース,70,68,2,1724,1476,117,131,1111
59,村紗 水蜜,67,69,-2,1832,1461,196,175,894
43,八坂 神奈子,69,70,-1,1734,1410,130,194,956
15,リリーホワイト,71,71,0,1692,1390,139,163,949
150,本居 小鈴,72,72,0,1657,1382,100,175,1007
144,綿月 豊姫,73,73,0,1629,1352,135,142,940
35,小野塚 小町,75,74,1,1555,1291,91,173,936
64,姫海棠 はたて,77,75,2,1527,1281,104,142,931
128,幻月,80,76,4,1481,1281,90,110,991
96,依神女苑,74,77,-3,1575,1271,124,180,843
45,永江 衣玖,76,78,-2,1554,1245,124,185,812
101,吉弔 八千慧,81,79,2,1478,1244,90,144,920
71,二ッ岩 マミゾウ,78,80,-2,1513,1238,136,139,827
139,稗田 阿求,79,81,-2,1499,1236,119,144,854
140,森近 霖之助,82,82,0,1436,1168,139,129,761
75,今泉 影狼,83,83,0,1394,1150,113,131,793
50,星熊 勇儀,84,84,0,1360,1119,106,135,772
81,宇佐見 菫子,85,85,0,1346,1107,115,124,753
100,庭渡 久侘歌,86,86,0,1324,1095,96,133,770
151,奥野田 美宵,89,87,2,1229,1062,39,128,856
68,蘇我 屠自古,88,88,0,1285,1045,106,134,699
79,少名 針妙丸,87,89,-2,1287,1044,118,125,683
123,岡崎 夢美,90,90,0,1221,1018,101,102,714
209,宮出口瑞霊,91,91,0,1207,992,91,124,686
80,堀川 雷鼓,92,92,0,1199,987,104,108,671
91,高麗野あうん,95,93,2,1104,938,69,97,703
216,豫母都 日狭美,96,94,2,1096,936,55,105,721
33,メディスン・メランコリー,93,95,-2,1132,921,99,112,611
145,綿月 依姫,94,96,-2,1128,914,83,131,617
142,ルナチャイルド,97,97,0,1046,883,59,104,661
73,わかさぎ姫,99,98,1,1032,857,76,99,606
66,宮古 芳香,98,99,-1,1039,855,92,92,579
217,日白 残無,103,100,3,969,831,54,84,639
222,先代巫女,105,101,4,945,817,40,88,649
127,夢月,108,102,6,912,811,19,82,691
12,レティ・ホワイトロック,100,103,-3,983,806,94,83,535
16,ルナサ・プリズムリバー,103,104,-1,969,792,85,92,530
207,姫虫 百々世,102,105,-3,970,790,80,100,530
38,秋 穣子,106,106,0,944,787,43,114,587
37,秋 静葉,107,107,0,937,768,75,94,524
215,天火人 ちやり,111,108,3,858,741,43,74,581
