round,character,official_rank,rank_prev,rank_change_prev_to_current,points,primary_num,comment_num,official_support_count,community_evidence,temporal_alignment,distribution_reading,causal_status
20,博麗 霊夢,1,2,1,21959,4301,3890,57,"X归档结果日霊夢1位；B站结果搬运/祝贺传播",results_day,"最高分且官方支援数最高；头部集中并不等于社媒造成第一",descriptive_only
20,霧雨 魔理沙,2,1,-1,20249,4062,4449,42,"投票期X拉票索引；结果后社区比较",voting_and_results,"积分与一押都很高；社媒拉票存在但没有曝光—投票链",descriptive_only
20,フランドール・スカーレット,3,3,0,17324,3723,4048,32,"当前支援页/历届应援叙事可见",mixed,"头部稳定，支援数与第3名一致但不能推出因果",descriptive_only
20,古明地 こいし,4,6,2,16273,3334,3462,32,"结果日后长期角色叙事；后续B站十年回归叙事在第21回集中",results_and_later,"第20回未夺冠但后续跃升；不能把第21回赛后庆祝倒推为第20回动员",descriptive_only
20,稗田 阿求,39,86,47,3011,315,822,6,"投票前寿命/祭日梗视频；结果日‘上升47名’梗视频",pre_vote_plus_results,"名次跃升集中在中位段；支援数低于头部，梗更像解释/可见性放大器",hypothesis_only
20,チルノ,10,15,5,8159,1335,2081,13,"寿命/年龄替换类梗在相关视频链中出现",results_and_later,"排名改善但仍有明显头部—长尾差距",descriptive_only
21,古明地 こいし,1,4,3,27688,5133,4238,28,"结果日X‘こいしちゃん’连续4个半小时Top10；B站F1/结果反应/十年回归二创",results_day,"现行3/2/1下第一；头部积分差仅280分（约1.0%），对规则敏感",hypothesis_only
21,霧雨 魔理沙,2,2,0,27553,3777,4842,28,"X旧计分反事实讨论；结果后比较",results_day,"与恋恋仅差135分；旧2/1反事实下第一，说明分布与权重共同决定标题",descriptive_only
21,博麗 霊夢,3,1,-2,27408,3618,4196,40,"结果日社区祝贺/跨语言传播；X趋势归档未见霊夢进入该日Top10",results_day,"与冠军只差280分；支援数最高但不是现行第一，不能把支援数当票数",descriptive_only
21,フランドール・スカーレット,4,3,-1,23917,3726,4400,23,"结果相关二创/角色应援在支援作品生态中可见",results_day,"与前三有约3.5k分差，头部第4形成第二层",descriptive_only
21,魂魄 妖夢,7,5,-2,18435,2933,3156,17,"官方支援页中多条妖梦应援；B站相关视频",voting_period_and_current,"支援供给与票数同向只是条件共现，角色长期基础盘更可能解释稳定高位",descriptive_only
21,稗田 阿求,79,39,-40,1499,119,239,3,"第20回梗在中文社区可见，但第21回名次大幅回落",later_round,"直接反例：高可见梗/赛后视频不保证下一届票数维持",descriptive_only
