original_path,archive_path,bytes,sha256,reason,replacement_or_reference,archived_at
CharacterTagAnalyze-results-LDA/LDA_topic_3.csv,archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_3.csv,384,78ea2267da79e0436ab90c3e6d7197d0d779fe3059adc5f2a72658019ccc23cf,"Degenerate LDA output: byte-identical to topics 11 and 16, so it cannot support three distinct topics.","CharacterTagAnalyze-results-freq; CharacterTagAnalyze-results-tfidf; CharacterTagAnalyze-results-textrank; keyword_clusters",2026-08-16T02:13:43+08:00
CharacterTagAnalyze-results-LDA/LDA_topic_11.csv,archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_11.csv,384,78ea2267da79e0436ab90c3e6d7197d0d779fe3059adc5f2a72658019ccc23cf,"Degenerate LDA output: byte-identical to topics 3 and 16, so it cannot support three distinct topics.","CharacterTagAnalyze-results-freq; CharacterTagAnalyze-results-tfidf; CharacterTagAnalyze-results-textrank; keyword_clusters",2026-08-16T02:13:43+08:00
CharacterTagAnalyze-results-LDA/LDA_topic_16.csv,archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_16.csv,384,78ea2267da79e0436ab90c3e6d7197d0d779fe3059adc5f2a72658019ccc23cf,"Degenerate LDA output: byte-identical to topics 3 and 11, so it cannot support three distinct topics.","CharacterTagAnalyze-results-freq; CharacterTagAnalyze-results-tfidf; CharacterTagAnalyze-results-textrank; keyword_clusters",2026-08-16T02:13:43+08:00
CharacterTagAnalyze-results-LDA/LDA_topic_3_wordcloud.png,archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_3_wordcloud.png,127450,36f140c2db883df1e4a123bfcb3d459d4f88cced28c6106846b62e0d1dc1accc,"Derived image from the degenerate topic-3 numeric output.",archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_3.csv,2026-08-16T02:13:43+08:00
CharacterTagAnalyze-results-LDA/LDA_topic_11_wordcloud.png,archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_11_wordcloud.png,120808,fe52f93286fca812c9d922d736afc2f2bf9264bdb467dcecc33273edf47a034f,"Derived image from the degenerate topic-11 numeric output.",archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_11.csv,2026-08-16T02:13:43+08:00
CharacterTagAnalyze-results-LDA/LDA_topic_16_wordcloud.png,archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_16_wordcloud.png,129367,719a76679e9c98501a3aacea6fa9b21409db8e6423c941109022777bef67ec3c,"Derived image from the degenerate topic-16 numeric output.",archive_legacy/invalid_analyses/lda_degenerate_topics/LDA_topic_16.csv,2026-08-16T02:13:43+08:00
"CharacterTagAnalyze-clusters.py","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-clusters.py","4373","4dec98d44c154d201cb71af9894640b164e736f07e3ea98075bdebc9933e949b","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-freq.py","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-freq.py","3571","75292ffec943697bd5851bda648a86f028be041d4bc8ac3eabfa957697078531","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-LDA.py","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-LDA.py","4772","6f4b3f5927d6bb0560483804e731ab394df2ab2b9e15e72d2cb734c5a99654ee","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
"CharacterTagAnalyze-textrank.py","archive_legacy/tag_analysis_v1/CharacterTagAnalyze-textrank.py","4760","6fc6cc76dfe473b291dfb33fee23349ba19a9736c1e69077ff033a1b3f6255a1","Legacy tag/text-analysis bundle removed from the maintained numeric vote-analysis path.","Official numeric pipeline under scripts_pipeline/; retained user mappings Character_tag.xlsx and 萌点提取结果.xlsx","2026-08-19T04:00:14.7075130+08:00"
