"name","version","dist_info"
"attrs","25.3.0","attrs-25.3.0.dist-info"
"beautifulsoup4","4.13.4","beautifulsoup4-4.13.4.dist-info"
"bs4","0.0.2","bs4-0.0.2.dist-info"
"certifi","2025.4.26","certifi-2025.4.26.dist-info"
"cffi","1.17.1","cffi-1.17.1.dist-info"
"charset-normalizer","3.4.2","charset_normalizer-3.4.2.dist-info"
"contourpy","1.3.2","contourpy-1.3.2.dist-info"
"cycler","0.12.1","cycler-0.12.1.dist-info"
"et_xmlfile","2.0.0","et_xmlfile-2.0.0.dist-info"
"fonttools","4.58.0","fonttools-4.58.0.dist-info"
"h11","0.16.0","h11-0.16.0.dist-info"
"idna","3.10","idna-3.10.dist-info"
"jieba","0.42.1","jieba-0.42.1.dist-info"
"joblib","1.5.1","joblib-1.5.1.dist-info"
"kiwisolver","1.4.8","kiwisolver-1.4.8.dist-info"
"matplotlib","3.10.3","matplotlib-3.10.3.dist-info"
"numpy","2.2.6","numpy-2.2.6.dist-info"
"openpyxl","3.1.5","openpyxl-3.1.5.dist-info"
"outcome","1.3.0.post0","outcome-1.3.0.post0.dist-info"
"packaging","25.0","packaging-25.0.dist-info"
"pandas","2.2.3","pandas-2.2.3.dist-info"
"pillow","11.2.1","pillow-11.2.1.dist-info"
"pip","25.1.1","pip-25.1.1.dist-info"
"pycparser","2.22","pycparser-2.22.dist-info"
"pyparsing","3.2.3","pyparsing-3.2.3.dist-info"
"PySocks","1.7.1","PySocks-1.7.1.dist-info"
"python-dateutil","2.9.0.post0","python_dateutil-2.9.0.post0.dist-info"
"pytz","2025.2","pytz-2025.2.dist-info"
"requests","2.32.3","requests-2.32.3.dist-info"
"scikit-learn","1.6.1","scikit_learn-1.6.1.dist-info"
"scipy","1.15.3","scipy-1.15.3.dist-info"
"seaborn","0.13.2","seaborn-0.13.2.dist-info"
"selenium","4.33.0","selenium-4.33.0.dist-info"
"setuptools","65.5.0","setuptools-65.5.0.dist-info"
"six","1.17.0","six-1.17.0.dist-info"
"sniffio","1.3.1","sniffio-1.3.1.dist-info"
"sortedcontainers","2.4.0","sortedcontainers-2.4.0.dist-info"
"soupsieve","2.7","soupsieve-2.7.dist-info"
"threadpoolctl","3.6.0","threadpoolctl-3.6.0.dist-info"
"trio","0.30.0","trio-0.30.0.dist-info"
"trio-websocket","0.12.2","trio_websocket-0.12.2.dist-info"
"typing_extensions","4.13.2","typing_extensions-4.13.2.dist-info"
"tzdata","2025.2","tzdata-2025.2.dist-info"
"undetected-chromedriver","3.5.5","undetected_chromedriver-3.5.5.dist-info"
"urllib3","2.4.0","urllib3-2.4.0.dist-info"
"websocket-client","1.8.0","websocket_client-1.8.0.dist-info"
"websockets","15.0.1","websockets-15.0.1.dist-info"
"wordcloud","1.9.4","wordcloud-1.9.4.dist-info"
"wsproto","1.2.0","wsproto-1.2.0.dist-info"
