region,round,category,valid_vote_count,valid_primary_count,respondent_count,source_type,source_path,notes
cn,1,character,6365,5358,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_01/raw/pages/chara/index.html,
cn,1,music,6105,4284,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_01/raw/pages/music/index.html,
cn,1,work,5975,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_01/raw/pages/work/index.html,
cn,2,character,5908,5151,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_02/raw/pages/chara/index.html,
cn,2,cp,5738,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_02/raw/pages/cp/index.html,
cn,2,music,5814,4305,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_02/raw/pages/music/index.html,
cn,2,work,5975,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_02/raw/pages/work/index.html,
cn,3,character,7198,6203,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_03/raw/pages/chara/index.html,
cn,3,cp,6469,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_03/raw/pages/cp/index.html,
cn,3,music,6764,4861,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_03/raw/pages/music/index.html,
cn,3,work,6649,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_03/raw/pages/work/index.html,
cn,4,character,5888,5620,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_04/raw/pages/chara/index.html,
cn,4,cp,4665,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_04/raw/pages/cp/index.html,
cn,4,music,5095,4696,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_04/raw/pages/music/index.html,
cn,4,work,4839,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_04/raw/pages/work/index.html,
cn,5,character,7296,7010,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_05/raw/pages/chara/index.html,
cn,5,cp,5501,5105,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_05/raw/pages/cp/index.html,
cn,5,music,5999,5618,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_05/raw/pages/music/index.html,
cn,5,work,5577,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_05/raw/pages/work/index.html,
cn,6,character,7446,7206,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_06/raw/pages/chara/index.html,
cn,6,cp,5824,5449,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_06/raw/pages/cp/index.html,
cn,6,music,6259,5928,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_06/raw/pages/music/index.html,
cn,6,work,5760,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_06/raw/pages/work/index.html,
cn,7,character,6771,6582,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_07/raw/pages/chara/index.html,
cn,7,cp,5340,5032,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_07/raw/pages/cp/index.html,
cn,7,music,5742,5453,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_07/raw/pages/music/index.html,
cn,7,work,5257,,,cn_legacy_official_summary,data_raw/cn_official_legacy/round_07/raw/pages/work/index.html,
