round,rank,name,author,url,image_url,official_page_displayed_total_votes
10,1,东方夜雀食堂,二色幽紫蝶,https://www.bilibili.com/video/BV1eM4y1u7ep,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/01.webp,2250
10,2,3D永夜抄,minusT,https://www.youtube.com/watch?v=430ejbSn-5k,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/02.webp,2250
10,3,【半年制作量】东方mmd：永远亭争夺战（pv风 踩点 特效向）,博丽x海苔,https://www.bilibili.com/video/BV1QA411t76e,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/03.webp,2250
10,4,【2022·东方华灯宴】,东方华灯宴制作组,https://www.bilibili.com/video/BV16q4y1h7xX,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/04.webp,2250
10,5,【2021·东方华灯宴】,东方华灯宴制作组,https://www.bilibili.com/video/BV1Sy4y1Y773/,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/05.webp,2250
10,6,【东方MMD】事件：月城冲突,博丽x海苔,https://www.bilibili.com/video/BV1qU4y1X7QD,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/06.webp,2250
10,7,【東方projectPV】三妖精SAY YA!!! ,森罗万象,https://www.bilibili.com/video/BV1rv411x7Jz,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/07.webp,2250
10,8,东方长篇评书《畜生侦探》,米斯特克里斯,https://www.bilibili.com/video/BV1UF411i7PL,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/08.webp,2250
10,9,有神论,CureLancy! & 草石虫,https://www.bilibili.com/video/BV1Ve411s79n,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/09.webp,2250
10,10,【安科】烈海王似乎打算在幻想乡挑战强者们的样子,王子2326,https://tieba.baidu.com/p/6710222599,https://s3c.lilywhite.cc/thvote/imgs/doujin/v10/10.jpeg,2250
11,1,【东方手书动画】妖精们的暑假,有私是干垃圾,https://www.bilibili.com/video/BV1hh4y1U7Qw,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/01.webp,1272
11,2,【幻想乡金曲】帕秋莉的BEST HIT电台！,不动的大广藿香,https://www.bilibili.com/video/BV1Uu4y1D7GW,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/02.webp,1272
11,3,【2023东方新春宴单品】秘匿于尘世的余音 ~ Hidden Star in All Seasons,四季映姬78,https://www.bilibili.com/video/BV1Ax4y1M7iB,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/03.webp,1272
11,4,东方冰之勇者记,GAMEPULSE 游戏脉冲,https://store.steampowered.com/app/1955830,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/04.webp,1272
11,5,【2023东方新春宴单品】ヒカリ,镹十玖星降 & cat米诺 & 篮球菇 & 数字酱油,https://www.bilibili.com/video/BV11G4y1D76N,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/05.webp,1272
11,6,东方雪莲华 ～ Abyss Soul Lotus.,雨夜枫雪制作组,https://store.steampowered.com/app/1000440,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/06.webp,1272
11,7,【定格动画】用二十种方式还原BadApple！,咖喱芋圆儿花开富贵儿,https://www.bilibili.com/video/BV1794y1r7y9,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/07.webp,1272
11,8,【东方幻奏盛宴】史诗交响组曲《狸猫的五十种变化》【和音社交响乐团】,和音社交响乐团 & 囧仙 & 和音社_猪仔很忙 & 魅知幻想之旅 & yuu115431,https://www.bilibili.com/video/BV12V411w7rk,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/08.webp,1272
11,9,2022摩多罗国玉祭~神圣庄严的古神战场【东方电气棍】,不人气的秋穰子 & MFAW & XBLQM & 锤子仙贝 & SHBRX & 鞍山侯国玉电乐团 & commandlogic & 残小彩 & 她废 & 暗黑至圣先师 & 21世纪爱筝晚起,https://www.bilibili.com/video/BV1PP411377M,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/09.webp,1272
11,10,东方理想乡,foolish_dogve,https://www.bilibili.com/video/BV1v8411h7Q7,https://asset.lilywhite.cc/thvote/imgs/doujin/v11/10.webp,1272
