round,question_id,answer_id,questionnaire_id,questionnaire_name,section_key,question_type,question,answer,option_index,count,male_count,female_count,respondent_n,respondent_male_n,respondent_female_n,share,male_share_within_answer,female_share_within_answer
10,21011,2101101,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,音乐/音声类,0,2006,1656,350,8654,6584,2070,0.23180032354980357,0.8255234297108675,0.1744765702891326
10,21011,2101106,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,视频类,5,1880,1566,314,8654,6584,2070,0.2172405823896464,0.8329787234042553,0.16702127659574467
10,21011,2101108,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,服装饰品类,7,328,207,121,8654,6584,2070,0.037901548416917036,0.6310975609756098,0.36890243902439024
10,21011,2101103,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,插画类,2,2812,1594,1218,8654,6584,2070,0.3249364455743009,0.5668563300142248,0.43314366998577525
10,21011,2101104,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,软件/游戏类,3,1446,1230,216,8654,6584,2070,0.167090362837994,0.8506224066390041,0.14937759336099585
10,21011,2101105,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,文字类,4,2527,1981,546,8654,6584,2070,0.29200369771204066,0.7839335180055401,0.21606648199445982
10,21011,2101107,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,实体周边类,6,550,366,184,8654,6584,2070,0.06355442569909868,0.6654545454545454,0.33454545454545453
10,21011,2101102,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,漫画类,1,1693,1038,655,8654,6584,2070,0.19563207765195284,0.6131128174837567,0.3868871825162434
10,21011,2101109,21,额外问卷 - 同人创作相关,extraQuestionnaire,Multiple,您在进行何种类型的二次创作？,其它,8,1947,1678,269,8654,6584,2070,0.22498266697480934,0.861838726245506,0.1381612737544941
10,13111,1311105,13,主要问卷 - 二次创作问卷,mainQuestionnaire,Single,您对国外二次同人作品的购买力范围是？（单个作品，含手续费、税费、运费等）,单价300RMB以内,4,672,542,130,5620,4654,966,0.1195729537366548,0.8065476190476191,0.19345238095238096
