round,question_id,answer_id,question_type,question,option_index,answer,related_json,mutex_json
10,11011,1101101,Single,您的性别是？（填写的信息仅用于数据分析，不会以任何形式披露投票者个人信息）,0,男,[],[]
10,11011,1101102,Single,您的性别是？（填写的信息仅用于数据分析，不会以任何形式披露投票者个人信息）,1,女,[],[]
10,11021,1102101,Single,您现在的主要所在地区为？,0,国内（含港澳台）,[11031],[]
10,11021,1102102,Single,您现在的主要所在地区为？,1,国外,[11032],[]
10,11031,1103101,Single,您现在的最主要所在地是哪个省级行政区？,0,北京,[],[]
10,11031,1103102,Single,您现在的最主要所在地是哪个省级行政区？,1,天津,[],[]
10,11031,1103103,Single,您现在的最主要所在地是哪个省级行政区？,2,河北,[],[]
10,11031,1103104,Single,您现在的最主要所在地是哪个省级行政区？,3,山西,[],[]
10,11031,1103105,Single,您现在的最主要所在地是哪个省级行政区？,4,内蒙古,[],[]
10,11031,1103106,Single,您现在的最主要所在地是哪个省级行政区？,5,辽宁,[],[]
10,11031,1103107,Single,您现在的最主要所在地是哪个省级行政区？,6,吉林,[],[]
10,11031,1103108,Single,您现在的最主要所在地是哪个省级行政区？,7,黑龙江,[],[]
10,11031,1103109,Single,您现在的最主要所在地是哪个省级行政区？,8,上海,[],[]
10,11031,1103110,Single,您现在的最主要所在地是哪个省级行政区？,9,江苏,[],[]
10,11031,1103111,Single,您现在的最主要所在地是哪个省级行政区？,10,浙江,[],[]
10,11031,1103112,Single,您现在的最主要所在地是哪个省级行政区？,11,安徽,[],[]
10,11031,1103113,Single,您现在的最主要所在地是哪个省级行政区？,12,福建,[],[]
10,11031,1103114,Single,您现在的最主要所在地是哪个省级行政区？,13,江西,[],[]
10,11031,1103115,Single,您现在的最主要所在地是哪个省级行政区？,14,山东,[],[]
10,11031,1103116,Single,您现在的最主要所在地是哪个省级行政区？,15,河南,[],[]
10,11031,1103117,Single,您现在的最主要所在地是哪个省级行政区？,16,湖北,[],[]
10,11031,1103118,Single,您现在的最主要所在地是哪个省级行政区？,17,湖南,[],[]
10,11031,1103119,Single,您现在的最主要所在地是哪个省级行政区？,18,广东,[],[]
10,11031,1103120,Single,您现在的最主要所在地是哪个省级行政区？,19,广西,[],[]
10,11031,1103121,Single,您现在的最主要所在地是哪个省级行政区？,20,海南,[],[]
10,11031,1103122,Single,您现在的最主要所在地是哪个省级行政区？,21,重庆,[],[]
10,11031,1103123,Single,您现在的最主要所在地是哪个省级行政区？,22,四川,[],[]
10,11031,1103124,Single,您现在的最主要所在地是哪个省级行政区？,23,贵州,[],[]
10,11031,1103125,Single,您现在的最主要所在地是哪个省级行政区？,24,云南,[],[]
