round,source_category,source_id,source_name,source_rank,position,count,id,name,rate
17,character,147,茨木 華扇,40,1,1881,147,茨木 華扇,0.9587155963302753
17,character,147,茨木 華扇,40,2,81,149,鬼華扇（奸佞邪智の鬼）,0.04128440366972477
17,music,5,おてんば恋娘,15,1,2945,5,おてんば恋娘,0.9611618798955613
17,music,5,おてんば恋娘,15,2,119,99,おてんば恋娘の冒険,0.03883812010443864
17,music,34,妖々跋扈　～ Who done it!,162,1,281,34,妖々跋扈　～ Who done it!,0.8646153846153846
17,music,34,妖々跋扈　～ Who done it!,162,2,44,734,妖々跋扈　～ Speed Fox!,0.13538461538461538
17,music,42,もう歌しか聞こえない,71,1,819,42,もう歌しか聞こえない,0.8495850622406639
17,music,42,もう歌しか聞こえない,71,2,145,101,もう歌しか聞こえない　～ Flower Mix,0.1504149377593361
17,music,45,永夜の報い　～ Imperishable Night,126,1,489,45,永夜の報い　～ Imperishable Night,0.9939024390243902
17,music,45,永夜の報い　～ Imperishable Night,126,2,3,359,相貌の狂い ～ Horrible Night,0.006097560975609756
17,music,55,月まで届け、不死の煙,5,1,5083,55,月まで届け、不死の煙,0.9869902912621359
17,music,55,月まで届け、不死の煙,5,2,67,630,月まで届け不死の煙,0.013009708737864077
17,music,63,魔女達の舞踏会,134,1,226,63,魔女達の舞踏会,0.4967032967032967
17,music,63,魔女達の舞踏会,134,2,229,705,魔女達の舞踏会　～ Magus,0.5032967032967033
17,music,67,人形裁判,34,1,1736,24,人形裁判　～ 人の形弄びし少女,0.9507119386637459
17,music,67,人形裁判,34,2,90,67,人形裁判,0.04928806133625411
17,music,117,風神少女,36,1,470,103,風神少女　 (Short Version),0.2943018159048215
17,music,117,風神少女,36,2,1127,117,風神少女,0.7056981840951785
17,music,138,地の色は黄色,209,1,180,138,地の色は黄色,0.8910891089108911
17,music,138,地の色は黄色,209,2,22,378,地の色は黄色　～Primrose,0.10891089108910891
17,music,141,香る樹葉花,298,1,49,141,香る樹葉花,0.6282051282051282
17,music,141,香る樹葉花,298,2,29,394,至る有頂天,0.3717948717948718
17,music,149,天衣無縫,154,1,317,149,天衣無縫,0.8904494382022472
17,music,149,天衣無縫,154,2,39,416,天衣無縫　～ Yellow Lily,0.10955056179775281
17,music,162,夜が降りてくる,102,1,628,75,夜が降りてくる　～ Evening Star,0.9141193595342066
17,music,162,夜が降りてくる,102,2,59,162,夜が降りてくる,0.0858806404657933
17,music,268,心綺楼囃子,211,1,148,268,心綺楼囃子,0.7628865979381443
17,music,268,心綺楼囃子,211,2,34,275,心綺楼祭囃子,0.17525773195876287
17,music,268,心綺楼囃子,211,3,12,387,心綺楼演舞,0.061855670103092786
17,music,325,外界フォークロア,325,1,32,325,外界フォークロア,0.5423728813559322
17,music,325,外界フォークロア,325,2,8,357,境界フォークロア,0.13559322033898305
17,music,325,外界フォークロア,325,3,19,391,夢世界フォークロア,0.3220338983050847
17,music,328,オカルトアラカルト,374,1,31,328,オカルトアラカルト,0.7560975609756098
17,music,328,オカルトアラカルト,374,2,10,356,オカルトアトラクト,0.24390243902439024
17,music,331,対蹠地の鐘,429,1,10,331,対蹠地の鐘,0.47619047619047616
17,music,331,対蹠地の鐘,429,2,11,355,億万劫の鐘,0.5238095238095238
17,music,332,竹林インフレイム,286,1,45,332,竹林インフレイム,0.5172413793103449
17,music,332,竹林インフレイム,286,2,42,354,ネオ竹林インフレイム,0.4827586206896552
17,music,594,エニグマティクドール,186,1,150,594,エニグマティクドール,0.625
17,music,594,エニグマティクドール,186,2,90,718,エニグマティクドール　～ God Knows,0.375
17,music,598,リーインカーネイション,111,1,306,486,Reincarnation,0.5303292894280762
17,music,598,リーインカーネイション,111,2,271,598,リーインカーネイション,0.4696707105719237
17,music,623,幽玄の槭樹　～ Eternal Dream,227,1,124,57,Eternal Dream　～ 幽玄の槭樹,0.7560975609756098
17,music,623,幽玄の槭樹　～ Eternal Dream,227,2,40,623,幽玄の槭樹　～ Eternal Dream,0.24390243902439024
17,music,722,AN ORDEAL FROM GOD,362,1,29,722,AN ORDEAL FROM GOD,0.6590909090909091
17,music,722,AN ORDEAL FROM GOD,362,2,15,725,神魔討綺伝 AN ORDEAL FROM GOD,0.3409090909090909
17,music,723,呑んべぇのレムリア,283,1,18,583,呑んべぇのレムリア (Retro Ver),0.2
17,music,723,呑んべぇのレムリア,283,2,72,723,呑んべぇのレムリア,0.8
17,music,733,夜の鳩山を飛ぶ,330,1,27,564,夜の鳩山を飛ぶ‐Power Mix,0.4909090909090909
17,music,733,夜の鳩山を飛ぶ,330,2,28,733,夜の鳩山を飛ぶ,0.509090909090909
17,music,9001,幻想科学（幻想機械）,278,1,78,622,幻想機械　～ Phantom Factory,0.8387096774193549
17,music,9001,幻想科学（幻想機械）,278,2,15,702,幻想科学　～ Doll's Phantom,0.16129032258064516
17,music,9002,恋色マスタースパーク（恋色マジック）,6,1,4874,47,恋色マスタースパーク,0.9305078274150439
17,music,9002,恋色マスタースパーク（恋色マジック）,6,2,364,62,恋色マジック,0.06949217258495609
17,music,9003,サーカスレヴァリエ（機械サーカス）,272,1,83,595,サーカスレヴァリエ,0.8469387755102041
17,music,9003,サーカスレヴァリエ（機械サーカス）,272,2,15,697,機械サーカス　～ Reverie,0.15306122448979592
17,music,9004,二色蓮花蝶,60,1,514,214,二色蓮花蝶　～ Ancients,0.47026532479414457
17,music,9004,二色蓮花蝶,60,2,579,305,二色蓮花蝶　～ Red and White,0.5297346752058555
17,music,9005,少女綺想曲,18,1,2492,46,少女綺想曲　～ Dream Battle,0.8728546409807355
17,music,9005,少女綺想曲,18,2,363,61,少女綺想曲　～ Capriccio,0.12714535901926444
17,music,9006,桜花之恋塚,131,1,263,591,桜花之恋塚　～ Japanese Flower,0.6173708920187794
17,music,9006,桜花之恋塚,131,2,163,716,桜花之恋塚　～ Flower of Japan,0.3826291079812207
17,music,9007,花映塚,258,1,105,93,花映塚　～ Higan Retour,0.8974358974358975
17,music,9007,花映塚,258,2,12,561,花映塚　～ after Higan Retour,0.10256410256410256
17,music,9009,アンノウンX,139,1,296,219,アンノウンX　～ Unfound Adventure,0.6651685393258427
17,music,9009,アンノウンX,139,2,149,358,アンノウンX　～ Occultly Madness,0.3348314606741573
17,music,9010,憑依華（OP曲）,325,1,8,418,異変の種子,0.13333333333333333
17,music,9010,憑依華（OP曲）,325,2,5,419,疑惑の芽生え,0.08333333333333333
17,music,9010,憑依華（OP曲）,325,3,7,420,未だ蕾む憑依華,0.11666666666666667
17,music,9010,憑依華（OP曲）,325,4,5,421,真相へ繋がる枝葉,0.08333333333333333
17,music,9010,憑依華（OP曲）,325,5,7,422,咲き誇る憑依華,0.11666666666666667
17,music,9010,憑依華（OP曲）,325,6,28,423,舞い散る憑依華吹雪,0.4666666666666667
18,character,147,茨木 華扇,39,1,2478,147,茨木 華扇,0.9630781189273222
18,character,147,茨木 華扇,39,2,95,149,鬼華扇（奸佞邪智の鬼）,0.036921881072677805
18,music,5,おてんば恋娘,16,1,3829,5,おてんば恋娘,0.9419434194341944
18,music,5,おてんば恋娘,16,2,133,99,おてんば恋娘の冒険,0.032718327183271834
18,music,5,おてんば恋娘,16,3,96,210,おてんば恋娘,0.023616236162361623
18,music,5,おてんば恋娘,16,4,7,560,おてんば恋娘の冒険,0.0017220172201722018
18,music,6,上海紅茶館　～ Chinese Tea,7,1,5676,6,上海紅茶館　～ Chinese Tea,0.9523489932885906
18,music,6,上海紅茶館　～ Chinese Tea,7,2,92,211,上海紅茶館　～ Chinese Tea,0.015436241610738255
18,music,6,上海紅茶館　～ Chinese Tea,7,3,192,615,上海紅茶館　～ Chinese Tea,0.032214765100671144
18,music,7,明治十七年の上海アリス,24,1,2641,7,明治十七年の上海アリス,0.9365248226950355
18,music,7,明治十七年の上海アリス,24,2,179,592,明治十七年の上海アリス,0.06347517730496453
18,music,8,ヴワル魔法図書館,90,1,779,8,ヴワル魔法図書館,0.8964326812428078
18,music,8,ヴワル魔法図書館,90,2,61,69,ヴワル魔法図書館,0.07019562715765247
18,music,8,ヴワル魔法図書館,90,3,29,217,ヴワル魔法図書館,0.0333716915995397
18,music,9,ラクトガール　～ 少女密室,41,1,1623,9,ラクトガール　～ 少女密室,0.8927392739273927
18,music,9,ラクトガール　～ 少女密室,41,2,91,68,ラクトガール　～ 少女密室,0.05005500550055005
18,music,9,ラクトガール　～ 少女密室,41,3,66,159,ラクトガール　～ 少女密室,0.036303630363036306
18,music,9,ラクトガール　～ 少女密室,41,4,38,632,ラクトガール　～ 少女密室,0.020902090209020903
18,music,10,メイドと血の懐中時計,35,1,2031,10,メイドと血の懐中時計,0.9185888738127544
18,music,10,メイドと血の懐中時計,35,2,180,64,メイドと血の懐中時計,0.0814111261872456
18,music,11,月時計　～ ルナ・ダイアル,12,1,4604,11,月時計　～ ルナ・ダイアル,0.9323612798703929
18,music,11,月時計　～ ルナ・ダイアル,12,2,334,65,月時計　～ ルナ・ダイアル,0.06763872012960713
18,music,13,亡き王女の為のセプテット,2,1,9965,13,亡き王女の為のセプテット,0.943208707998107
18,music,13,亡き王女の為のセプテット,2,2,413,72,亡き王女の為のセプテット,0.03909133932796971
18,music,13,亡き王女の為のセプテット,2,3,187,161,亡き王女の為のセプテット,0.017699952673923332
18,music,14,魔法少女達の百年祭,25,1,2766,14,魔法少女達の百年祭,0.9832918592250267
18,music,14,魔法少女達の百年祭,25,2,47,759,魔法少女達の百年祭,0.01670814077497334
18,music,15,U.N.オーエンは彼女なのか？,1,1,13494,15,U.N.オーエンは彼女なのか？,0.9810250817884406
18,music,15,U.N.オーエンは彼女なのか？,1,2,96,599,U.N.オーエンは彼女なのか？,0.00697928026172301
18,music,15,U.N.オーエンは彼女なのか？,1,3,165,770,U.N.オーエンは彼女なのか？,0.011995637949836423
18,music,23,ブクレシュティの人形師,97,1,667,23,ブクレシュティの人形師,0.8584298584298584
18,music,23,ブクレシュティの人形師,97,2,52,66,ブクレシュティの人形師,0.06692406692406692
18,music,23,ブクレシュティの人形師,97,3,58,157,ブクレシュティの人形師,0.07464607464607464
18,music,26,幽霊楽団　～ Phantom Ensemble,13,1,4534,26,幽霊楽団　～ Phantom Ensemble,0.9187436676798378
18,music,26,幽霊楽団　～ Phantom Ensemble,13,2,401,100,幽霊楽団　～ Phantom Ensemble,0.0812563323201621
18,music,27,東方妖々夢　～ Ancient Temple,45,1,1375,27,東方妖々夢　～ Ancient Temple,0.8550995024875622
18,music,27,東方妖々夢　～ Ancient Temple,45,2,95,71,東方妖々夢　～ Ancient Temple,0.05907960199004975
18,music,27,東方妖々夢　～ Ancient Temple,45,3,109,97,東方妖々夢　～ Ancient Temple,0.06778606965174129
