round,source_category,source_id,source_name,source_rank,point,primary,secondary,comment,id,name,rank
17,character,1,博麗 霊夢,3,11404,2124,,1933,1,博麗 霊夢,3
17,character,2,霧雨 魔理沙,2,11816,2216,,2131,2,霧雨 魔理沙,2
17,character,3,ルーミア,21,3726,530,,798,3,ルーミア,21
17,character,4,大妖精,60,1273,115,,220,4,大妖精,60
17,character,5,チルノ,18,4226,661,,852,5,チルノ,18
17,character,6,紅 美鈴,25,3242,449,,570,6,紅 美鈴,25
17,character,7,小悪魔,67,1141,82,,164,7,小悪魔,67
17,character,8,パチュリー・ノーレッジ,19,4128,560,,593,8,パチュリー・ノーレッジ,19
17,character,9,十六夜 咲夜,6,10015,1786,,1710,9,十六夜 咲夜,6
17,character,10,レミリア・スカーレット,7,9482,1713,,1635,10,レミリア・スカーレット,7
17,character,11,フランドール・スカーレット,5,10335,2049,,1975,11,フランドール・スカーレット,5
17,character,12,レティ・ホワイトロック,103,604,94,,136,12,レティ・ホワイトロック,103
17,character,13,橙,61,1264,142,,234,13,橙,61
17,character,14,アリス・マーガトロイド,12,5608,904,,853,14,アリス・マーガトロイド,12
17,character,15,リリーホワイト,91,750,92,,159,15,リリーホワイト,91
17,character,16,ルナサ・プリズムリバー,84,903,90,,170,16,ルナサ・プリズムリバー,84
17,character,17,メルラン・プリズムリバー,111,481,46,,99,17,メルラン・プリズムリバー,111
17,character,18,リリカ・プリズムリバー,117,397,27,,77,18,リリカ・プリズムリバー,117
17,character,19,魂魄 妖夢,1,12951,3253,,2288,19,魂魄 妖夢,1
17,character,20,西行寺 幽々子,10,5955,871,,933,20,西行寺 幽々子,10
17,character,21,八雲 藍,37,2314,284,,356,21,八雲 藍,37
17,character,22,八雲 紫,16,4571,574,,731,22,八雲 紫,16
17,character,23,リグル・ナイトバグ,85,897,172,,182,23,リグル・ナイトバグ,85
17,character,24,ミスティア・ローレライ,71,1109,169,,181,24,ミスティア・ローレライ,71
17,character,25,上白沢 慧音,53,1555,140,,247,25,上白沢 慧音,53
17,character,26,因幡 てゐ,64,1176,103,,196,26,因幡 てゐ,64
17,character,27,鈴仙・優曇華院・イナバ,14,5249,667,,804,27,鈴仙・優曇華院・イナバ,14
17,character,28,八意 永琳,48,1724,147,,314,28,八意 永琳,48
17,character,29,蓬莱山 輝夜,35,2421,264,,381,29,蓬莱山 輝夜,35
17,character,30,藤原 妹紅,8,6589,1150,,1075,30,藤原 妹紅,8
17,character,31,伊吹 萃香,31,2684,285,,410,31,伊吹 萃香,31
17,character,32,射命丸 文,11,5799,861,,876,32,射命丸 文,11
17,character,33,メディスン・メランコリー,95,696,75,,145,33,メディスン・メランコリー,95
