round,question_key,node_path,label,value,count,rate,total,diff,conditional_denominator_derived,name,valid_count
17,age,age/0,5歳,5,5,0.0004392129304286718,,,11384,,
17,age,age/1,6歳,6,1,8.784258608573436e-05,,,11384,,
17,age,age/2,7歳,7,3,0.00026352775825720307,,,11384,,
17,age,age/3,9歳,9,8,0.0007027406886858749,,,11384,,
17,age,age/4,10歳,10,25,0.002196064652143359,,,11384,,
17,age,age/5,11歳,11,46,0.004040758959943781,,,11384,,
17,age,age/6,12歳,12,147,0.012912860154602952,,,11384,,
17,age,age/7,13歳,13,402,0.03531271960646522,,,11384,,
17,age,age/8,14歳,14,579,0.050860857343640195,,,11384,,
17,age,age/9,15歳,15,913,0.08020028109627547,,,11384,,
17,age,age/10,16歳,16,990,0.08696416022487702,,,11384,,
17,age,age/11,17歳,17,862,0.07572030920590302,,,11384,,
17,age,age/12,18歳,18,933,0.08195713281799016,,,11384,,
17,age,age/13,19歳,19,695,0.061050597329585385,,,11384,,
17,age,age/14,20歳,20,701,0.06157765284609979,,,11384,,
17,age,age/15,21歳,21,678,0.0595572733661279,,,11384,,
17,age,age/16,22歳,22,490,0.043042867182009836,,,11384,,
17,age,age/17,23歳,23,437,0.038387210119465914,,,11384,,
17,age,age/18,24歳,24,412,0.03619114546732256,,,11384,,
17,age,age/19,25歳,25,358,0.0314476458186929,,,11384,,
17,age,age/20,26歳,26,349,0.030657062543921292,,,11384,,
17,age,age/21,27歳,27,310,0.027231201686577652,,,11384,,
17,age,age/22,28歳,28,264,0.023190442726633873,,,11384,,
17,age,age/23,29歳,29,228,0.020028109627547436,,,11384,,
17,age,age/24,30歳,30,215,0.018886156008432887,,,11384,,
17,age,age/25,31歳,31,167,0.014669711876317638,,,11384,,
17,age,age/26,32歳,32,165,0.01449402670414617,,,11384,,
17,age,age/27,33歳,33,150,0.013176387912860155,,,11384,,
17,age,age/28,34歳,34,124,0.01089248067463106,,,11384,,
17,age,age/29,35歳,35,120,0.010541110330288124,,,11384,,
17,age,age/30,36歳,36,92,0.008081517919887562,,,11384,,
17,age,age/31,37歳,37,64,0.005621925509486999,,,11384,,
17,age,age/32,38歳,38,55,0.00483134223471539,,,11384,,
17,age,age/33,39歳,39,58,0.005094869992972593,,,11384,,
17,age,age/34,40歳,40,66,0.005797610681658468,,,11384,,
17,age,age/35,41歳,41,32,0.0028109627547434997,,,11384,,
17,age,age/36,42歳,42,40,0.0035137034434293743,,,11384,,
17,age,age/37,43歳,43,29,0.0025474349964862966,,,11384,,
17,age,age/38,44歳,44,24,0.0021082220660576245,,,11384,,
17,age,age/39,45歳,45,23,0.0020203794799718905,,,11384,,
17,age,age/40,46歳,46,18,0.0015811665495432186,,,11384,,
17,age,age/41,47歳,47,15,0.0013176387912860155,,,11384,,
17,age,age/42,48歳,48,18,0.0015811665495432186,,,11384,,
17,age,age/43,49歳,49,13,0.0011419536191145468,,,11384,,
17,age,age/44,50歳,50,4,0.00035137034434293746,,,11384,,
17,age,age/45,51歳,51,8,0.0007027406886858749,,,11384,,
17,age,age/46,52歳,52,5,0.0004392129304286718,,,11384,,
