region,round,scope,source_url,source_sha256,source_file,source_table_index,source_row_index,question_id,question,question_path_json,table_variant,rank,points,item,option,count,count_unit,percentage,official_percentage,additional_official_percentages_json,percentage_basis,denominator,denominator_unit,denominator_basis,denominator_candidate_min,denominator_candidate_max,raw_cells_json
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,0,0,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■紅魔郷 - 有効回答数：2864人""]",table_0,,,■紅魔郷 - 有効回答数：2864人,未プレイ・未クリア,358,人,12.5,12.5,,official,2864,人,explicit_official_heading,,,"[""未プレイ・未クリア"",""358人"",""12.50%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,0,1,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■紅魔郷 - 有効回答数：2864人""]",table_0,,,■紅魔郷 - 有効回答数：2864人,EASY,308,人,10.75,10.75,,official,2864,人,explicit_official_heading,,,"[""EASY"",""308人"",""10.75%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,0,2,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■紅魔郷 - 有効回答数：2864人""]",table_0,,,■紅魔郷 - 有効回答数：2864人,NORMAL,1428,人,49.86,49.86,,official,2864,人,explicit_official_heading,,,"[""NORMAL"",""1428人"",""49.86%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,0,3,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■紅魔郷 - 有効回答数：2864人""]",table_0,,,■紅魔郷 - 有効回答数：2864人,HARD,603,人,21.05,21.05,,official,2864,人,explicit_official_heading,,,"[""HARD"",""603人"",""21.05%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,0,4,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■紅魔郷 - 有効回答数：2864人""]",table_0,,,■紅魔郷 - 有効回答数：2864人,LUNATIC,167,人,5.83,5.83,,official,2864,人,explicit_official_heading,,,"[""LUNATIC"",""167人"",""5.83%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,1,0,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■紅魔郷 - 有効回答数：2864人""]",table_1,,,■紅魔郷 - 有効回答数：2864人,EXTRA,1094,人,38.2,38.2,,official,2864,人,explicit_official_heading,,,"[""EXTRA"",""1094人"",""38.20%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,2,0,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■妖々夢 - 有効回答数：2868人""]",table_2,,,■妖々夢 - 有効回答数：2868人,未プレイ・未クリア,169,人,5.93,5.93,,official,2868,人,explicit_official_heading,,,"[""未プレイ・未クリア"",""169人"",""5.93%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,2,1,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■妖々夢 - 有効回答数：2868人""]",table_2,,,■妖々夢 - 有効回答数：2868人,EASY,342,人,11.96,11.96,,official,2868,人,explicit_official_heading,,,"[""EASY"",""342人"",""11.96%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,2,2,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■妖々夢 - 有効回答数：2868人""]",table_2,,,■妖々夢 - 有効回答数：2868人,NORMAL,1264,人,44.07,44.07,,official,2868,人,explicit_official_heading,,,"[""NORMAL"",""1264人"",""44.07%"",""""]"
jp,3,overall_questionnaire,http://thwiki.info/th/vote3/result_anq.html,da99fc8a9a085e8d15450782a78952de6f2f520100532ed21fa95a5c6c16abdb,data_raw/jp_official_legacy/round_03/questionnaire/result_anq.html.tables.json,2,3,jp3:q:7915609e6bef,１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）,"[""投票者アンケート結果"",""１．ノーコンティニューでクリアできた難易度 （EASY～LUNAの中から最大のもの１つとEXTRAのクリア有無。初期残機数・ルート問わず）"",""■妖々夢 - 有効回答数：2868人""]",table_2,,,■妖々夢 - 有効回答数：2868人,HARD,768,人,26.78,26.78,,official,2868,人,explicit_official_heading,,,"[""HARD"",""768人"",""26.78%"",""""]"
