round,source_rank,source_record_id,raw_title_jp,raw_title_cn,canonical_track,merge_basis,mapped_character,matched_existing_repaired_mapping,mapped_by_character_theme_overlay
21,1.0,15,U.N.オーエンは彼女なのか?,U.N.OWEN就是她吗?,U.N.OWEN就是她吗?,official_jp_user_repaired_exact,芙兰朵露·斯卡蕾特,True,False
21,2.0,13,亡き王女の為のセプテット,献给已逝公主的七重奏,献给已逝公主的七重奏,official_jp_user_repaired_exact,蕾米莉亚·斯卡蕾特,True,False
21,3.0,181,ハルトマンの妖怪少女,哈德曼的妖怪少女,哈德曼的妖怪少女,official_jp_user_repaired_exact,古明地恋,True,False
21,4.0,9002,恋色マスタースパーク(恋色マジック),恋色Master spark(恋色Magic),恋色Master spark,official_jp_user_repaired_exact,雾雨魔理沙,True,False
21,5.0,123,神々が恋した幻想郷,众神眷恋的幻想乡,众神眷恋的幻想乡,official_jp_repaired_exact,,True,False
21,6.0,55,月まで届け、不死の煙,"飘上月球,不死之烟","飘上月球,不死之烟",official_jp_user_repaired_exact,藤原妹红,True,False
21,7.0,6,上海紅茶館 ~ Chinese Tea,上海红茶馆 ~ Chinese Tea,上海红茶馆,official_jp_user_repaired_exact,红美铃,True,False
21,8.0,445,偶像に世界を委ねて 〜Idoratrize World,寄世界于偶像 ~ Idoratrize World,寄世界于偶像,official_jp_user_repaired_exact,埴安神袿姬,True,False
21,9.0,35,ネクロファンタジア,Necro-Fantasia,Necro-Fantasia,official_jp_user_repaired_exact,八云紫,True,False
21,10.0,5,おてんば恋娘,活泼的纯情小姑娘,活泼的纯情小姑娘,official_jp_user_repaired_exact,琪露诺,True,False
21,11.0,30,幽雅に咲かせ、墨染の桜 ~ Border of Life,"幽雅地绽放吧,墨染的樱花 ~ Border of Life","幽雅地绽放吧,墨染的樱花",official_jp_user_repaired_exact,西行寺幽幽子,True,False
21,12.0,347,ピュアヒューリーズ ~ 心の在処,Pure Furies ~ 心之所在,Pure Furies,official_jp_user_repaired_exact,纯狐,True,False
21,13.0,11,月時計 ~ ルナ・ダイアル,月时计 ~ Luna Dial,月时计,official_jp_user_repaired_exact,十六夜咲夜,True,False
21,14.0,175,少女さとり ~ 3rd eye,少女觉 ~ 3rd eye,少女觉,official_jp_user_repaired_exact,古明地觉,True,False
21,15.0,92,砕月,碎月,碎月,official_jp_user_repaired_exact,伊吹萃香,True,False
21,16.0,9005,少女綺想曲,少女绮想曲,少女绮想曲,official_jp_user_repaired_exact,灵梦,True,False
21,17.0,132,ネイティブフェイス,Native Faith,Native Faith,official_jp_user_repaired_exact,洩矢诹访子,True,False
21,18.0,52,竹取飛翔 ~ Lunatic Princess,竹取飞翔 ~ Lunatic Princess,竹取飞翔,official_jp_user_repaired_exact,蓬莱山辉夜,True,False
21,19.0,51,千年幻想郷 ~ History of the Moon,千年幻想乡 ~ History of the Moon,千年幻想乡,official_jp_user_repaired_exact,八意永琳,True,False
21,20.0,26,幽霊楽団 ~ Phantom Ensemble,幽灵乐团 ~ Phantom Ensemble,幽灵乐团,official_jp_user_repaired_exact,露娜萨·普莉兹姆利巴|梅露兰·普莉兹姆利巴|莉莉卡·普莉兹姆利巴,True,False
21,21.0,96,フラワリングナイト,Flowering Night,Flowering Night,official_jp_user_repaired_exact,十六夜咲夜,True,False
21,22.0,197,感情の摩天楼 ~ Cosmic Mind,感情的摩天楼 ~ Cosmic Mind,感情的摩天楼,official_jp_user_repaired_exact,圣白莲,True,False
21,23.0,7,明治十七年の上海アリス,明治十七年的上海爱丽丝,明治十七年的上海爱丽丝,official_jp_user_repaired_exact,红美铃,True,False
21,24.0,128,信仰は儚き人間の為に,信仰是为了虚幻之人,信仰是为了虚幻之人,official_jp_user_repaired_exact,东风谷早苗,True,False
21,25.0,10,メイドと血の懐中時計,女仆与血之怀表,女仆与血之怀表,official_jp_user_repaired_exact,十六夜咲夜,True,False
21,26.0,180,ラストリモート,Last Remote,Last Remote,official_jp_user_repaired_exact,古明地恋,True,False
21,27.0,17,紅楼 ~ Eastern Dream...,红楼 ~ Eastern Dream...,红楼 ~ Eastern Dream...,official_jp_repaired_exact,,True,False
21,28.0,396,今宵は飄逸なエゴイスト(Live ver) ~ Egoistic Flowers.,今宵是飘逸的自我主义者(Live ver) ~ Egoistic Flowers.,今宵是飘逸的自我主义者,official_jp_user_repaired_exact,依神女苑|依神紫苑,True,False
21,29.0,49,狂気の瞳 ~ Invisible Full Moon,狂气之瞳 ~ Invisible Full Moon,狂气之瞳,official_jp_user_repaired_exact,铃仙·优昙华院·因幡,True,False
21,30.0,14,魔法少女達の百年祭,魔法少女们的百年祭,魔法少女们的百年祭,official_jp_user_repaired_exact,芙兰朵露·斯卡蕾特|帕秋莉·诺蕾姬,True,False
21,31.0,3,妖魔夜行,妖魔夜行,妖魔夜行,official_jp_user_repaired_exact,露米娅,True,False
21,32.0,245,デザイアドライブ,Desire Drive,Desire Drive,official_jp_user_repaired_exact,霍青娥,True,False
21,33.0,290,輝く針の小人族 ~ Little Princess,辉光之针的小人族 ~ Little Princess,辉光之针的小人族,official_jp_user_repaired_exact,少名针妙丸,True,False
21,34.0,28,広有射怪鳥事 ~ Till When?,广有射怪鸟事 ~ Till When?,广有射怪鸟事,official_jp_user_repaired_exact,魂魄妖梦,True,False
21,35.0,107,六十年目の東方裁判 ~ Fate of Sixty Years,第六十年的东方审判 ~ Fate of Sixty Years,第六十年的东方审判,official_jp_user_repaired_exact,四季映姬·夜摩仙那度,True,False
21,36.0,67,人形裁判,人偶裁判,人偶裁判,official_jp_user_repaired_exact,爱丽丝·玛格特洛依德,True,False
21,37.0,117,風神少女,风神少女,风神少女,official_jp_user_repaired_exact,射命丸文,True,False
21,38.0,1,赤より紅い夢,比赤色更红的梦,比赤色更红的梦,official_jp_repaired_exact,,True,False
21,39.0,125,フォールオブフォール ~ 秋めく滝,Fall of Fall ~ 秋意渐浓之瀑,Fall of Fall,official_jp_user_repaired_exact,犬走椛,True,False
21,40.0,513,Bad Apple!!,Bad Apple!!,Bad Apple!!,official_jp_repaired_exact,,True,False
21,41.0,179,霊知の太陽信仰 ~ Nuclear Fusion,灵知的太阳信仰 ~ Nuclear Fusion,灵知的太阳信仰,official_jp_user_repaired_exact,灵乌路空,True,False
21,42.0,9,ラクトガール ~ 少女密室,Locked Girl ~ 少女密室,Locked Girl,official_jp_user_repaired_exact,帕秋莉·诺蕾姬,True,False
21,43.0,747,あの賑やかな市場は今どこに 〜 Immemorial Marketeers,熙攘市场今何在 ~ Immemorial Marketeers,熙攘市场今何在,official_jp_user_repaired_exact,天弓千亦,True,False
21,44.0,31,ボーダーオブライフ,Border of Life,Border of Life,official_jp_user_repaired_exact,西行寺幽幽子,True,False
21,45.0,793,世界は可愛く出来ている,世间万物皆可爱,世间万物皆可爱,official_jp_user_repaired_exact,博丽灵梦,True,False
21,46.0,374,秘神マターラ ~ Hidden Star in All Seasons.,秘神摩多罗 ~ Hidden Star in All Seasons.,秘神摩多罗,official_jp_user_repaired_exact,摩多罗隐岐奈,True,False
21,47.0,127,少女が見た日本の原風景,少女曾见的日本原风景,少女曾见的日本原风景,official_jp_user_repaired_exact,东风谷早苗,True,False
21,48.0,589,蓬莱伝説,蓬莱传说,蓬莱传说,official_jp_repaired_exact,,True,False
21,49.0,250,聖徳伝説 ~ True Administrator,圣德传说 ~ True Administrator,圣德传说,official_jp_user_repaired_exact,丰聪耳神子,True,False
21,50.0,126,妖怪の山 ~ Mysterious Mountain,妖怪之山 ~ Mysterious Mountain,妖怪之山,official_jp_user_repaired_exact,姬海棠果|射命丸文,True,False
