merge_group_id,canonical_track,source_row_count,sites,mapped_characters
music:91f44e8d4d0e4ae9,(曲名不明)兽王园故事前半对话曲,4,"[""jp""]",[]
music:c794078ccce2021c,(曲名不明)兽王园故事后半对话曲,4,"[""jp""]",[]
music:9456e2329d9fef81,0.0008,1,"[""cn""]",[]
music:5ee75cbb41fd94ae,0.0023,1,"[""cn""]",[]
music:4cd25b3bc155ab24,53分钟的蓝色大海,29,"[""cn"", ""jp""]",[]
music:38bca6483bbb14b7,A Sacred Lot,30,"[""cn"", ""jp""]",[]
music:77c7f6148a2c9648,AN ORDEAL FROM GOD,27,"[""cn"", ""jp""]",[]
music:7f5ee6ec2ba571e0,Alice Maestra,31,"[""cn"", ""jp""]",[]
music:a25f77e97d50bd5f,Antique Terror,29,"[""cn"", ""jp""]",[]
music:57a6db34f94a7bfb,Arcadian Dream,28,"[""cn"", ""jp""]",[]
music:1fb438cc8446ef23,Bad Apple!!,31,"[""cn"", ""jp""]",[]
music:34c399fa69de081e,Banditry Technology,8,"[""cn"", ""jp""]","[""山城高岭""]"
music:47fda059e23fa08e,Bar·Old Adam,17,"[""cn"", ""jp""]",[]
music:df89b4f2eb6c0286,Beast Metropolis,11,"[""cn"", ""jp""]",[]
music:e8c3f0018ddcd028,Border Land,26,"[""cn"", ""jp""]",[]
music:2d7c80c2f48b720a,Border of Life,29,"[""cn"", ""jp""]","[""西行寺幽幽子""]"
music:f7d5aca1d92af78a,Break the Sabbath,29,"[""cn"", ""jp""]",[]
music:7170e5be6afa9657,Captain Murasa,25,"[""cn"", ""jp""]","[""村纱水蜜""]"
music:eb3e5c24d4d6743b,Castle Explorer -in the Sky-,29,"[""cn"", ""jp""]",[]
music:fe65b4282bfbe124,Circus Reverie(机械马戏团 ~ Reverie),1,"[""jp""]",[]
music:e5178030d9157b19,Circus Reverie(机械马戏团),19,"[""jp""]",[]
music:74d5071e7c12b851,Civilization of Magic,17,"[""jp""]",[]
music:d601e0557956f629,Complete Darkness,31,"[""cn"", ""jp""]",[]
music:fe75cae8a42d9946,Crazy Back Dancers,15,"[""cn"", ""jp""]","[""尔子田里乃|丁礼田舞""]"
music:09642ffa329813ef,Crescent Dream,28,"[""cn"", ""jp""]",[]
music:c1ffc09e5f783f73,Crystallize Silver,31,"[""cn"", ""jp""]","[""蕾蒂·霍瓦特洛克""]"
music:e08c0aa8f558f39f,Days,26,"[""cn"", ""jp""]",[]
music:140a176f60cd19ac,Demystify Feast,27,"[""cn"", ""jp""]",[]
music:96253aac7b97c5ac,Desire Dream,25,"[""cn"", ""jp""]",[]
music:d2a8c2b0bc36668c,Desire Drive,25,"[""cn"", ""jp""]","[""霍青娥""]"
music:c885b8f2f44b77a5,Dim. Dream,31,"[""cn"", ""jp""]",[]
music:4b9719253c43c80d,Disastrous Gemini,29,"[""cn"", ""jp""]",[]
music:30359d5fd520346c,Dr. Latency的令人不眠之瞳,17,"[""cn"", ""jp""]",[]
music:95b0aa69ca19a269,Dream Express,31,"[""cn"", ""jp""]",[]
