id,index,name,first,total,ratio,v3,v2,btotal,bratio,btratio,tratio,fratio,v3f,v3r,v3tr,v3fr,v2f,v2r,v2tr,v2fr,v3i,v2i
1,1,博丽灵梦,543,2290,23.71,1954,1540,3664,37.94,24.310000000000002,38.89,9.66,591,30.25,27.150000000000002,9.53,458,29.74,26.07,8.89,1,1
2,2,雾雨魔理沙,307,1583,19.39,1280,1055,2533,31.03,16.8,26.889999999999997,5.46,368,28.75,17.78,5.93,331,31.37,17.86,6.43,2,2
57,3,古明地恋,270,1358,19.88,840,588,2173,31.81,14.41,23.06,4.8,203,24.17,11.67,3.27,119,20.24,9.950000000000001,2.31,9,16
9,4,十六夜咲夜,243,1332,18.24,1152,914,2131,29.19,14.14,22.62,4.32,297,25.78,16,4.79,235,25.71,15.47,4.5600000000000005,4,7
23,5,八云紫,217,1312,16.54,1135,956,2099,26.46,13.930000000000001,22.28,3.8600000000000003,251,22.11,15.770000000000001,4.05,220,23.01,16.18,4.2700000000000005,6,4
21,6,西行寺幽幽子,323,1307,24.71,1144,941,2091,39.54,13.87,22.2,5.75,323,28.23,15.89,5.21,271,28.8,15.93,5.26,5,5
10,7,蕾米莉亚·斯卡蕾特,227,1217,18.65,1242,1049,1947,29.84,12.920000000000002,20.669999999999998,4.04,328,26.41,17.25,5.29,259,24.69,17.76,5.029999999999999,3,3
54,8,古明地觉,165,1152,14.32,720,604,1843,22.92,12.23,19.57,2.94,161,22.36,10,2.6,130,21.52,10.22,2.52,12,14
34,9,藤原妹红,193,1125,17.16,836,745,1800,27.45,11.940000000000001,19.11,3.4299999999999997,231,27.63,11.61,3.7199999999999998,200,26.85,12.61,3.88,10,9
11,10,芙兰朵露·斯卡蕾特,242,1089,22.22,1096,919,1742,35.56,11.559999999999999,18.5,4.31,304,27.74,15.229999999999999,4.9,253,27.53,15.559999999999999,4.91,7,6
15,11,爱丽丝·玛格特洛依德,195,1031,18.91,973,802,1650,30.26,10.94,17.51,3.47,264,27.13,13.52,4.26,207,25.81,13.569999999999999,4.02,8,8
35,12,射命丸文,164,969,16.92,705,649,1550,27.08,10.290000000000001,16.46,2.92,186,26.38,9.790000000000001,3,183,28.2,10.99,3.55,15,11
45,13,东风谷早苗,151,947,15.95,714,615,1515,25.51,10.05,16.08,2.69,165,23.11,9.92,2.6599999999999997,152,24.72,10.41,2.9499999999999997,13,12
77,14,秦心,83,936,8.87,628,612,1498,14.19,9.94,15.9,1.48,61,9.71,8.72,0.98,50,8.17,10.36,0.97,17,13
20,15,魂魄妖梦,133,884,15.05,711,598,1414,24.07,9.379999999999999,15.010000000000002,2.37,188,26.44,9.879999999999999,3.0300000000000002,170,28.43,10.12,3.3000000000000003,14,15
33,16,蓬莱山辉夜,143,858,16.67,674,506,1373,26.67,9.11,14.57,2.54,156,23.15,9.36,2.5100000000000002,91,17.98,8.559999999999999,1.77,16,19
8,17,帕秋莉·诺蕾姬,138,777,17.76,770,654,1243,28.42,8.25,13.200000000000001,2.46,186,24.16,10.7,3,173,26.45,11.07,3.36,11,10
5,18,琪露诺,128,752,17.02,605,544,1203,27.23,7.9799999999999995,12.770000000000001,2.2800000000000002,150,24.79,8.41,2.42,135,24.82,9.21,2.62,18,17
31,19,铃仙·优昙华院·因幡,85,745,11.41,449,406,1192,18.26,7.91,12.65,1.51,88,19.6,6.239999999999999,1.4200000000000002,87,21.43,6.87,1.69,21,20
37,20,风见幽香,112,674,16.62,584,512,1078,26.59,7.1499999999999995,11.450000000000001,1.9900000000000002,140,23.97,8.110000000000001,2.26,120,23.44,8.67,2.33,19,18
49,21,比那名居天子,100,670,14.93,461,386,1072,23.88,7.109999999999999,11.379999999999999,1.78,94,20.39,6.4,1.52,86,22.28,6.529999999999999,1.67,20,22
98,22,克劳恩皮丝,22,653,3.37,-,-,1045,5.39,6.93,11.09,0.38999999999999996,-,-,-,-,-,-,-,-,-,-
26,23,伊吹萃香,66,575,11.48,437,402,920,18.37,6.1,9.77,1.17,79,18.08,6.069999999999999,1.27,80,19.9,6.800000000000001,1.55,22,21
84,24,鬼人正邪,78,573,13.61,337,102,917,21.78,6.08,9.73,1.39,51,15.13,4.68,0.8200000000000001,5,4.9,1.73,0.1,24,48
97,25,稀神探女,20,497,4.02,-,-,795,6.44,5.28,8.44,0.36,-,-,-,-,-,-,-,-,-,-
39,26,四季映姬·亚玛萨那度,63,465,13.55,302,276,744,21.68,4.9399999999999995,7.9,1.1199999999999999,58,19.21,4.2,0.9400000000000001,60,21.74,4.67,1.16,26,26
6,27,红美铃,64,450,14.22,388,350,720,22.76,4.78,7.64,1.1400000000000001,90,23.2,5.390000000000001,1.4500000000000002,85,24.29,5.92,1.6500000000000001,23,23
64,28,圣白莲,42,449,9.35,226,256,718,14.97,4.77,7.630000000000001,0.75,32,14.16,3.1399999999999997,0.52,43,16.8,4.33,0.83,30,27
42,29,键山雏,71,421,16.86,322,294,674,26.98,4.47,7.1499999999999995,1.26,88,27.33,4.47,1.4200000000000002,79,26.87,4.9799999999999995,1.53,25,24
47,29,洩矢诹访子,48,421,11.4,266,253,674,18.24,4.47,7.1499999999999995,0.8500000000000001,56,21.05,3.6999999999999997,0.8999999999999999,54,21.34,4.279999999999999,1.05,29,28
134,31,宇佐见莲子,54,407,13.27,289,191,651,21.23,4.32,6.909999999999999,0.96,50,17.3,4.02,0.8099999999999999,26,13.61,3.2300000000000004,0.5,28,34
29,32,上白泽慧音,26,405,6.42,300,286,648,10.27,4.3,6.88,0.45999999999999996,53,17.67,4.17,0.8500000000000001,42,14.69,4.84,0.8200000000000001,27,25
75,33,丰聪耳神子,59,384,15.36,220,227,614,24.58,4.08,6.52,1.05,43,19.55,3.06,0.69,40,17.62,3.84,0.7799999999999999,32,29
85,34,少名针妙丸,19,383,4.96,169,112,613,7.94,4.07,6.5,0.33999999999999997,15,8.88,2.35,0.24,4,3.57,1.9,0.08,38,45
32,35,八意永琳,46,344,13.37,217,185,550,21.4,3.65,5.84,0.8200000000000001,53,24.42,3.01,0.8500000000000001,36,19.46,3.1300000000000003,0.7000000000000001,33,35
99,36,纯狐,21,327,6.42,-,-,523,10.28,3.47,5.55,0.37,-,-,-,-,-,-,-,-,-,-
59,37,多多良小伞,26,308,8.44,150,143,493,13.51,3.27,5.2299999999999995,0.45999999999999996,21,14,2.08,0.33999999999999997,31,21.68,2.42,0.6,42,37
74,38,物部布都,43,283,15.19,163,199,453,24.31,3,4.81,0.77,36,22.09,2.26,0.58,34,17.09,3.37,0.66,41,30
135,39,玛艾露贝莉·赫恩,12,278,4.32,172,117,445,6.91,2.9499999999999997,4.72,0.21,13,7.56,2.39,0.21,10,8.55,1.9800000000000002,0.19,37,43
56,40,灵乌路空,47,269,17.47,223,195,430,27.96,2.86,4.569999999999999,0.84,78,34.98,3.1,1.26,60,30.77,3.3000000000000003,1.16,31,32
65,41,封兽鵺,23,262,8.78,144,130,419,14.05,2.78,4.45,0.41000000000000003,25,17.36,2,0.4,24,18.46,2.1999999999999997,0.47000000000000003,43,38
52,42,水桥帕露西,31,252,12.3,166,165,403,19.68,2.67,4.279999999999999,0.5499999999999999,18,10.84,2.31,0.29,28,16.97,2.79,0.54,40,36
22,43,八云蓝,30,245,12.24,212,193,392,19.59,2.6,4.16,0.53,35,16.51,2.9499999999999997,0.5599999999999999,37,19.17,3.27,0.72,34,33
3,44,露米娅,21,241,8.71,205,199,386,13.94,2.56,4.09,0.37,45,21.95,2.85,0.73,27,13.57,3.37,0.52,35,30
96,45,哆来咪·苏伊特,9,236,3.81,-,-,378,6.1,2.5100000000000002,4.01,0.16,-,-,-,-,-,-,-,-,-,-
136,46,稗田阿求,21,233,9.01,181,128,373,14.42,2.4699999999999998,3.9600000000000004,0.37,27,14.92,2.5100000000000002,0.44,19,14.84,2.17,0.37,36,40
72,47,霍青娥,17,231,7.36,135,120,370,11.77,2.45,3.92,0.3,13,9.63,1.8800000000000001,0.21,16,13.33,2.03,0.31,45,42
55,48,火焰猫燐,24,207,11.59,121,102,331,18.55,2.1999999999999997,3.52,0.43,24,19.83,1.68,0.38999999999999996,10,9.8,1.73,0.19,48,48
118,49,冈崎梦美,26,206,12.62,168,92,330,20.19,2.19,3.5000000000000004,0.45999999999999996,21,12.5,2.33,0.33999999999999997,10,10.87,1.5599999999999998,0.19,39,53
44,50,犬走椛,31,201,15.42,139,127,322,24.68,2.13,3.4099999999999997,0.5499999999999999,27,19.42,1.9300000000000002,0.44,24,18.9,2.15,0.47000000000000003,44,41
145,51,茨木华扇,16,197,8.12,118,113,315,12.99,2.09,3.35,0.27999999999999997,15,12.71,1.6400000000000001,0.24,22,19.47,1.91,0.43,49,44
43,52,河城荷取,19,189,10.05,131,111,302,16.08,2.01,3.2099999999999995,0.33999999999999997,20,15.27,1.82,0.32,15,13.51,1.8800000000000001,0.29,46,46
133,53,神绮,13,185,7.03,109,89,296,11.24,1.96,3.1399999999999997,0.22999999999999998,11,10.09,1.51,0.18,10,11.24,1.51,0.19,52,54
86,54,堀川雷鼓,17,183,9.29,131,130,293,14.86,1.94,3.11,0.3,12,9.16,1.82,0.19,11,8.46,2.1999999999999997,0.21,46,38
