id,index,name,first,total,11,35,male,female,mratio,mtratio,fratio,ftratio,love1,love2,love3,love4
1,1,博丽灵梦,543,2290,1781,480|191|1618|1,1781,509,77.77,38.66,22.23,35.52,20.96,8.34,70.66,0.04
2,2,雾雨魔理沙,307,1583,1126,306|132|1145|0,1126,457,71.13000000000001,24.44,28.87,31.89,19.33,8.34,72.33000000000001,0
57,3,古明地恋,270,1358,1053,310|91|956|1,1053,305,77.53999999999999,22.86,22.46,21.279999999999998,22.830000000000002,6.7,70.39999999999999,0.06999999999999999
9,4,十六夜咲夜,243,1332,1031,239|122|971|0,1031,301,77.4,22.38,22.6,21,17.94,9.16,72.89999999999999,0
23,5,八云紫,217,1312,1007,252|118|942|0,1007,305,76.75,21.86,23.25,21.279999999999998,19.21,8.99,71.8,0
21,6,西行寺幽幽子,323,1307,1016,264|104|938|1,1016,291,77.74,22.05,22.259999999999998,20.31,20.200000000000003,7.960000000000001,71.77,0.08
10,7,蕾米莉亚·斯卡蕾特,227,1217,951,192|135|890|0,951,266,78.14,20.64,21.86,18.56,15.78,11.09,73.13,0
54,8,古明地觉,165,1152,931,232|97|822|1,931,221,80.82000000000001,20.21,19.18,15.42,20.14,8.42,71.35000000000001,0.09
34,9,藤原妹红,193,1125,797,212|100|813|0,797,328,70.84,17.299999999999997,29.160000000000004,22.89,18.84,8.89,72.27,0
11,10,芙兰朵露·斯卡蕾特,242,1089,837,135|111|843|0,837,252,76.86,18.17,23.14,17.59,12.4,10.190000000000001,77.41,0
15,11,爱丽丝·玛格特洛依德,195,1031,787,158|116|757|0,787,244,76.33,17.080000000000002,23.669999999999998,17.03,15.32,11.25,73.42,0
35,12,射命丸文,164,969,767,191|80|697|1,767,202,79.14999999999999,16.650000000000002,20.849999999999998,14.099999999999998,19.71,8.260000000000002,71.93,0.1
45,13,东风谷早苗,151,947,794,219|83|643|2,794,153,83.84,17.23,16.16,10.68,23.13,8.76,67.9,0.21
77,14,秦心,83,936,765,194|69|673|0,765,171,81.73,16.61,18.27,11.93,20.73,7.37,71.89999999999999,0
20,15,魂魄妖梦,133,884,730,173|84|626|1,730,154,82.58,15.85,17.419999999999998,10.75,19.57,9.5,70.81,0.11
33,16,蓬莱山辉夜,143,858,648,171|74|613|0,648,210,75.52,14.069999999999999,24.48,14.649999999999999,19.93,8.62,71.45,0
8,17,帕秋莉·诺蕾姬,138,777,587,150|84|543|0,587,190,75.55,12.740000000000002,24.45,13.26,19.31,10.81,69.88,0
5,18,琪露诺,128,752,647,114|69|569|0,647,105,86.04,14.04,13.96,7.33,15.160000000000002,9.180000000000001,75.66000000000001,0
31,19,铃仙·优昙华院·因幡,85,745,623,123|65|557|0,623,122,83.62,13.52,16.38,8.51,16.509999999999998,8.72,74.77000000000001,0
