id,index,name,first,weight,total,ratio,tratio,fratio
1,1,博丽灵梦,543,2833,2290,23.71,38.89,9.66
2,2,雾雨魔理沙,307,1890,1583,19.39,26.889999999999997,5.46
57,3,古明地恋,270,1628,1358,19.88,23.06,4.8
9,4,十六夜咲夜,243,1575,1332,18.24,22.62,4.32
23,5,八云紫,217,1529,1312,16.54,22.28,3.8600000000000003
21,6,西行寺幽幽子,323,1630,1307,24.71,22.2,5.75
10,7,蕾米莉亚·斯卡蕾特,227,1444,1217,18.65,20.669999999999998,4.04
54,8,古明地觉,165,1317,1152,14.32,19.57,2.94
34,9,藤原妹红,193,1318,1125,17.16,19.11,3.4299999999999997
11,10,芙兰朵露·斯卡蕾特,242,1331,1089,22.22,18.5,4.31
15,11,爱丽丝·玛格特洛依德,195,1226,1031,18.91,17.51,3.47
35,12,射命丸文,164,1133,969,16.92,16.46,2.92
45,13,东风谷早苗,151,1098,947,15.95,16.08,2.69
77,14,秦心,83,1019,936,8.87,15.9,1.48
20,15,魂魄妖梦,133,1017,884,15.05,15.010000000000002,2.37
33,16,蓬莱山辉夜,143,1001,858,16.67,14.57,2.54
8,17,帕秋莉·诺蕾姬,138,915,777,17.76,13.200000000000001,2.46
5,18,琪露诺,128,880,752,17.02,12.770000000000001,2.2800000000000002
31,19,铃仙·优昙华院·因幡,85,830,745,11.41,12.65,1.51
37,20,风见幽香,112,786,674,16.62,11.450000000000001,1.9900000000000002
49,21,比那名居天子,100,770,670,14.93,11.379999999999999,1.78
98,22,克劳恩皮丝,22,675,653,3.37,11.09,0.38999999999999996
26,23,伊吹萃香,66,641,575,11.48,9.77,1.17
84,24,鬼人正邪,78,651,573,13.61,9.73,1.39
97,25,稀神探女,20,517,497,4.02,8.44,0.36
39,26,四季映姬·亚玛萨那度,63,528,465,13.55,7.9,1.1199999999999999
6,27,红美铃,64,514,450,14.22,7.64,1.1400000000000001
64,28,圣白莲,42,491,449,9.35,7.630000000000001,0.75
42,29,键山雏,71,492,421,16.86,7.1499999999999995,1.26
47,29,洩矢诹访子,48,469,421,11.4,7.1499999999999995,0.8500000000000001
134,31,宇佐见莲子,54,461,407,13.27,6.909999999999999,0.96
29,32,上白泽慧音,26,431,405,6.42,6.88,0.45999999999999996
75,33,丰聪耳神子,59,443,384,15.36,6.52,1.05
85,34,少名针妙丸,19,402,383,4.96,6.5,0.33999999999999997
32,35,八意永琳,46,390,344,13.37,5.84,0.8200000000000001
99,36,纯狐,21,348,327,6.42,5.55,0.37
59,37,多多良小伞,26,334,308,8.44,5.2299999999999995,0.45999999999999996
74,38,物部布都,43,326,283,15.19,4.81,0.77
135,39,玛艾露贝莉·赫恩,12,290,278,4.32,4.72,0.21
56,40,灵乌路空,47,316,269,17.47,4.569999999999999,0.84
65,41,封兽鵺,23,285,262,8.78,4.45,0.41000000000000003
52,42,水桥帕露西,31,283,252,12.3,4.279999999999999,0.5499999999999999
22,43,八云蓝,30,275,245,12.24,4.16,0.53
3,44,露米娅,21,262,241,8.71,4.09,0.37
96,45,哆来咪·苏伊特,9,245,236,3.81,4.01,0.16
136,46,稗田阿求,21,254,233,9.01,3.9600000000000004,0.37
72,47,霍青娥,17,248,231,7.36,3.92,0.3
55,48,火焰猫燐,24,231,207,11.59,3.52,0.43
118,49,冈崎梦美,26,232,206,12.62,3.5000000000000004,0.45999999999999996
44,50,犬走椛,31,232,201,15.42,3.4099999999999997,0.5499999999999999
145,51,茨木华扇,16,213,197,8.12,3.35,0.27999999999999997
43,52,河城荷取,19,208,189,10.05,3.2099999999999995,0.33999999999999997
133,53,神绮,13,198,185,7.03,3.1399999999999997,0.22999999999999998
86,54,堀川雷鼓,17,200,183,9.29,3.11,0.3
100,55,赫卡提亚·拉碧斯拉祖利,10,192,182,5.49,3.09,0.18
76,56,二岩猯藏,22,203,181,12.15,3.0700000000000003,0.38999999999999996
87,57,宇佐见堇子,4,183,179,2.23,3.04,0.06999999999999999
46,58,八坂神奈子,13,187,174,7.47,2.96,0.22999999999999998
146,59,本居小铃,7,178,171,4.09,2.9000000000000004,0.12
137,60,森近霖之助,14,170,156,8.97,2.65,0.25
30,61,因幡帝,10,148,138,7.25,2.34,0.18
28,62,米斯蒂娅·萝蕾拉,18,151,133,13.53,2.26,0.32
38,62,小野塚小町,8,141,133,6.02,2.26,0.13999999999999999
4,64,大妖精,2,129,127,1.57,2.16,0.04
14,65,橙,13,139,126,10.32,2.1399999999999997,0.22999999999999998
53,66,星熊勇仪,7,128,121,5.79,2.06,0.12
7,67,小恶魔,8,127,119,6.72,2.02,0.13999999999999999
62,68,村纱水蜜,11,126,115,9.57,1.95,0.2
102,69,魅魔,14,127,113,12.39,1.92,0.25
69,70,姬海棠果,7,112,105,6.67,1.78,0.12
