id,index,first,c1,c2,c3,total,ratio,g1,g2,g3,c1ratio,c2ratio,c3ratio,c1name,c2name,c3name,g0,g1ratio,g2ratio,g3ratio,g0ratio
2,1,446,1,2,0,1190,37.48,305,239,0,782,611,0,博丽灵梦,雾雨魔理沙,-,646,25.629999999999995,20.080000000000002,0,54.290000000000006
5,2,243,21,23,0,726,33.47,60,248,0,433,387,0,西行寺幽幽子,八云紫,-,418,8.260000000000002,34.160000000000004,0,57.58
22,3,208,33,34,0,719,28.93,206,171,0,310,310,0,蓬莱山辉夜,藤原妹红,-,342,28.65,23.78,0,47.57
27,4,170,29,34,0,648,26.23,120,189,0,219,289,0,上白泽慧音,藤原妹红,-,339,18.52,29.17,0,52.31
21,5,227,2,15,0,644,35.25,316,86,0,300,316,0,雾雨魔理沙,爱丽丝·玛格特洛依德,-,242,49.07,13.350000000000001,0,37.580000000000005
9,6,161,9,10,0,569,28.3,177,138,0,334,281,0,十六夜咲夜,蕾米莉亚·斯卡蕾特,-,254,31.11,24.25,0,44.64
35,7,176,134,135,0,543,32.41,174,56,0,249,173,0,宇佐见莲子,玛艾露贝莉·赫恩,-,313,32.04,10.31,0,57.64
7,8,125,10,11,0,488,25.61,97,156,0,263,283,0,蕾米莉亚·斯卡蕾特,芙兰朵露·斯卡蕾特,-,235,19.88,31.97,0,48.16
34,9,109,54,57,0,455,23.96,47,172,0,300,292,0,古明地觉,古明地恋,-,236,10.33,37.8,0,51.870000000000005
23,10,110,6,9,0,449,24.5,185,64,0,178,198,0,红美铃,十六夜咲夜,-,200,41.199999999999996,14.249999999999998,0,44.54
74,11,134,57,77,0,446,30.04,248,9,0,290,245,0,古明地恋,秦心,-,189,55.61000000000001,2.02,0,42.38
25,12,121,1,23,0,427,28.34,32,206,0,281,256,0,博丽灵梦,八云紫,-,189,7.489999999999999,48.24,0,44.26
1,13,92,20,21,0,380,24.21,16,238,0,205,213,0,魂魄妖梦,西行寺幽幽子,-,126,4.21,62.629999999999995,0,33.160000000000004
8,14,71,2,8,15,333,21.32,185,5,14,158,98,114,雾雨魔理沙,帕秋莉·诺蕾姬,爱丽丝·玛格特洛依德,129,55.559999999999995,1.5,4.2,38.74
6,15,51,84,85,0,293,17.41,115,52,0,155,110,0,鬼人正邪,少名针妙丸,-,126,39.25,17.75,0,43
77,16,44,4,5,0,277,15.88,50,69,0,39,133,0,大妖精,琪露诺,-,158,18.05,24.91,0,57.04
70,17,61,8,15,0,222,27.48,37,34,0,106,93,0,帕秋莉·诺蕾姬,爱丽丝·玛格特洛依德,-,151,16.669999999999998,15.32,0,68.02
26,18,57,1,45,0,197,28.93,66,25,0,114,150,0,博丽灵梦,东风谷早苗,-,106,33.5,12.690000000000001,0,53.81
46,19,29,52,53,0,183,15.85,14,113,0,73,29,0,水桥帕露西,星熊勇仪,-,56,7.6499999999999995,61.75000000000001,0,30.599999999999998
99,20,33,38,39,0,174,18.97,66,35,0,38,100,0,小野塚小町,四季映姬·亚玛萨那度,-,73,37.93,20.11,0,41.949999999999996
3,21,34,45,46,47,170,20,11,18,11,65,29,45,东风谷早苗,八坂神奈子,洩矢诹访子,130,6.47,10.59,6.47,76.47
71,22,59,1,2,15,161,36.65,22,41,15,108,76,63,博丽灵梦,雾雨魔理沙,爱丽丝·玛格特洛依德,83,13.66,25.47,9.32,51.55
15,23,34,32,33,0,159,21.38,40,24,0,80,65,0,八意永琳,蓬莱山辉夜,-,95,25.16,15.09,0,59.75
106,24,36,29,33,34,149,24.16,8,15,55,28,33,74,上白泽慧音,蓬莱山辉夜,藤原妹红,71,5.37,10.07,36.91,47.65
69,25,20,99,100,0,143,13.99,28,31,0,73,47,0,纯狐,赫卡提亚·拉碧斯拉祖利,-,84,19.580000000000002,21.68,0,58.74
115,26,40,9,10,11,124,32.26,28,42,11,54,67,64,十六夜咲夜,蕾米莉亚·斯卡蕾特,芙兰朵露·斯卡蕾特,43,22.58,33.87,8.870000000000001,34.68
86,27,28,20,31,0,121,23.14,17,12,0,57,60,0,魂魄妖梦,铃仙·优昙华院·因幡,-,92,14.05,9.92,0,76.03
60,28,19,64,75,0,115,16.52,36,17,0,43,55,0,圣白莲,丰聪耳神子,-,62,31.3,14.78,0,53.910000000000004
117,29,12,136,146,0,113,10.62,12,13,0,46,42,0,稗田阿求,本居小铃,-,88,10.620000000000001,11.5,0,77.88000000000001
195,30,24,55,56,0,108,22.22,29,23,0,52,53,0,火焰猫燐,灵乌路空,-,56,26.85,21.3,0,51.849999999999994
16,31,29,2,137,0,107,27.1,36,17,0,44,37,0,雾雨魔理沙,森近霖之助,-,54,33.64,15.89,0,50.470000000000006
72,32,23,1,26,0,106,21.7,21,18,0,65,74,0,博丽灵梦,伊吹萃香,-,67,19.81,16.98,0,63.21
80,33,23,35,44,0,104,22.12,66,4,0,63,43,0,射命丸文,犬走椛,-,34,63.46000000000001,3.85,0,32.690000000000005
185,34,20,14,22,23,103,19.42,6,3,29,11,33,42,橙,八云蓝,八云紫,65,5.83,2.91,28.16,63.11
36,34,16,84,97,0,103,15.53,13,22,0,57,48,0,鬼人正邪,稀神探女,-,68,12.620000000000001,21.36,0,66.02
59,36,23,48,49,0,96,23.96,30,17,0,27,53,0,永江衣玖,比那名居天子,-,49,31.25,17.71,0,51.04
24,37,27,1,15,0,92,29.35,34,14,0,67,53,0,博丽灵梦,爱丽丝·玛格特洛依德,-,44,36.96,15.22,0,47.83
39,37,13,35,69,0,92,14.13,49,1,0,51,30,0,射命丸文,姬海棠果,-,42,53.26,1.09,0,45.65
177,39,26,8,10,0,91,28.57,14,21,0,59,44,0,帕秋莉·诺蕾姬,蕾米莉亚·斯卡蕾特,-,56,15.379999999999999,23.080000000000002,0,61.53999999999999
14,40,8,46,47,0,88,9.09,27,24,0,22,28,0,八坂神奈子,洩矢诹访子,-,37,30.680000000000003,27.27,0,42.05
33,41,24,74,75,0,87,27.59,5,48,0,57,46,0,物部布都,丰聪耳神子,-,34,5.75,55.169999999999995,0,39.08
149,42,20,73,74,75,85,23.53,0,3,36,18,34,35,苏我屠自古,物部布都,丰聪耳神子,46,0,3.53,42.35,54.120000000000005
38,43,23,11,57,0,84,27.38,5,20,0,55,57,0,芙兰朵露·斯卡蕾特,古明地恋,-,59,5.949999999999999,23.810000000000002,0,70.24000000000001
12,43,15,2,8,0,84,17.86,51,9,0,32,37,0,雾雨魔理沙,帕秋莉·诺蕾姬,-,24,60.709999999999994,10.71,0,28.57
