id,index,name,first,cname,imp,total,ratio,v3,v2,btotal,bratio,btratio,tratio,fratio,v3f,v3r,v3tr,v3fr,v2f,v2r,v2tr,v2fr,v3i,v2i
138,1,幽雅に咲かせ、墨染の桜　～ Border of Life,348,幽雅地绽放吧，墨染的樱花　～ Border of Life,（萃梦想、绯想天）,1600,21.75,1597,1341,2400,32.63,20.94,31.4,7.41,346,21.67,23.61,8.04,319,23.79,23.07,6.1899999999999995,1,1
208,2,神々が恋した幻想郷,185,众神眷恋的幻想乡,,1289,14.35,1219,1087,1934,21.53,16.869999999999997,25.3,3.94,207,16.98,18.02,4.81,195,17.94,18.7,3.7900000000000005,3,3
121,3,亡き王女の為のセプテット,213,献给已逝公主的七重奏,（萃梦想、绯想天）,1266,16.82,1338,1196,1899,25.24,16.57,24.85,4.54,270,20.18,19.78,6.2700000000000005,249,20.82,20.57,4.83,2,2
330,4,輝く針の小人族　～ Little Princess,221,辉光之针的小人族　～ Little Princess,（深秘录）,1159,19.07,600,376,1739,28.6,15.17,22.75,4.71,65,10.83,8.870000000000001,1.51,42,11.17,6.47,0.8200000000000001,13,21
178,5,竹取飛翔　～ Lunatic Princess,143,竹取飞翔　～ Lunatic Princess,（卯酉东海道）,1064,13.44,1076,984,1596,20.16,13.919999999999998,20.880000000000003,3.05,146,13.57,15.909999999999998,3.39,129,13.11,16.919999999999998,2.5,6,5
165,6,砕月,147,碎月,（绯想天）,1052,13.97,1203,1084,1578,20.96,13.77,20.65,3.1300000000000003,194,16.13,17.79,4.51,200,18.45,18.64,3.88,4,4
268,7,感情の摩天楼　～ Cosmic Mind,128,感情的摩天楼　～ Cosmic Mind,（鸟船遗迹、心绮楼、深秘录）,982,13.03,720,820,1473,19.55,12.85,19.27,2.73,121,16.81,10.639999999999999,2.81,116,14.15,14.099999999999998,2.25,9,7
123,8,U.N.オーエンは彼女なのか？,163,U.N.OWEN就是她吗？,（蓬莱人形）,954,17.09,1135,969,1431,25.63,12.479999999999999,18.72,3.47,255,22.47,16.78,5.92,206,21.26,16.669999999999998,4,5,6
114,9,上海紅茶館　～ Chinese Tea,95,上海红茶馆　～ Chinese Tea,（非想天则、梦违科学世纪）,900,10.56,744,799,1350,15.83,11.78,17.66,2.02,118,15.86,11,2.74,116,14.52,13.74,2.25,8,8
247,10,少女さとり ～ 3rd eye,114,少女觉 ～ 3rd eye,,839,13.59,693,679,1259,20.38,10.979999999999999,16.470000000000002,2.4299999999999997,103,14.86,10.25,2.39,115,16.94,11.68,2.23,11,10
181,11,月まで届け、不死の煙,103,飘上月球，不死之烟,（卯酉东海道、深秘录）,824,12.5,703,703,1236,18.75,10.780000000000001,16.17,2.19,102,14.51,10.39,2.37,123,17.5,12.09,2.39,10,9
67,12,少女綺想曲 ～ Capriccio,99,少女绮想曲 ～ Capriccio,（永夜抄、萃梦想）,821,12.06,816,605,1232,18.09,10.74,16.11,2.11,136,16.67,12.06,3.16,103,17.02,10.41,2,7,11
253,13,ハルトマンの妖怪少女,110,哈德曼的妖怪少女,（鸟船遗迹、心绮楼、深秘录）,806,13.65,557,421,1209,20.47,10.549999999999999,15.82,2.34,94,16.88,8.23,2.18,56,13.3,7.24,1.09,14,16
64,14,Bad Apple!!,62,Bad Apple!!,,647,9.58,619,443,971,14.37,8.469999999999999,12.7,1.32,137,22.13,9.15,3.18,94,21.22,7.62,1.82,12,15
177,15,千年幻想郷　～ History of the Moon,61,千年幻想乡　～ History of the Moon,（卯酉东海道）,634,9.62,524,555,951,14.43,8.3,12.44,1.3,61,11.64,7.75,1.4200000000000002,74,13.33,9.55,1.44,15,12
24,16,恋色マジック,77,恋色Magic（恋色Master spark）,（永夜抄、萃梦想、非想天则、深秘录）,598,12.88,409,396,897,19.31,7.82,11.74,1.6400000000000001,74,18.09,6.05,1.72,82,20.71,6.81,1.59,21,18
134,17,幽霊楽団　～ Phantom Ensemble,57,幽灵乐团 ～ Phantom Ensemble,（花映塚）,577,9.88,478,463,866,14.82,7.55,11.32,1.21,79,16.53,7.07,1.8399999999999999,74,15.98,7.960000000000001,1.44,18,14
213,18,信仰は儚き人間の為に,54,信仰是为了虚幻之人,（非想天则）,563,9.59,479,417,845,14.39,7.37,11.05,1.15,68,14.2,7.08,1.58,70,16.79,7.17,1.3599999999999999,17,17
193,19,六十年目の東方裁判　～ Fate of Sixty Years,42,第六十年的东方裁判　～ Fate of Sixty Years,（紫香花、伊奘诺物质）,528,7.95,416,483,792,11.93,6.909999999999999,10.36,0.89,51,12.26,6.15,1.18,54,11.18,8.309999999999999,1.05,20,13
41,20,夢消失 ～ Lost Dream,30,梦消失 ～ Lost Dream,,508,5.91,500,315,762,8.86,6.65,9.969999999999999,0.64,50,10,7.39,1.16,27,8.57,5.42,0.52,16,24
101,21,不思議の国のアリス,51,不可思议之国的爱丽丝,,446,11.44,387,331,669,17.15,5.84,8.75,1.09,54,13.95,5.72,1.25,53,16.01,5.6899999999999995,1.03,23,22
141,22,少女幻葬～ Necro-Fantasy,33,少女幻葬 ～ Necro-Fantasy,（莲台野夜行）,438,7.53,331,327,657,11.3,5.7299999999999995,8.6,0.7000000000000001,39,11.78,4.89,0.91,38,11.62,5.62,0.74,27,23
248,23,廃獄ララバイ,39,废狱摇篮曲,,437,8.92,360,377,656,13.39,5.72,8.58,0.83,39,10.83,5.319999999999999,0.91,43,11.41,6.4799999999999995,0.83,25,20
303,24,聖徳伝説 ～ True Administrator,41,圣德传说 ～ True Administrator,（心绮楼、深秘录）,431,9.51,245,252,647,14.27,5.64,8.459999999999999,0.8699999999999999,27,11.02,3.62,0.63,33,13.1,4.33,0.64,42,32
385,25,童祭 ～ Innocent Treasures,39,童祭 ～ Innocent Treasures,,425,9.18,330,232,638,13.76,5.56,8.34,0.83,47,14.24,4.88,1.09,35,15.09,3.9899999999999998,0.6799999999999999,28,36
215,26,神さびた古戦場　～ Suwa Foughten Field,30,神圣庄严的古战场 ～ Suwa Foughten Field,,398,7.54,251,261,597,11.31,5.21,7.8100000000000005,0.64,17,6.77,3.71,0.38999999999999996,32,12.26,4.49,0.62,39,31
211,27,妖怪の山　～ Mysterious Mountain,43,妖怪之山 ～ Mysterious Mountain,（DS、天邪鬼）,395,10.89,336,306,593,16.33,5.17,7.75,0.9199999999999999,53,15.77,4.97,1.23,51,16.67,5.26,0.9900000000000001,26,25
125,28,紅楼　～ Eastern Dream...,21,红楼 ～ Eastern Dream…,,393,5.34,383,273,590,8.02,5.140000000000001,7.71,0.44999999999999996,31,8.09,5.66,0.72,25,9.16,4.7,0.49,24,29
129,29,遠野幻想物語,26,远野幻想物语,,392,6.63,274,297,588,9.95,5.13,7.6899999999999995,0.5499999999999999,26,9.49,4.05,0.6,30,10.1,5.11,0.58,32,27
119,30,月時計　～ ルナ・ダイアル,29,月时计　～ Luna Dial,（萃梦想）,381,7.61,422,293,572,11.42,4.99,7.48,0.62,51,12.09,6.239999999999999,1.18,33,11.26,5.04,0.64,19,28
143,31,ネクロファンタジア,62,Necro-Fantasia,（大空魔术）,371,16.71,394,396,557,25.07,4.8500000000000005,7.28,1.32,70,17.77,5.82,1.63,60,15.15,6.81,1.16,22,18
298,31,デザイアドライブ,41,Desire Drive,（鸟船遗迹）,371,11.05,263,241,557,16.58,4.8500000000000005,7.28,0.8699999999999999,32,12.17,3.8899999999999997,0.74,27,11.2,4.15,0.52,35,33
370,31,ピュアヒューリーズ　～ 心の在処,31,Pure Furies　～ 心之所在,,371,8.36,-,-,557,12.53,4.8500000000000005,7.28,0.66,-,-,-,-,-,-,-,-,-,-
284,34,無間の鐘　～ Infinite Nightmare,34,无间之钟 ～ Infinite Nightmare,（未知之花）,368,9.24,261,235,552,13.86,4.82,7.22,0.72,35,13.41,3.8600000000000003,0.8099999999999999,24,10.21,4.04,0.47000000000000003,36,35
216,35,明日ハレの日、ケの昨日,39,明日之盛，昨日之俗,（非想天则、未知之花）,363,10.74,253,229,545,16.12,4.75,7.12,0.83,23,9.09,3.74,0.53,27,11.79,3.94,0.52,38,37
238,36,東方緋想天,54,东方绯想天,,362,14.92,276,236,543,22.38,4.74,7.109999999999999,1.15,40,14.49,4.08,0.9299999999999999,34,14.41,4.06,0.66,31,34
326,37,幻想浄瑠璃,21,幻想净琉璃,（天邪鬼）,355,5.92,271,193,533,8.87,4.65,6.97,0.44999999999999996,15,5.54,4.01,0.35000000000000003,16,8.29,3.32,0.31,33,47
369,38,故郷の星が映る海,20,故乡之星倒映之海,,348,5.75,-,-,522,8.62,4.55,6.83,0.43,-,-,-,-,-,-,-,-,-,-
252,39,ラストリモート,41,Last Remote,,346,11.85,238,191,519,17.77,4.53,6.79,0.8699999999999999,29,12.18,3.52,0.67,26,13.61,3.29,0.5,43,49
115,40,明治十七年の上海アリス,24,明治十七年的上海爱丽丝,（蓬莱人形）,342,7.02,312,302,513,10.53,4.47,6.710000000000001,0.51,28,8.97,4.61,0.65,30,9.93,5.19,0.58,30,26
133,41,天空の花の都,27,天空的花都,,340,7.94,264,214,510,11.91,4.45,6.67,0.5700000000000001,27,10.23,3.9,0.63,24,11.21,3.6799999999999997,0.47000000000000003,34,43
212,42,少女が見た日本の原風景,22,少女曾见的日本原风景,,328,6.71,254,218,492,10.06,4.29,6.4399999999999995,0.47000000000000003,26,10.24,3.7600000000000002,0.6,16,7.34,3.75,0.31,37,40
364,42,永遠の春夢,17,永远的春梦,,328,5.18,-,-,492,7.77,4.29,6.4399999999999995,0.36,-,-,-,-,-,-,-,-,-,-
113,44,おてんば恋娘,38,活泼的纯情小姑娘,（花映塚、非想天则、文花帖书籍）,318,11.95,234,229,477,17.92,4.16,6.239999999999999,0.8099999999999999,21,8.97,3.46,0.49,24,10.48,3.94,0.47000000000000003,44,37
368,44,星条旗のピエロ,10,星条旗的小丑,,318,3.14,-,-,477,4.72,4.16,6.239999999999999,0.21,-,-,-,-,-,-,-,-,-,-
244,46,旧地獄街道を行く,14,漫游旧地狱街道,,312,4.49,224,264,468,6.73,4.08,6.12,0.3,15,6.7,3.3099999999999996,0.35000000000000003,15,5.68,4.54,0.29,45,30
210,47,フォールオブフォール　～ 秋めく滝,37,Fall of Fall ～ 秋意渐浓之瀑,,307,12.05,207,200,461,18.08,4.02,6.03,0.79,26,12.56,3.06,0.6,24,12,3.44,0.47000000000000003,48,44
151,47,東方萃夢想,25,东方萃梦想,,307,8.14,206,152,461,12.21,4.02,6.03,0.53,31,15.05,3.05,0.72,17,11.18,2.6100000000000003,0.33,49,58
192,49,彼岸帰航　～ Riverside View,12,彼岸归航　～ Riverside View,（绯想天、卯酉东海道）,300,4,180,191,450,6,3.93,5.89,0.26,15,8.33,2.6599999999999997,0.35000000000000003,21,10.99,3.29,0.41000000000000003,55,49
339,50,永遠の三日天下,13,永远的三日天下,,293,4.44,249,-,440,6.66,3.83,5.75,0.27999999999999997,23,9.24,3.6799999999999997,0.53,-,-,-,-,40,-
221,51,緋想天,35,绯想天,,269,13.01,247,215,404,19.52,3.52,5.28,0.75,34,13.77,3.65,0.79,32,14.88,3.6999999999999997,0.62,41,42
375,52,蓬莱伝説,50,蓬莱传说,,268,18.66,197,126,402,27.99,3.51,5.26,1.06,38,19.29,2.91,0.88,18,14.29,2.17,0.35000000000000003,51,68
379,53,少女秘封倶楽部,37,少女秘封俱乐部,,265,13.96,218,157,398,20.94,3.47,5.2,0.79,33,15.14,3.2199999999999998,0.77,26,16.56,2.7,0.5,46,56
146,54,萃夢想,25,萃梦想,（非想天则）,263,9.51,317,229,395,14.26,3.44,5.16,0.53,35,11.04,4.6899999999999995,0.8099999999999999,26,11.35,3.94,0.5,29,37
243,55,緑眼のジェラシー,25,绿眼的嫉妒,,262,9.54,181,195,393,14.31,3.4299999999999997,5.140000000000001,0.53,30,16.57,2.68,0.7000000000000001,19,9.74,3.35,0.37,54,45
2,56,永遠の巫女,12,永远之巫女,（蓬莱人形）,260,4.62,186,138,390,6.92,3.4000000000000004,5.1,0.26,21,11.29,2.75,0.49,12,8.7,2.37,0.22999999999999998,53,61
209,57,芥川龍之介の河童　～ Candid Friend,24,芥川龙之介的河童 ～ Candid Friend,（心绮楼、深秘录）,257,9.34,204,190,386,14.01,3.36,5.04,0.51,25,12.25,3.02,0.58,20,10.53,3.27,0.38999999999999996,50,51
332,58,始原のビート　～ Pristine Beat,19,原初的节拍　～ Pristine Beat,,254,7.48,173,195,381,11.22,3.32,4.99,0.4,17,9.83,2.56,0.38999999999999996,17,8.72,3.35,0.33,56,45
171,59,懐かしき東方の血　～ Old World,23,令人怀念的东方之血　～ Old World,,252,9.13,216,218,378,13.69,3.3000000000000003,4.95,0.49,25,11.57,3.19,0.58,17,7.8,3.75,0.33,47,40
267,60,法界の火,16,法界之火,,246,6.5,156,154,369,9.76,3.2199999999999998,4.83,0.33999999999999997,11,7.05,2.31,0.26,10,6.49,2.65,0.19,67,57
235,61,有頂天変 ～ Wonderful Heaven,21,有顶天变 ～ Wonderful Heaven,,245,8.57,170,192,368,12.86,3.2099999999999995,4.81,0.44999999999999996,15,8.82,2.5100000000000002,0.35000000000000003,23,11.98,3.3000000000000003,0.44999999999999996,57,48
117,62,ラクトガール　～ 少女密室,24,Locked Girl　～ 少女密室,（萃梦想、绯想天、卯酉东海道）,240,10,197,187,360,15,3.1399999999999997,4.71,0.51,40,20.3,2.91,0.9299999999999999,26,13.9,3.2199999999999998,0.5,51,52
188,63,フラワリングナイト,38,Flowering Night,（绯想天）,229,16.59,167,131,344,24.89,3,4.49,0.8099999999999999,33,19.76,2.4699999999999998,0.77,17,12.98,2.25,0.33,59,66
292,64,死霊の夜桜,23,死灵的夜樱,,227,10.13,123,112,341,15.2,2.97,4.46,0.49,13,10.57,1.82,0.3,11,9.82,1.9300000000000002,0.21,80,75
417,65,風神少女,29,风神少女,（花映塚、文花帖、绯想天）,226,12.83,128,134,339,19.25,2.96,4.44,0.62,22,17.19,1.8900000000000001,0.51,27,20.15,2.3,0.52,76,64
122,65,魔法少女達の百年祭,13,魔法少女们的百年祭,,226,5.75,168,148,339,8.63,2.96,4.44,0.27999999999999997,14,8.33,2.48,0.33,18,12.16,2.55,0.35000000000000003,58,59
135,67,東方妖々夢　～ Ancient Temple,16,东方妖妖梦 ～ Ancient Temple,（萃梦想、花映塚、莲台野夜行）,216,7.41,164,165,324,11.11,2.83,4.24,0.33999999999999997,10,6.1,2.42,0.22999999999999998,18,10.91,2.8400000000000003,0.35000000000000003,63,54
175,68,狂気の瞳　～ Invisible Full Moon,20,狂气之瞳　～ Invisible Full Moon,（花映塚、绯想天）,210,9.52,160,126,315,14.29,2.75,4.12,0.43,25,15.63,2.37,0.58,20,15.87,2.17,0.38999999999999996,66,68
217,69,ネイティブフェイス,21,Native Faith,,203,10.34,167,164,305,15.52,2.6599999999999997,3.9800000000000004,0.44999999999999996,15,8.98,2.4699999999999998,0.35000000000000003,25,15.24,2.82,0.49,59,55
205,70,稲田姫様に叱られるから,10,会被稻田公主骂的啦,,202,4.95,110,79,303,7.43,2.64,3.9600000000000004,0.21,10,9.09,1.63,0.22999999999999998,1,1.27,1.3599999999999999,0.02,89,92
186,71,春色小径　～ Colorful Path,15,春色小径　～ Colorful Path,（心绮楼）,200,7.5,153,107,300,11.25,2.62,3.93,0.32,17,11.11,2.26,0.38999999999999996,9,8.41,1.8399999999999999,0.16999999999999998,68,79
251,72,霊知の太陽信仰　～ Nuclear Fusion,19,灵知的太阳信仰 ～ Nuclear Fusion,（非想天则）,194,9.79,166,178,291,14.69,2.54,3.81,0.4,31,18.67,2.45,0.72,28,15.73,3.06,0.54,62,53
450,73,二色蓮花蝶　～ Ancients,17,二色莲花蝶　～ Ancients,（蓬莱人形、非想天则、深秘录）,192,8.85,76,61,288,13.28,2.5100000000000002,3.7699999999999996,0.36,9,11.84,1.1199999999999999,0.21,9,14.75,1.05,0.16999999999999998,105,107
145,74,さくらさくら　～ Japanize Dream...,6,樱花樱花 ～ Japanize Dream...,,191,3.14,144,83,287,4.71,2.5,3.75,0.13,11,7.64,2.13,0.26,9,10.84,1.43,0.16999999999999998,70,87
270,75,平安のエイリアン,16,平安时代的外星人,,183,8.74,141,130,275,13.11,2.39,3.5900000000000003,0.33999999999999997,10,7.09,2.08,0.22999999999999998,16,12.31,2.2399999999999998,0.31,71,67
132,76,人形裁判　～ 人の形弄びし少女,12,玩偶裁判 ～ 玩弄人形的少女,（萃梦想、梦违科学世纪）,181,6.63,167,145,272,9.94,2.37,3.55,0.26,14,8.38,2.4699999999999998,0.33,17,11.72,2.4899999999999998,0.33,59,60
367,77,遥か３８万キロのボヤージュ,8,遥遥38万公里的航程,,175,4.57,-,-,263,6.86,2.29,3.4299999999999997,0.16999999999999998,-,-,-,-,-,-,-,-,-,-
37,78,Reincarnation,13,Reincarnation,（蓬莱人形）,172,7.56,134,99,258,11.34,2.25,3.38,0.27999999999999997,14,10.45,1.9800000000000002,0.33,13,13.13,1.7000000000000002,0.25,75,81
68,79,星の器 ～ Casket of Star,12,星之器 ～ Casket of Star,（绯想天）,169,7.1,161,111,254,10.65,2.21,3.32,0.26,9,5.59,2.3800000000000003,0.21,9,8.11,1.91,0.16999999999999998,65,76
207,80,運命のダークサイド,13,命运的阴暗面,,168,7.74,127,133,252,11.61,2.1999999999999997,3.3000000000000003,0.27999999999999997,26,20.47,1.8800000000000001,0.6,21,15.79,2.29,0.41000000000000003,77,65
392,81,最も澄みわたる空と海,16,最澄澈的空与海,,164,9.76,119,101,246,14.63,2.15,3.2199999999999998,0.33999999999999997,15,12.61,1.76,0.35000000000000003,8,7.92,1.7399999999999998,0.16,83,80
139,81,ボーダーオブライフ,15,Border of Life,,164,9.15,111,65,246,13.72,2.15,3.2199999999999998,0.32,15,13.51,1.6400000000000001,0.35000000000000003,3,4.62,1.1199999999999999,0.06,87,103
277,83,悠久の蒸気機関,17,悠久的蒸汽机关,,162,10.49,137,124,243,15.74,2.12,3.18,0.36,14,10.22,2.03,0.33,15,12.1,2.13,0.29,72,70
305,83,佐渡の二ッ岩,10,佐渡的二岩,（心绮楼）,162,6.17,116,136,243,9.26,2.12,3.18,0.21,5,4.31,1.71,0.12,7,5.15,2.34,0.13999999999999999,85,62
365,85,凍り付いた永遠の都,7,冻结的永远之都,,161,4.35,-,-,242,6.52,2.11,3.16,0.15,-,-,-,-,-,-,-,-,-,-
394,86,天空のグリニッジ,13,天空的格林尼治,,159,8.18,145,93,239,12.26,2.08,3.1199999999999997,0.27999999999999997,17,11.72,2.1399999999999997,0.38999999999999996,12,12.9,1.6,0.22999999999999998,69,83
309,87,亡失のエモーション,9,亡失的情感,（深秘录）,158,5.7,119,117,237,8.54,2.07,3.1,0.19,10,8.4,1.76,0.22999999999999998,7,5.98,2.01,0.13999999999999999,83,73
318,88,不思議なお祓い棒,9,不可思议的驱魔棒,,156,5.77,99,92,234,8.65,2.04,3.06,0.19,9,9.09,1.46,0.21,13,14.13,1.58,0.25,90,84
389,89,ヒロシゲ36号　～ Neo Super-Express,15,广重36号 ～ Neo Super-Express,,155,9.68,82,43,233,14.52,2.03,3.04,0.32,6,7.32,1.21,0.13999999999999999,6,13.95,0.74,0.12,102,124
174,90,シンデレラケージ　～ Kagome-Kagome,6,灰姑娘的笼子　～ Kagome-Kagome,（幻乐祀典）,150,4,135,122,225,6,1.96,2.94,0.13,13,9.63,2,0.3,6,4.92,2.1,0.12,74,71
136,91,広有射怪鳥事　～ Till When?,14,广有射怪鸟事 ～ Till When?,（萃梦想、绯想天）,149,9.4,162,118,224,14.09,1.95,2.92,0.3,13,8.02,2.4,0.3,7,5.93,2.03,0.13999999999999999,64,72
357,91,ラストオカルティズム　～現し世の秘術師,10,Last Occultism ~现世的秘术师,,149,6.71,-,-,224,10.07,1.95,2.92,0.21,-,-,-,-,-,-,-,-,-,-
176,93,ヴォヤージュ1969,8,Voyage1969,（梦违科学世纪）,148,5.41,137,108,222,8.11,1.94,2.9000000000000004,0.16999999999999998,11,8.03,2.03,0.26,8,7.41,1.8599999999999999,0.16,72,78
363,94,宇宙を飛ぶ不思議な巫女,6,飞翔于宇宙的不可思议巫女,,145,4.14,-,-,218,6.21,1.9,2.85,0.13,-,-,-,-,-,-,-,-,-,-
111,95,妖魔夜行,8,妖魔夜行,,141,5.67,113,111,212,8.51,1.8399999999999999,2.77,0.16999999999999998,14,12.39,1.67,0.33,11,9.91,1.91,0.21,86,76
245,96,華のさかづき大江山,4,大江山的花之酒宴,,140,2.86,76,82,210,4.29,1.83,2.75,0.09,6,7.89,1.1199999999999999,0.13999999999999999,8,9.76,1.41,0.16,105,88
127,97,無何有の郷 ～ Deep Mountain,8,无何有之乡,,137,5.84,121,77,206,8.76,1.79,2.69,0.16999999999999998,8,6.61,1.79,0.19,7,9.09,1.32,0.13999999999999999,82,95
260,98,万年置き傘にご注意を,7,请注意万年备用伞,,132,5.3,74,69,198,7.95,1.73,2.59,0.15,5,6.76,1.09,0.12,6,8.7,1.1900000000000002,0.12,108,99
