id,index,name,first,cname,imp,total,11,35,male,female,mratio,mtratio,fratio,ftratio,love1,love2,love3,love4
138,1,幽雅に咲かせ、墨染の桜　～ Border of Life,348,幽雅地绽放吧，墨染的樱花　～ Border of Life,（萃梦想、绯想天）,1600,1245,333|123|1144|0,1245,355,77.81,27.02,22.189999999999998,24.77,20.810000000000002,7.6899999999999995,71.5,0
208,2,神々が恋した幻想郷,185,众神眷恋的幻想乡,,1289,1047,247|106|936|0,1047,242,81.23,22.73,18.77,16.89,19.16,8.219999999999999,72.61,0
121,3,亡き王女の為のセプテット,213,献给已逝公主的七重奏,（萃梦想、绯想天）,1266,993,200|118|948|0,993,273,78.44,21.55,21.560000000000002,19.05,15.8,9.32,74.88,0
330,4,輝く針の小人族　～ Little Princess,221,辉光之针的小人族　～ Little Princess,（深秘录）,1159,896,317|76|766|0,896,263,77.31,19.45,22.689999999999998,18.35,27.35,6.5600000000000005,66.09,0
178,5,竹取飛翔　～ Lunatic Princess,143,竹取飞翔　～ Lunatic Princess,（卯酉东海道）,1064,810,198|89|776|1,810,254,76.13,17.580000000000002,23.87,17.73,18.61,8.36,72.92999999999999,0.09
165,6,砕月,147,碎月,（绯想天）,1052,838,158|95|799|0,838,214,79.66,18.19,20.34,14.93,15.02,9.030000000000001,75.94999999999999,0
268,7,感情の摩天楼　～ Cosmic Mind,128,感情的摩天楼　～ Cosmic Mind,（鸟船遗迹、心绮楼、深秘录）,982,767,237|80|665|0,767,215,78.11,16.650000000000002,21.89,15,24.13,8.15,67.72,0
123,8,U.N.オーエンは彼女なのか？,163,U.N.OWEN就是她吗？,（蓬莱人形）,954,750,149|72|733|0,750,204,78.62,16.28,21.38,14.24,15.620000000000001,7.55,76.83,0
114,9,上海紅茶館　～ Chinese Tea,95,上海红茶馆　～ Chinese Tea,（非想天则、梦违科学世纪）,900,701,146|87|667|0,701,199,77.89,15.22,22.11,13.889999999999999,16.220000000000002,9.67,74.11,0
247,10,少女さとり ～ 3rd eye,114,少女觉 ～ 3rd eye,,839,646,182|71|586|0,646,193,77,14.02,23,13.469999999999999,21.69,8.459999999999999,69.85,0
181,11,月まで届け、不死の煙,103,飘上月球，不死之烟,（卯酉东海道、深秘录）,824,619,184|61|579|0,619,205,75.12,13.44,24.88,14.31,22.33,7.3999999999999995,70.27,0
67,12,少女綺想曲 ～ Capriccio,99,少女绮想曲 ～ Capriccio,（永夜抄、萃梦想）,821,642,136|76|608|1,642,179,78.2,13.94,21.8,12.49,16.57,9.26,74.06,0.12
253,13,ハルトマンの妖怪少女,110,哈德曼的妖怪少女,（鸟船遗迹、心绮楼、深秘录）,806,606,185|38|583|0,606,200,75.19,13.15,24.81,13.96,22.95,4.71,72.33000000000001,0
64,14,Bad Apple!!,62,Bad Apple!!,,647,516,93|42|512|0,516,131,79.75,11.200000000000001,20.25,9.139999999999999,14.37,6.49,79.13,0
177,15,千年幻想郷　～ History of the Moon,61,千年幻想乡　～ History of the Moon,（卯酉东海道）,634,484,111|58|465|0,484,150,76.34,10.51,23.66,10.47,17.51,9.15,73.34,0
24,16,恋色マジック,77,恋色Magic（恋色Master spark）,（永夜抄、萃梦想、非想天则、深秘录）,598,441,97|54|447|0,441,157,73.75,9.569999999999999,26.25,10.96,16.220000000000002,9.030000000000001,74.75,0
134,17,幽霊楽団　～ Phantom Ensemble,57,幽灵乐团 ～ Phantom Ensemble,（花映塚）,577,473,133|36|408|0,473,104,81.98,10.27,18.02,7.26,23.05,6.239999999999999,70.71,0
213,18,信仰は儚き人間の為に,54,信仰是为了虚幻之人,（非想天则）,563,453,131|49|383|0,453,110,80.46,9.83,19.54,7.68,23.27,8.7,68.03,0
193,19,六十年目の東方裁判　～ Fate of Sixty Years,42,第六十年的东方裁判　～ Fate of Sixty Years,（紫香花、伊奘诺物质）,528,396,118|47|363|0,396,132,75,8.6,25,9.21,22.35,8.9,68.75,0
41,20,夢消失 ～ Lost Dream,30,梦消失 ～ Lost Dream,,508,380,94|34|380|0,380,128,74.8,8.25,25.2,8.93,18.5,6.69,74.8,0
101,21,不思議の国のアリス,51,不可思议之国的爱丽丝,,446,314,87|44|315|0,314,132,70.39999999999999,6.819999999999999,29.599999999999998,9.21,19.509999999999998,9.87,70.63000000000001,0
141,22,少女幻葬～ Necro-Fantasy,33,少女幻葬 ～ Necro-Fantasy,（莲台野夜行）,438,352,77|42|319|0,352,86,80.36999999999999,7.64,19.63,6,17.580000000000002,9.59,72.83,0
248,23,廃獄ララバイ,39,废狱摇篮曲,,437,322,114|33|290|0,322,115,73.68,6.99,26.32,8.03,26.090000000000003,7.55,66.36,0
303,24,聖徳伝説 ～ True Administrator,41,圣德传说 ～ True Administrator,（心绮楼、深秘录）,431,264,110|21|300|0,264,167,61.25000000000001,5.7299999999999995,38.75,11.65,25.52,4.87,69.61,0
385,25,童祭 ～ Innocent Treasures,39,童祭 ～ Innocent Treasures,,425,313,81|38|306|0,313,112,73.65,6.79,26.35,7.82,19.06,8.94,72,0
215,26,神さびた古戦場　～ Suwa Foughten Field,30,神圣庄严的古战场 ～ Suwa Foughten Field,,398,292,99|23|276|0,292,106,73.37,6.34,26.63,7.3999999999999995,24.87,5.779999999999999,69.35,0
211,27,妖怪の山　～ Mysterious Mountain,43,妖怪之山 ～ Mysterious Mountain,（DS、天邪鬼）,395,311,94|20|281|0,311,84,78.73,6.75,21.27,5.86,23.799999999999997,5.06,71.14,0
125,28,紅楼　～ Eastern Dream...,21,红楼 ～ Eastern Dream…,,393,314,65|34|294|0,314,79,79.9,6.819999999999999,20.1,5.510000000000001,16.54,8.649999999999999,74.81,0
129,29,遠野幻想物語,26,远野幻想物语,,392,296,89|27|276|0,296,96,75.51,6.43,24.490000000000002,6.7,22.7,6.890000000000001,70.41,0
119,30,月時計　～ ルナ・ダイアル,29,月时计　～ Luna Dial,（萃梦想）,381,284,54|34|293|0,284,97,74.53999999999999,6.16,25.46,6.77,14.17,8.92,76.9,0
143,31,ネクロファンタジア,62,Necro-Fantasia,（大空魔术）,371,299,82|26|262|1,299,72,80.58999999999999,6.49,19.41,5.0200000000000005,22.1,7.01,70.62,0.27
298,31,デザイアドライブ,41,Desire Drive,（鸟船遗迹）,371,266,92|20|259|0,266,105,71.7,5.7700000000000005,28.299999999999997,7.33,24.8,5.390000000000001,69.81,0
