id,index,name,first,weight,cname,imp,total,ratio,tratio,fratio
138,1,幽雅に咲かせ、墨染の桜　～ Border of Life,348,1948,幽雅地绽放吧，墨染的樱花　～ Border of Life,（含萃梦想、绯想天版本）,1600,21.75,31.4,7.41
208,2,神々が恋した幻想郷,185,1474,众神眷恋的幻想乡,,1289,14.35,25.3,3.94
121,3,亡き王女の為のセプテット,213,1479,献给已逝公主的七重奏,（含萃梦想、绯想天版本）,1266,16.82,24.85,4.54
330,4,輝く針の小人族　～ Little Princess,221,1380,辉光之针的小人族　～ Little Princess,（含深秘录版本）,1159,19.07,22.75,4.71
178,5,竹取飛翔　～ Lunatic Princess,143,1207,竹取飞翔　～ Lunatic Princess,（含卯酉东海道版本）,1064,13.44,20.880000000000003,3.05
165,6,砕月,147,1199,碎月,（含绯想天版本）,1052,13.97,20.65,3.1300000000000003
268,7,感情の摩天楼　～ Cosmic Mind,128,1110,感情的摩天楼　～ Cosmic Mind,（含鸟船遗迹、心绮楼、深秘录版本）,982,13.03,19.27,2.73
123,8,U.N.オーエンは彼女なのか？,163,1117,U.N.OWEN就是她吗？,（含蓬莱人形版本）,954,17.09,18.72,3.47
114,9,上海紅茶館　～ Chinese Tea,95,995,上海红茶馆　～ Chinese Tea,（含非想天则、梦违科学世纪版本）,900,10.56,17.66,2.02
247,10,少女さとり ～ 3rd eye,114,953,少女觉 ～ 3rd eye,,839,13.59,16.470000000000002,2.4299999999999997
181,11,月まで届け、不死の煙,103,927,飘上月球，不死之烟,（含卯酉东海道、深秘录版本）,824,12.5,16.17,2.19
67,12,少女綺想曲 ～ Capriccio,99,920,少女绮想曲 ～ Capriccio,（含永夜抄、萃梦想版本）,821,12.06,16.11,2.11
253,13,ハルトマンの妖怪少女,110,916,哈德曼的妖怪少女,（含鸟船遗迹、心绮楼、深秘录版本）,806,13.65,15.82,2.34
64,14,Bad Apple!!,62,709,Bad Apple!!,,647,9.58,12.7,1.32
177,15,千年幻想郷　～ History of the Moon,61,695,千年幻想乡　～ History of the Moon,（含卯酉东海道版本）,634,9.62,12.44,1.3
24,16,恋色マジック,77,675,恋色Magic（恋色Master spark）,（含永夜抄、萃梦想、非想天则、深秘录版本）,598,12.88,11.74,1.6400000000000001
134,17,幽霊楽団　～ Phantom Ensemble,57,634,幽灵乐团 ～ Phantom Ensemble,（含花映塚版本）,577,9.88,11.32,1.21
213,18,信仰は儚き人間の為に,54,617,信仰是为了虚幻之人,（含非想天则版本）,563,9.59,11.05,1.15
193,19,六十年目の東方裁判　～ Fate of Sixty Years,42,570,第六十年的东方裁判　～ Fate of Sixty Years,（含紫香花、伊奘诺物质版本）,528,7.95,10.36,0.89
41,20,夢消失 ～ Lost Dream,30,538,梦消失 ～ Lost Dream,,508,5.91,9.969999999999999,0.64
101,21,不思議の国のアリス,51,497,不可思议之国的爱丽丝,,446,11.44,8.75,1.09
141,22,少女幻葬～ Necro-Fantasy,33,471,少女幻葬 ～ Necro-Fantasy,（含莲台野夜行版本）,438,7.53,8.6,0.7000000000000001
248,23,廃獄ララバイ,39,476,废狱摇篮曲,,437,8.92,8.58,0.83
303,24,聖徳伝説 ～ True Administrator,41,472,圣德传说 ～ True Administrator,（含心绮楼、深秘录版本）,431,9.51,8.459999999999999,0.8699999999999999
385,25,童祭 ～ Innocent Treasures,39,464,童祭 ～ Innocent Treasures,,425,9.18,8.34,0.83
215,26,神さびた古戦場　～ Suwa Foughten Field,30,428,神圣庄严的古战场 ～ Suwa Foughten Field,,398,7.54,7.8100000000000005,0.64
211,27,妖怪の山　～ Mysterious Mountain,43,438,妖怪之山 ～ Mysterious Mountain,（含DS、天邪鬼版本）,395,10.89,7.75,0.9199999999999999
125,28,紅楼　～ Eastern Dream...,21,414,红楼 ～ Eastern Dream…,,393,5.34,7.71,0.44999999999999996
129,29,遠野幻想物語,26,418,远野幻想物语,,392,6.63,7.6899999999999995,0.5499999999999999
119,30,月時計　～ ルナ・ダイアル,29,410,月时计　～ Luna Dial,（含萃梦想版本）,381,7.61,7.48,0.62
143,31,ネクロファンタジア,62,433,Necro-Fantasia,（含大空魔术版本）,371,16.71,7.28,1.32
298,31,デザイアドライブ,41,412,Desire Drive,（含鸟船遗迹版本）,371,11.05,7.28,0.8699999999999999
370,31,ピュアヒューリーズ　～ 心の在処,31,402,Pure Furies　～ 心之所在,,371,8.36,7.28,0.66
284,34,無間の鐘　～ Infinite Nightmare,34,402,无间之钟 ～ Infinite Nightmare,（含未知之花版本）,368,9.24,7.22,0.72
216,35,明日ハレの日、ケの昨日,39,402,明日之盛，昨日之俗,（含非想天则、未知之花版本）,363,10.74,7.12,0.83
