id,index,name,1st,2nd,3rd,total,sum,v3,v2,p1st,p2nd,p3rd,v3s,v3p1,v3p2,v3p3,v2s,v2p1,v2p2,v2p3,v3i,v2i
9,1,东方永夜抄,923,573,319,4234,1815,6393,5731,923,573,319,2837,1352,852,633,2547,1190,804,553,1,1
12,2,东方风神录,453,376,289,2400,1118,3286,3018,453,376,289,1583,582,539,462,1434,545,494,395,5,4
7,3,东方妖妖梦,425,342,216,2175,983,3389,2999,425,342,216,1578,637,537,404,1393,580,446,367,4,5
6,4,东方红魔乡,434,297,155,2051,886,4272,3760,434,297,155,1861,926,559,376,1668,800,492,376,2,2
16,5,东方非想天则,358,235,228,1772,821,3435,3085,358,235,228,1589,646,554,389,1421,586,492,343,3,3
14,6,东方地灵殿,316,254,191,1647,761,2270,2133,316,254,191,1131,376,387,368,1058,367,341,350,6,6
24,7,东方绀珠传,223,251,286,1457,760,-,-,223,251,286,-,-,-,-,-,-,-,-,-,-
21,8,东方辉针城,229,222,179,1310,630,1418,1492,229,222,179,767,190,271,306,823,199,271,353,9,8
19,9,东方神灵庙,160,141,120,882,421,953,977,160,141,120,487,152,162,173,493,150,184,159,12,10
23,10,东方深秘录,132,155,155,861,442,-,-,132,155,155,-,-,-,-,-,-,-,-,-,-
20,11,东方心绮楼,122,155,146,822,423,1949,1804,122,155,146,1019,287,356,376,958,254,338,366,7,7
13,12,东方绯想天,134,127,97,753,358,1523,1355,134,127,97,768,229,297,242,668,212,263,193,8,9
22,13,弹幕天邪鬼,103,148,134,739,385,1368,-,103,148,134,756,173,266,317,-,-,-,-,10,-
15,14,东方星莲船,98,133,113,673,344,762,729,98,133,113,401,109,143,149,397,92,148,157,14,12
47,15,东方铃奈庵（书籍）,81,116,126,601,323,786,393,81,116,126,452,87,160,205,231,44,74,113,13,18
48,16,东方求闻史纪（书籍）,64,65,111,433,240,1046,887,64,65,111,584,140,182,262,485,121,160,204,11,11
10,17,东方花映塚,77,69,62,431,208,622,605,77,69,62,340,90,102,148,331,67,140,124,16,13
46,18,东方茨歌仙（书籍）,58,77,87,415,222,613,446,58,77,87,335,83,112,140,250,57,82,111,17,17
43,19,东方香霖堂（书籍）,55,48,65,326,168,667,525,55,48,65,358,106,97,155,300,66,93,141,15,15
45,20,东方儚月抄（书籍）,43,44,71,288,158,584,533,43,44,71,327,77,103,147,307,60,106,141,18,14
