id,index,name,clear,optionx,ratio,easy,normal,hard,lunatic,extra,phantasm
1,th01,东方灵异传（地狱线）,366,"{""1"": 202, ""2"": 99, ""3"": 18, ""4"": 24, ""5"": 80, ""6"": 37, ""7"": 4, ""8"": 7}",9.04,202,99,18,24,-,-
1,th01,东方灵异传（魔界线）,366,"{""1"": 202, ""2"": 99, ""3"": 18, ""4"": 24, ""5"": 80, ""6"": 37, ""7"": 4, ""8"": 7}",9.04,80,37,4,7,-,-
2,th02,东方封魔录,547,"{""1"": 328, ""2"": 168, ""3"": 28, ""4"": 22, ""5"": 35}",13.51,328,168,28,22,35,-
3,th03,东方梦时空,626,"{""1"": 364, ""2"": 190, ""3"": 43, ""4"": 29}",15.459999999999999,364,190,43,29,-,-
4,th04,东方幻想乡,697,"{""1"": 338, ""2"": 262, ""3"": 56, ""4"": 35, ""5"": 56}",17.21,338,262,56,35,56,-
5,th05,东方怪绮谈,671,"{""1"": 349, ""2"": 242, ""3"": 41, ""4"": 30, ""5"": 71}",16.57,349,242,41,30,71,-
6,th06,东方红魔乡,3083,"{""1"": 1299, ""2"": 1224, ""3"": 307, ""4"": 236, ""5"": 493}",76.14,1299,1224,307,236,493,-
7,th07,东方妖妖梦,3001,"{""1"": 1160, ""2"": 1213, ""3"": 328, ""4"": 279, ""5"": 573, ""6"": 329}",74.11999999999999,1160,1213,328,279,573,329
8,th07.5,东方萃梦想,1818,"{""1"": 757, ""2"": 578, ""3"": 174, ""4"": 309}",44.9,757,578,174,309,-,-
9,th08,东方永夜抄,3527,"{""1"": 1168, ""2"": 1475, ""3"": 481, ""4"": 365, ""5"": 802}",87.11,1168,1475,481,365,802,-
10,th09,东方花映塚,2605,"{""1"": 1181, ""2"": 926, ""3"": 242, ""4"": 232, ""5"": 235}",64.34,1181,926,242,232,235,-
11,th09.5,东方文花帖,1803,"{""1"": 940, ""2"": 792, ""3"": 775, ""4"": 645, ""5"": 535, ""6"": 403, ""7"": 303, ""8"": 232, ""9"": 185, ""10"": 264, ""11"": 192}",44.529999999999994,-,-,-,-,-,-
12,th10,东方风神录,2994,"{""1"": 1056, ""2"": 1268, ""3"": 358, ""4"": 293, ""5"": 627}",73.94,1056,1268,358,293,627,-
13,th10.5,东方绯想天,2529,"{""1"": 803, ""2"": 824, ""3"": 296, ""4"": 606}",62.46000000000001,803,824,296,606,-,-
14,th11,东方地灵殿,2605,"{""1"": 1343, ""2"": 835, ""3"": 188, ""4"": 224, ""5"": 415}",64.34,1343,835,188,224,415,-
15,th12,东方星莲船,2152,"{""1"": 1158, ""2"": 712, ""3"": 130, ""4"": 136, ""5"": 323}",53.15,1158,712,130,136,323,-
16,th12.3,东方非想天则,2552,"{""1"": 790, ""2"": 829, ""3"": 263, ""4"": 670}",63.029999999999994,790,829,263,670,-,-
17,th12.5,东方文花帖DS,1624,"{""1"": 893, ""2"": 721, ""3"": 644, ""4"": 584, ""5"": 500, ""6"": 436, ""7"": 321, ""8"": 277, ""9"": 211, ""10"": 276, ""11"": 181, ""12"": 197, ""13"": 137, ""14"": 126}",40.11,-,-,-,-,-,-
18,th12.8,妖精大战争,1509,"{""1"": 883, ""2"": 436, ""3"": 101, ""4"": 80, ""5"": 148}",37.269999999999996,883,436,101,80,148,-
19,th13,东方神灵庙,2680,"{""1"": 1113, ""2"": 1063, ""3"": 261, ""4"": 230, ""5"": 415}",66.19,1113,1063,261,230,415,-
20,th13.5,东方心绮楼,2537,"{""1"": 818, ""2"": 893, ""3"": 260, ""4"": 566}",62.660000000000004,818,893,260,566,-,-
21,th14,东方辉针城,2690,"{""1"": 1214, ""2"": 992, ""3"": 225, ""4"": 243, ""5"": 467}",66.44,1214,992,225,243,467,-
22,th14.3,弹幕天邪鬼,2409,"{""1"": 1204, ""2"": 1080, ""3"": 1054, ""4"": 957, ""5"": 903, ""6"": 848, ""7"": 803, ""8"": 745, ""9"": 783, ""10"": 1109}",59.5,-,-,-,-,-,-
23,th14.5,东方深秘录,1964,"{""1"": 666, ""2"": 665, ""3"": 202, ""4"": 431}",48.51,666,665,202,431,-,-
24,th15,东方绀珠传（传统遗产模式）,2260,"{""1"": 922, ""2"": 734, ""3"": 161, ""4"": 157, ""5"": 578, ""6"": 359, ""7"": 77, ""8"": 144, ""9"": 195}",55.82,578,359,77,144,195,-
24,th15,东方绀珠传（完美无缺模式）,2260,"{""1"": 922, ""2"": 734, ""3"": 161, ""4"": 157, ""5"": 578, ""6"": 359, ""7"": 77, ""8"": 144, ""9"": 195}",55.82,922,734,161,157,-,-
