id,index,name,1st,2nd,3rd,total,sum,p1st,p2nd,p3rd
9,1,东方永夜抄,923,573,319,4234,1815,923,573,319
12,2,东方风神录,453,376,289,2400,1118,453,376,289
7,3,东方妖妖梦,425,342,216,2175,983,425,342,216
6,4,东方红魔乡,434,297,155,2051,886,434,297,155
16,5,东方非想天则,358,235,228,1772,821,358,235,228
14,6,东方地灵殿,316,254,191,1647,761,316,254,191
24,7,东方绀珠传,223,251,286,1457,760,223,251,286
21,8,东方辉针城,229,222,179,1310,630,229,222,179
19,9,东方神灵庙,160,141,120,882,421,160,141,120
23,10,东方深秘录,132,155,155,861,442,132,155,155
20,11,东方心绮楼,122,155,146,822,423,122,155,146
13,12,东方绯想天,134,127,97,753,358,134,127,97
22,13,弹幕天邪鬼,103,148,134,739,385,103,148,134
15,14,东方星莲船,98,133,113,673,344,98,133,113
47,15,东方铃奈庵（书籍）,81,116,126,601,323,81,116,126
48,16,东方求闻史纪（书籍）,64,65,111,433,240,64,65,111
10,17,东方花映塚,77,69,62,431,208,77,69,62
46,18,东方茨歌仙（书籍）,58,77,87,415,222,58,77,87
43,19,东方香霖堂（书籍）,55,48,65,326,168,55,48,65
45,20,东方儚月抄（书籍）,43,44,71,288,158,43,44,71
25,21,蓬莱人形（专辑）,41,45,66,279,152,41,45,66
44,22,东方三月精（书籍）,29,42,46,217,117,29,42,46
49,23,东方求闻口授（书籍）,10,39,64,172,113,10,39,64
29,24,大空魔术（专辑）,23,34,23,160,80,23,34,23
8,25,东方萃梦想,18,38,27,157,83,18,38,27
17,26,东方文花帖DS,22,25,29,145,76,22,25,29
18,27,妖精大战争,21,22,31,138,74,21,22,31
27,28,梦违科学世纪（专辑）,13,32,29,132,74,13,32,29
28,29,卯酉东海道（专辑）,18,19,38,130,75,18,19,38
3,30,东方梦时空,24,19,18,128,61,24,19,18
11,31,东方文花帖,15,27,25,124,67,15,27,25
26,32,莲台野夜行（专辑）,11,17,36,103,64,11,17,36
4,33,东方幻想乡,18,15,15,99,48,18,15,15
5,34,东方怪绮谈,14,19,17,97,50,14,19,17
50,35,The Grimoire of Marisa（书籍）,11,10,19,72,40,11,10,19
32,36,伊奘诺物质（专辑）,9,13,18,71,40,9,13,18
39,37,全人类的天乐录（专辑）,8,14,10,62,32,8,14,10
30,38,未知之花 魅知之旅（专辑）,5,16,9,56,30,5,16,9
31,39,鸟船遗迹（专辑）,2,14,21,55,37,2,14,21
40,40,核热造神非想天则（专辑）,5,7,10,39,22,5,7,10
41,41,暗黑能乐集心绮楼‎（专辑）,3,7,14,37,24,3,7,14
51,42,东方文花帖（书籍）,2,5,11,27,18,2,5,11
1,42,东方灵异传,4,5,5,27,14,4,5,5
53,44,东方外来韦编（书籍）,1,4,12,23,17,1,4,12
38,45,幻想曲拔萃（专辑）,2,4,8,22,14,2,4,8
42,45,深秘乐曲集‎（专辑）,5,2,3,22,10,5,2,3
2,45,东方封魔录,4,4,2,22,10,4,4,2
52,48,东方紫香花（书籍）,1,3,7,16,11,1,3,7
37,49,幺乐团的历史 vol.5（专辑）,0,3,1,7,4,0,3,1
36,49,幺乐团的历史 vol.4（专辑）,1,1,2,7,4,1,1,2
34,51,幺乐团的历史 vol.2（专辑）,0,2,0,4,2,0,2,0
35,52,幺乐团的历史 vol.3（专辑）,0,1,0,2,1,0,1,0
33,52,幺乐团的历史 vol.1（专辑）,0,1,0,2,1,0,1,0
