question1_index,question1,question1_token,question2_index,question2,question2_token,status,cross_conflict,cell_count,url,request_form,raw_path,error
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,2,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,available_crawled,False,14,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""2d3f1fec929088b7e092bb901ab5LidwhSl81ab5""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_002.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,3,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,available_crawled,False,16,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_003.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,4,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,available_crawled,False,10,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""f81a726ed4ea2ae9463d213292e1mvINMhK992e1""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_004.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,5,您的工作类型是,9e5354c6c9102cba01b3afcf6f06QlA7yH2F6f06,available_crawled,False,10,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""9e5354c6c9102cba01b3afcf6f06QlA7yH2F6f06""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_005.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,6,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,available_crawled,False,84,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""82319152879cc05c8b5d19a450d5QBydcjoZ50d5""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_006.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,7,您更喜欢官方游戏中的哪一类,047ea047fd4115104f07cec0e173zenK10r0e173,available_crawled,False,8,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""047ea047fd4115104f07cec0e173zenK10r0e173""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_007.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,8,您是否玩过旧五作,e9689867795db5e30258902dbf9dg1SBOFMXbf9d,available_crawled,False,6,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""e9689867795db5e30258902dbf9dg1SBOFMXbf9d""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_008.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,9,您是否玩过 东方绀珠传,d1cc7514d48622c0976d15ac8cbc7Kn6P0dE8cbc,available_crawled,False,6,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""d1cc7514d48622c0976d15ac8cbc7Kn6P0dE8cbc""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_009.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,10,您是否玩过 东方深秘录,0e03be98d2b3f363d887850ffc89duzaHYrufc89,available_crawled,False,6,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""0e03be98d2b3f363d887850ffc89duzaHYrufc89""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_010.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,11,您关注哪些此时正在连载的官方连载作品,5436376bc2e27afc23b18f45bgXFFtpk3a306d5d,available_crawled,False,10,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""5436376bc2e27afc23b18f45bgXFFtpk3a306d5d""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_011.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,12,您最喜欢东方原作的哪方面,8d5ef8cc0bdc503c8e0c30d62e51avmJ216Z2e51,available_crawled,False,10,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""8d5ef8cc0bdc503c8e0c30d62e51avmJ216Z2e51""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_012.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,13,购买过正版的实体原作吗（官方游戏，官方CD，官方出版物）,ab577e8ddad93adbc94ef7cb6ed3SPA1sbGB6ed3,available_crawled,False,8,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""ab577e8ddad93adbc94ef7cb6ed3SPA1sbGB6ed3""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_013.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,14,购买实体正版的渠道是,de626b0508a274a396b53b993443qP2DCBQJ3443,available_crawled,False,8,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""de626b0508a274a396b53b993443qP2DCBQJ3443""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_014.json.gz,
1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,15,因何原因阻碍了购买,b0bb4dfebe9a60f874ae6fafd20ditQP2laRd20d,available_crawled,False,8,https://touhou.vote/v5/api.php?action=make&object=votepaper&text=paper,"[[""quest1"", ""9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c""], [""quest2"", ""b0bb4dfebe9a60f874ae6fafd20ditQP2laRd20d""]]",data_raw/cn_official_legacy/round_05/raw/advanced/questionnaire/pairs/q_001__q_015.json.gz,
