round,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
5,1,0,3,您正式接触东方Project多久,0,0,不到一个月,77,57,20,77,0.96,0.87,1.34,8038,6541,1494,3
5,1,0,3,您正式接触东方Project多久,0,1,半年以内,439,359,80,439,5.46,5.49,5.35,8038,6541,1494,3
5,1,0,3,您正式接触东方Project多久,0,2,半年到一年（2015年下半年或之后）,1370,1106,263,1369,17.04,16.91,17.6,8038,6541,1494,3
5,1,0,3,您正式接触东方Project多久,0,3,一年到三年（2013年或之后）,3359,2799,559,3358,41.79,42.79,37.42,8038,6541,1494,3
5,1,0,3,您正式接触东方Project多久,0,4,三年到五年（2011年或之后）,1816,1446,370,1816,22.59,22.11,24.77,8038,6541,1494,3
5,1,0,3,您正式接触东方Project多久,0,5,五年到七年（2009年或之后）,765,602,162,764,9.52,9.2,10.84,8038,6541,1494,3
5,1,0,3,您正式接触东方Project多久,0,6,七年到十年（2006年或之后）,185,146,39,185,2.3,2.23,2.61,8038,6541,1494,3
5,1,0,3,您正式接触东方Project多久,0,7,十年以上,27,26,1,27,0.34,0.4,0.07,8038,6541,1494,3
5,1,1,4,您的受教育程度,0,0,小学及以下,39,24,15,39,0.49,0.37,1,8031,6534,1494,3
5,1,1,4,您的受教育程度,0,1,初中,843,502,340,842,10.5,7.68,22.76,8031,6534,1494,3
5,1,1,4,您的受教育程度,0,2,高中,3128,2520,608,3128,38.95,38.57,40.7,8031,6534,1494,3
5,1,1,4,您的受教育程度,0,3,大学及以上,3877,3360,515,3875,48.28,51.42,34.47,8031,6534,1494,3
5,1,1,4,您的受教育程度,0,4,其他,144,128,16,144,1.79,1.96,1.07,8031,6534,1494,3
5,1,2,5,您的工作类型是,0,0,在校学生,6669,5362,1305,6667,83.03,82.05,87.41,8032,6535,1493,4
5,1,2,5,您的工作类型是,0,1,固定工作者,761,663,97,760,9.47,10.15,6.5,8032,6535,1493,4
5,1,2,5,您的工作类型是,0,2,自由职业者,293,248,44,292,3.65,3.79,2.95,8032,6535,1493,4
5,1,2,5,您的工作类型是,0,3,待业/无业/失业,172,152,20,172,2.14,2.33,1.34,8032,6535,1493,4
5,1,2,5,您的工作类型是,0,4,其他,137,110,27,137,1.71,1.68,1.81,8032,6535,1493,4
5,2,0,1,您更喜欢官方游戏中的哪一类,0,0,STG（射击类）,3061,2391,668,3059,38.32,36.79,45.01,7988,6499,1484,5
5,2,0,1,您更喜欢官方游戏中的哪一类,0,1,FTG（格斗类）,1379,1197,180,1377,17.26,18.42,12.13,7988,6499,1484,5
5,2,0,1,您更喜欢官方游戏中的哪一类,0,2,都喜欢,3255,2671,583,3254,40.75,41.1,39.29,7988,6499,1484,5
5,2,0,1,您更喜欢官方游戏中的哪一类,0,3,对官方游戏不感兴趣，也不会去玩,293,240,53,293,3.67,3.69,3.57,7988,6499,1484,5
5,2,1,1,您是否玩过旧五作,0,0,玩过,2494,1933,561,2494,32.44,30.9,39.26,7688,6255,1429,4
5,2,1,1,您是否玩过旧五作,0,1,并未玩过,5122,4259,859,5118,66.62,68.09,60.11,7688,6255,1429,4
5,2,1,1,您是否玩过旧五作,0,2,不知道旧五作是什么,72,63,9,72,0.94,1.01,0.63,7688,6255,1429,4
5,2,2,2,您是否玩过 东方绀珠传,0,0,玩过,5116,4118,994,5112,66.54,65.85,69.51,7689,6254,1430,5
5,2,2,2,您是否玩过 东方绀珠传,0,1,未玩过,2515,2090,424,2514,32.71,33.42,29.65,7689,6254,1430,5
5,2,2,2,您是否玩过 东方绀珠传,0,2,不知道是什么,58,46,12,58,0.75,0.74,0.84,7689,6254,1430,5
5,2,3,3,您是否玩过 东方深秘录,0,0,玩过,4349,3551,794,4345,56.57,56.78,55.56,7688,6254,1429,5
5,2,3,3,您是否玩过 东方深秘录,0,1,未玩过,3258,2639,618,3257,42.38,42.2,43.25,7688,6254,1429,5
5,2,3,3,您是否玩过 东方深秘录,0,2,不知道是什么,81,64,17,81,1.05,1.02,1.19,7688,6254,1429,5
5,2,4,2,您关注哪些此时正在连载的官方连载作品,1,0,东方铃奈庵（月刊）,3962,3150,808,3958,50.1,48.91,55.27,7908,6441,1462,5
5,2,4,2,您关注哪些此时正在连载的官方连载作品,1,1,东方茨歌仙（双月刊）,3806,3068,734,3802,48.13,47.63,50.21,7908,6441,1462,5
5,2,4,2,您关注哪些此时正在连载的官方连载作品,1,2,新东方三月精（季刊）,2901,2421,478,2899,36.68,37.59,32.69,7908,6441,1462,5
5,2,4,2,您关注哪些此时正在连载的官方连载作品,1,3,新东方香霖堂（半年刊）,2282,1876,404,2280,28.86,29.13,27.63,7908,6441,1462,5
5,2,4,2,您关注哪些此时正在连载的官方连载作品,1,4,都不关注,2403,1988,414,2402,30.39,30.86,28.32,7908,6441,1462,5
5,2,5,3,您最喜欢东方原作的哪方面,1,0,游戏本身,4678,3723,953,4676,58.66,57.37,64.35,7975,6489,1481,5
5,2,5,3,您最喜欢东方原作的哪方面,1,1,音乐曲目,7150,5820,1326,7146,89.66,89.69,89.53,7975,6489,1481,5
5,2,5,3,您最喜欢东方原作的哪方面,1,2,人物设定,7208,5817,1387,7204,90.38,89.64,93.65,7975,6489,1481,5
5,2,5,3,您最喜欢东方原作的哪方面,1,3,故事剧情,5598,4464,1131,5595,70.19,68.79,76.37,7975,6489,1481,5
5,2,5,3,您最喜欢东方原作的哪方面,1,4,对原作完全不感兴趣,83,66,16,82,1.04,1.02,1.08,7975,6489,1481,5
5,2,6,4,购买过正版的实体原作吗（官方游戏，官方CD，官方出版物）,0,0,热衷于收集,467,365,102,467,5.85,5.62,6.9,7978,6494,1479,5
5,2,6,4,购买过正版的实体原作吗（官方游戏，官方CD，官方出版物）,0,1,购买过,2101,1700,398,2098,26.33,26.18,26.91,7978,6494,1479,5
5,2,6,4,购买过正版的实体原作吗（官方游戏，官方CD，官方出版物）,0,2,想买但是没有条件,4581,3732,847,4579,57.42,57.47,57.27,7978,6494,1479,5
5,2,6,4,购买过正版的实体原作吗（官方游戏，官方CD，官方出版物）,0,3,没有考虑过,829,697,132,829,10.39,10.73,8.92,7978,6494,1479,5
5,2,7,1,购买实体正版的渠道是,1,0,通过代购,1834,1473,358,1831,71.47,71.37,71.74,2566,2064,499,3
5,2,7,1,购买实体正版的渠道是,1,1,购买二手,419,328,90,418,16.33,15.89,18.04,2566,2064,499,3
5,2,7,1,购买实体正版的渠道是,1,2,委托朋友,607,487,119,606,23.66,23.59,23.85,2566,2064,499,3
5,2,7,1,购买实体正版的渠道是,1,3,实地购买,698,549,149,698,27.2,26.6,29.86,2566,2064,499,3
5,2,8,2,因何原因阻碍了购买,1,0,价格过高,960,767,192,959,20.97,20.57,22.67,4578,3729,847,2
5,2,8,2,因何原因阻碍了购买,1,1,缺少渠道,3158,2605,551,3156,68.98,69.86,65.05,4578,3729,847,2
5,2,8,2,因何原因阻碍了购买,1,2,环境阻碍,1979,1569,410,1979,43.23,42.08,48.41,4578,3729,847,2
5,2,8,2,因何原因阻碍了购买,1,3,不懂日文,2110,1746,364,2110,46.09,46.82,42.98,4578,3729,847,2
5,2,9,1,您的购买力范围是（原作单个作品的购买价，含运费）,0,0,没有自主购买能力,143,100,43,143,14.91,13.04,22.4,959,767,192,0
5,2,9,1,您的购买力范围是（原作单个作品的购买价，含运费）,0,1,总价50RMB以内,151,118,33,151,15.75,15.38,17.19,959,767,192,0
5,2,9,1,您的购买力范围是（原作单个作品的购买价，含运费）,0,2,总价100RMB以内,352,296,56,352,36.7,38.59,29.17,959,767,192,0
5,2,9,1,您的购买力范围是（原作单个作品的购买价，含运费）,0,3,总价150RMB以内,158,124,34,158,16.48,16.17,17.71,959,767,192,0
5,2,9,1,您的购买力范围是（原作单个作品的购买价，含运费）,0,4,总价200RMB以内,109,89,20,109,11.37,11.6,10.42,959,767,192,0
5,2,9,1,您的购买力范围是（原作单个作品的购买价，含运费）,0,5,总价300RMB以内,46,40,6,46,4.8,5.22,3.13,959,767,192,0
5,2,10,2,因为什么原因您没有使用代购作为您的购买渠道,0,0,认为代购加价过高,592,505,87,592,18.77,19.41,15.79,3154,2602,551,1
5,2,10,2,因为什么原因您没有使用代购作为您的购买渠道,0,1,没有或无法使用网银,1334,1039,294,1333,42.3,39.93,53.36,3154,2602,551,1
