id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,博丽灵梦,博麗霊夢,主角,2855,660,3515,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,23.12%,39.13%,9.42%,2361,489,82.7%,17.13%,36.06%,32.64%,
2,雾雨魔理沙,霧雨魔理沙,主角,1984,345,2329,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,17.39%,27.19%,4.92%,1567,417,78.98%,21.02%,23.93%,27.84%,
3,露米娅,ルーミア,东方红魔乡,423,45,468,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,10.64%,5.8%,0.64%,367,56,86.76%,13.24%,5.6%,3.74%,
4,大妖精,大妖精,东方红魔乡,212,9,221,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,4.25%,2.91%,0.13%,190,21,89.62%,9.91%,2.9%,1.4%,
5,琪露诺,チルノ,东方红魔乡,1104,177,1281,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,16.03%,15.13%,2.52%,973,129,88.13%,11.68%,14.86%,8.61%,
6,红美铃,紅美鈴,东方红魔乡,596,80,676,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,13.42%,8.17%,1.14%,465,129,78.02%,21.64%,7.1%,8.61%,
7,小恶魔,小悪魔,东方红魔乡,177,22,199,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,12.43%,2.43%,0.31%,151,26,85.31%,14.69%,2.31%,1.74%,
8,帕秋莉·诺蕾姬,パチュリー·ノーレッジ,东方红魔乡,933,166,1099,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,17.79%,12.79%,2.37%,765,167,81.99%,17.9%,11.68%,11.15%,
9,十六夜咲夜,十六夜咲夜,东方红魔乡,1710,354,2064,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,20.7%,23.44%,5.05%,1398,312,81.75%,18.25%,21.35%,20.83%,
10,蕾米莉亚·斯卡蕾特,レミリア·スカーレット,东方红魔乡,1563,285,1848,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,18.23%,21.42%,4.07%,1293,267,82.73%,17.08%,19.75%,17.82%,
11,芙兰朵露·斯卡蕾特,フランドール·スカーレット,东方红魔乡,1321,280,1601,<a href='./?m=info&type=chara&id=11' target='_blank'>点击查看详情</a>,21.2%,18.11%,3.99%,1077,243,81.53%,18.4%,16.45%,16.22%,
12,冴月麟,さつき りん,东方红魔乡,129,12,141,<a href='./?m=info&type=chara&id=12' target='_blank'>点击查看详情</a>,9.3%,1.77%,0.17%,102,27,79.07%,20.93%,1.56%,1.8%,
13,蕾蒂·霍瓦特洛克,レティ·ホワイトロック,东方妖妖梦,62,4,66,<a href='./?m=info&type=chara&id=13' target='_blank'>点击查看详情</a>,6.45%,0.85%,0.06%,42,20,67.74%,32.26%,0.64%,1.34%,
14,橙,橙,东方妖妖梦,151,14,165,<a href='./?m=info&type=chara&id=14' target='_blank'>点击查看详情</a>,9.27%,2.07%,0.2%,124,27,82.12%,17.88%,1.89%,1.8%,
15,爱丽丝·玛格特洛依德,アリス·マーガトロイド,东方妖妖梦,1207,235,1442,<a href='./?m=info&type=chara&id=15' target='_blank'>点击查看详情</a>,19.47%,16.54%,3.35%,971,236,80.45%,19.55%,14.83%,15.75%,
16,莉莉白,リリーホワイト,东方妖妖梦,100,11,111,<a href='./?m=info&type=chara&id=16' target='_blank'>点击查看详情</a>,11%,1.37%,0.16%,84,16,84%,16%,1.28%,1.07%,
17,露娜萨·普莉兹姆利巴,ルナサ·プリズムリバー,东方妖妖梦,42,2,44,<a href='./?m=info&type=chara&id=17' target='_blank'>点击查看详情</a>,4.76%,0.58%,0.03%,35,7,83.33%,16.67%,0.53%,0.47%,
18,梅露兰·普莉兹姆利巴,メルラン·プリズムリバー,东方妖妖梦,24,1,25,<a href='./?m=info&type=chara&id=18' target='_blank'>点击查看详情</a>,4.17%,0.33%,0.01%,16,8,66.67%,33.33%,0.24%,0.53%,
19,莉莉卡·普莉兹姆利巴,リリカ·プリズムリバー,东方妖妖梦,22,2,24,<a href='./?m=info&type=chara&id=19' target='_blank'>点击查看详情</a>,9.09%,0.3%,0.03%,15,7,68.18%,31.82%,0.23%,0.47%,
20,魂魄妖梦,魂魄妖夢,东方妖妖梦,1137,223,1360,<a href='./?m=info&type=chara&id=20' target='_blank'>点击查看详情</a>,19.61%,15.58%,3.18%,1002,134,88.13%,11.79%,15.3%,8.95%,
