id,name,jpname,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio
1,东方灵异传,東方霊異伝,58,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,game010,9,11,13,27.27%,0.16%,33.33%,0.2%,39.39%,0.23%,33,0.59%,25,8,75.76%,24.24%,0.38%,0.53%
2,东方封魔录,東方封魔録,46,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,game020,9,5,10,37.5%,0.16%,20.83%,0.09%,41.67%,0.18%,24,0.43%,15,9,62.5%,37.5%,0.23%,0.6%
3,东方梦时空,東方夢時空,132,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,game030,27,12,23,43.55%,0.48%,19.35%,0.22%,37.1%,0.41%,62,1.11%,38,24,61.29%,38.71%,0.58%,1.6%
4,东方幻想乡,東方幻想郷,226,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,game040,44,25,14,53.01%,0.79%,30.12%,0.45%,16.87%,0.25%,83,1.49%,64,19,77.11%,22.89%,0.98%,1.27%
5,东方怪绮谈,東方怪綺談,116,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,game050,14,30,21,21.54%,0.25%,46.15%,0.54%,32.31%,0.38%,65,1.17%,43,22,66.15%,33.85%,0.66%,1.47%
6,东方红魔乡,東方紅魔郷,2990,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,game060,569,357,207,50.22%,10.2%,31.51%,6.4%,18.27%,3.71%,1133,20.32%,906,227,79.96%,20.04%,13.84%,15.15%
7,东方妖妖梦,東方妖々夢,3228,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,game070,598,418,282,46.07%,10.72%,32.2%,7.5%,21.73%,5.06%,1298,23.27%,1090,207,83.98%,15.95%,16.65%,13.82%
8,东方萃梦想,東方萃夢想,218,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,game075,31,47,50,24.22%,0.56%,36.72%,0.84%,39.06%,0.9%,128,2.3%,106,22,82.81%,17.19%,1.62%,1.47%
9,东方永夜抄,東方永夜抄,5554,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,game080,1065,647,365,51.28%,19.1%,31.15%,11.6%,17.57%,6.54%,2077,37.24%,1671,405,80.45%,19.5%,25.52%,27.04%
10,东方花映塚,東方花映塚,602,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,game090,99,103,90,33.9%,1.78%,35.27%,1.85%,30.82%,1.61%,292,5.24%,204,88,69.86%,30.14%,3.12%,5.87%
11,东方文花帖,東方文花帖,132,<a href='./?m=info&type=work&id=11' target='_blank'>点击查看详情</a>,game095,19,28,41,21.59%,0.34%,31.82%,0.5%,46.59%,0.74%,88,1.58%,72,16,81.82%,18.18%,1.1%,1.07%
12,东方风神录,東方風神録,2672,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,game100,452,432,292,38.44%,8.1%,36.73%,7.75%,24.83%,5.24%,1176,21.09%,958,218,81.46%,18.54%,14.63%,14.55%
13,东方绯想天,東方緋想天,984,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,game105,166,160,126,36.73%,2.98%,35.4%,2.87%,27.88%,2.26%,452,8.1%,393,59,86.95%,13.05%,6%,3.94%
14,东方地灵殿,東方地霊殿,1706,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,game110,314,225,175,43.98%,5.63%,31.51%,4.03%,24.51%,3.14%,714,12.8%,578,136,80.95%,19.05%,8.83%,9.08%
