id,name,jpname,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio,vratio0
1,东方灵异传,東方霊異伝,68,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,game010,11,13,9,33.33%,0.19%,39.39%,0.23%,27.27%,0.16%,33,0.57%,24,9,72.73%,27.27%,0.39%,0.58%,
2,东方封魔录,東方封魔録,35,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,game020,6,5,7,33.33%,0.1%,27.78%,0.09%,38.89%,0.12%,18,0.31%,10,8,55.56%,44.44%,0.16%,0.52%,
3,东方梦时空,東方夢時空,100,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,game030,18,16,14,37.5%,0.31%,33.33%,0.28%,29.17%,0.24%,48,0.83%,29,19,60.42%,39.58%,0.47%,1.23%,
4,东方幻想乡,東方幻想郷,138,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,game040,25,23,17,38.46%,0.43%,35.38%,0.4%,26.15%,0.3%,65,1.13%,49,16,75.38%,24.62%,0.79%,1.04%,
5,东方怪绮谈,東方怪綺談,126,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,game050,26,14,20,43.33%,0.45%,23.33%,0.24%,33.33%,0.35%,60,1.04%,37,23,61.67%,38.33%,0.59%,1.49%,
6,东方红魔乡,東方紅魔郷,2373,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,game060,507,328,196,49.18%,8.8%,31.81%,5.69%,19.01%,3.4%,1031,17.9%,816,215,79.15%,20.85%,13.12%,13.96%,
7,东方妖妖梦,東方妖々夢,2731,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,game070,552,407,261,45.25%,9.58%,33.36%,7.07%,21.39%,4.53%,1220,21.18%,1006,214,82.46%,17.54%,16.17%,13.9%,
8,东方萃梦想,東方萃夢想,192,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,game075,28,33,42,27.18%,0.49%,32.04%,0.57%,40.78%,0.73%,103,1.79%,84,19,81.55%,18.45%,1.35%,1.23%,
9,东方永夜抄,東方永夜抄,4851,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,game080,1079,619,376,52.03%,18.73%,29.85%,10.75%,18.13%,6.53%,2074,36.01%,1634,440,78.78%,21.22%,26.27%,28.57%,
10,东方花映塚,東方花映塚,609,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,game090,101,105,96,33.44%,1.75%,34.77%,1.82%,31.79%,1.67%,302,5.24%,209,93,69.21%,30.79%,3.36%,6.04%,
11,东方文花帖,東方文花帖,108,<a href='./?m=info&type=work&id=11' target='_blank'>点击查看详情</a>,game095,14,22,22,24.14%,0.24%,37.93%,0.38%,37.93%,0.38%,58,1.01%,47,11,81.03%,18.97%,0.76%,0.71%,
