round,group,question,public_token,included_in_item_detail
7,1,您的性别,9efa3c03ae5d70367f914e336b2cGXSZOvuL6b2c,False
7,1,您的年龄阶段,2d3f1fec929088b7e092bb901ab5LidwhSl81ab5,False
7,1,您正式接触东方Project多久,eda8afdfc227577a7ff0c299b7e7bYd0zSJ6b7e7,True
7,1,您的受教育程度,f81a726ed4ea2ae9463d213292e1mvINMhK992e1,False
7,1,您的工作类型是,9e5354c6c9102cba01b3afcf6f06QlA7yH2F6f06,False
7,1,您的居住地是,82319152879cc05c8b5d19a450d5QBydcjoZ50d5,False
7,2,您更喜欢官方游戏中的哪一类,047ea047fd4115104f07cec0e173zenK10r0e173,True
7,2,您是否玩过旧五作,e9689867795db5e30258902dbf9dg1SBOFMXbf9d,True
7,2,您是否玩过 秘封噩梦日记,d410fb78ca36bedc94593f416123qfOwBic76123,False
7,2,您是否玩过 东方凭依华,16ed2c8ab4571f21cee3392b9323hiqJdBKD9323,False
7,2,您关注哪些近期连载的官方连载作品,5436376bc2e27afc23b18f45bgXFFtpk3a306d5d,True
7,2,您最喜欢东方原作的哪方面,8d5ef8cc0bdc503c8e0c30d62e51avmJ216Z2e51,True
7,2,购买过正版的实体原作吗（官方游戏，官方CD，官方出版物）,ab577e8ddad93adbc94ef7cb6ed3SPA1sbGB6ed3,False
7,2,购买实体正版的渠道是,de626b0508a274a396b53b993443qP2DCBQJ3443,False
7,2,因何原因阻碍了购买,b0bb4dfebe9a60f874ae6fafd20ditQP2laRd20d,False
7,2,您的购买力范围是（原作单个作品的购买价，含运费）,e15a950e3ffe655b753eaf7b4c3cPQxkd41K4c3c,False
7,2,因为什么原因您没有使用代购作为您的购买渠道,f6992640f44bfe5ef70853c8ccb0nQpwxefSccb0,False
7,2,环境中存在什么样的购买原作的阻碍,f03e2e1b79be521d957ea20f2acffuD8nEpa2acf,False
7,2,是否购买过盗版的东方官方作品,980992cceb96317e0291c970c940vyfWpQr0c940,False
7,2,对于正版中文版的官方书籍你能接受什么价位（如若将来存在）,go5r3ikstjsgg1r345zolyixuMQ4mnPgV1FCF3vg,False
7,2,是否会购买最新的官方杂志 东方外来韦编,b446969c56dcbb2dc769dd0b6ac3kR8BE7Qb6ac3,False
7,3,对二次同人是否有兴趣,c80c82d38b4a37b6c789f722035dZe9IDQdk035d,True
7,3,在二次同人中您最关注,9959d721fb7461ea46d60efc4096kBgdoj494096,True
7,3,购买过二次同人作品吗（非国内作品）,78b817aec074f7593537c69fa84aRiDyP2VYa84a,True
7,3,购买过什么类型的二次创作（非国内作品）,e60e373a5eb472571b9c9796e153ZODGn2Hme153,False
7,3,购买二次创作的渠道一般是（非国内作品）,7773bffd98e688478a36b31e4b1eD4D2hYZW4b1e,False
7,3,能接受的单个作品购买价（包括运费）上限是（非国内作品）,04ecbcb6380c6806d66ec1bf6f07LEho5YLG6f07,False
7,3,因何原因阻碍了购买（非国内作品）,b6943734bf84a171e46981a12a7aTuhaTY7U2a7a,False
7,3,您的购买力范围是（单个作品的购买价，含运费）（非国内作品）,bb521cafb95b97be25e55c62183fmX2D6pcx183f,False
7,3,因为什么原因您没有使用代购作为您的购买渠道（非国内作品）,4a1f840cfdeb918a995556efeb1duh2V0pOheb1d,False
7,3,环境中存在什么样的购买二次同人作品的阻碍（非国内作品）,dd3bf35f43f934cd745248909349bkZqb8pa9349,False
7,3,购买过国内创作的二次同人作品吗,32205a96cf323ad843283fdfa947zEx2vizia947,True
7,3,购买过什么类型的二次创作（国内作品）,2d4aa96b294283500dccd4054f59rEpElIdq4f59,False
7,3,购买二次创作的渠道一般是（国内作品）,b3c504918090bb56c942c0e4221dYlMZMb4F221d,False
7,3,能接受的单个作品购买价上限是（国内作品）,e3e0e454711dccf7ddb351847336NOhCzsZC7336,False
7,3,因何原因阻碍了购买（国内作品）,db84fd91b513a78b0074601f6eafFs5uJSjK6eaf,False
7,3,您的购买力范围是（单个作品的购买价，含运费）（国内作品）,0843aba7947c1213682910180291wPcFulAj0291,False
7,3,环境中存在什么样的购买二次同人作品的阻碍（国内作品）,8a22cd4cc7c2bc4a24a2f6c9b012KP0RkLKLb012,False
7,3,有想过做东方的同人创作吗,615a0dad1275606ca2259c723372Ctsd4vyT3372,True
7,3,想做或者做过什么类型的创作,317285d0fb8c06b0344ee1dc982fatGpuz8b982f,False
7,3,因何原因阻碍了创作的实行,303d08a619f0d711d7aa532e9c6eHQnAVoZU9c6e,False
7,3,是否还在继续进行着东方的同人创作,c0443beddeec4fbc3c06317a7550638J8Z4x7550,False
