id,name,group,by,info,v0,v1,v2,v3,v4,v5,v6
TH02,东方封魔录,PC-98,TH02,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,3518 (88.19%),246 (6.17%),172 (4.31%),30 (0.75%),15 (0.38%),47 (1.18%),-
TH03,东方梦时空,PC-98,TH03,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,3431 (86.01%),294 (7.37%),192 (4.81%),41 (1.03%),29 (0.73%),-,-
TH04,东方幻想乡,PC-98,TH04,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,3342 (83.78%),281 (7.04%),261 (6.54%),50 (1.25%),45 (1.13%),79 (1.98%),-
TH05,东方怪绮谈,PC-98,TH05,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,3390 (84.98%),276 (6.92%),235 (5.89%),43 (1.08%),30 (0.75%),86 (2.16%),-
TH06,东方红魔乡,Win(STG),TH06,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,1109 (27.8%),1231 (30.86%),1177 (29.51%),244 (6.12%),206 (5.16%),470 (11.78%),-
TH07,东方妖妖梦,Win(STG),TH07,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,1088 (27.28%),1090 (27.33%),1212 (30.38%),300 (7.52%),276 (6.92%),545 (13.66%),347 (8.7%)
TH08,东方永夜抄,Win(STG),TH08,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,575 (14.41%),1074 (26.92%),1484 (37.2%),455 (11.41%),369 (9.25%),827 (20.73%),-
TH09,东方花映塚,Win(STG),TH09,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,1724 (43.22%),1027 (25.75%),850 (21.31%),171 (4.29%),203 (5.09%),189 (4.74%),-
TH10,东方风神录,Win(STG),TH10,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,1100 (27.58%),973 (24.39%),1242 (31.14%),357 (8.95%),298 (7.47%),642 (16.09%),-
TH11,东方地灵殿,Win(STG),TH11,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,1524 (38.21%),1188 (29.78%),852 (21.36%),178 (4.46%),226 (5.67%),460 (11.53%),-
TH12,东方星莲船,Win(STG),TH12,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,2050 (51.39%),1005 (25.19%),661 (16.57%),130 (3.26%),128 (3.21%),319 (8%),-
TH12.8,妖精大战争,Win(STG),TH12.8,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,2788 (69.89%),668 (16.75%),396 (9.93%),65 (1.63%),61 (1.53%),107 (2.68%),-
TH13,东方神灵庙,Win(STG),TH13,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,1606 (40.26%),954 (23.92%),970 (24.32%),222 (5.57%),225 (5.64%),414 (10.38%),-
TH14,东方辉针城,Win(STG),TH14,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,1524 (38.21%),1053 (26.4%),949 (23.79%),204 (5.11%),239 (5.99%),459 (11.51%),-
TH14.5PS4,东方深秘录PS4版,Win(STG),TH14.5PS4,<a href='./?m=info&type=work&id=57' target='_blank'>点击查看详情</a>,3746 (93.91%),87 (2.18%),73 (1.83%),18 (0.45%),63 (1.58%),-,-
TH16,东方天空璋,Win(STG),TH16,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,1705 (42.74%),969 (24.29%),846 (21.21%),171 (4.29%),280 (7.02%),607 (15.22%),-
