id,name,jpname,group,vote,first,weight,info,ratio,vratio,fratio,male,female,hmratio,hfratio,hmaratio,hfaratio,vvratio
1,A Sacred Lot,A Sacred Lot,东方灵异传,25,2,27,<a href='./?m=info&type=music&id=1' target='_blank'>点击查看详情</a>,8%,0.44%,0.04%,21,4,84%,16%,0.37%,0.32%,
2,永远之巫女,永遠の巫女,东方灵异传,350,31,381,<a href='./?m=info&type=music&id=2' target='_blank'>点击查看详情</a>,8.86%,6.1%,0.57%,247,103,70.57%,29.43%,4.33%,8.35%,
3,The Positive and Negative,The Positive and Negative,东方灵异传,13,1,14,<a href='./?m=info&type=music&id=3' target='_blank'>点击查看详情</a>,7.69%,0.23%,0.02%,8,5,61.54%,38.46%,0.14%,0.41%,
4,Highly Responsive to Prayers,Highly Responsive to Prayers,东方灵异传,6,1,7,<a href='./?m=info&type=music&id=4' target='_blank'>点击查看详情</a>,16.67%,0.1%,0.02%,3,3,50%,50%,0.05%,0.24%,
5,东方怪奇谈,東方怪奇談,东方灵异传,22,1,23,<a href='./?m=info&type=music&id=5' target='_blank'>点击查看详情</a>,4.55%,0.38%,0.02%,18,4,81.82%,18.18%,0.32%,0.32%,
6,天使传说,天使伝説,东方灵异传,9,0,9,<a href='./?m=info&type=music&id=6' target='_blank'>点击查看详情</a>,0%,0.16%,0%,8,1,88.89%,11.11%,0.14%,0.08%,
7,Oriental Magician,Oriental Magician,东方灵异传,1,0,1,<a href='./?m=info&type=music&id=7' target='_blank'>点击查看详情</a>,0%,0.02%,0%,0,1,0%,100%,0%,0.08%,
8,破邪的小太刀,破邪の小太刀,东方灵异传,11,0,11,<a href='./?m=info&type=music&id=8' target='_blank'>点击查看详情</a>,0%,0.19%,0%,7,4,63.64%,36.36%,0.12%,0.32%,
9,魔镜,魔鏡,东方灵异传,6,1,7,<a href='./?m=info&type=music&id=9' target='_blank'>点击查看详情</a>,16.67%,0.1%,0.02%,5,1,83.33%,16.67%,0.09%,0.08%,
10,the Legend of KAGE,the Legend of KAGE,东方灵异传,1,0,1,<a href='./?m=info&type=music&id=10' target='_blank'>点击查看详情</a>,0%,0.02%,0%,1,0,100%,0%,0.02%,0%,
11,来吧，直到倒地死去的那一刻,いざ、倒れ逝くその時まで,东方灵异传,76,2,78,<a href='./?m=info&type=music&id=11' target='_blank'>点击查看详情</a>,2.63%,1.32%,0.04%,62,14,81.58%,18.42%,1.09%,1.14%,
12,同归于尽,死なばもろとも,东方灵异传,24,1,25,<a href='./?m=info&type=music&id=12' target='_blank'>点击查看详情</a>,4.17%,0.42%,0.02%,19,5,79.17%,20.83%,0.33%,0.41%,
13,星幽剑士,星幽剣士,东方灵异传,13,1,14,<a href='./?m=info&type=music&id=13' target='_blank'>点击查看详情</a>,7.69%,0.23%,0.02%,11,2,84.62%,15.38%,0.19%,0.16%,
14,鸢尾花,アイリス,东方灵异传,8,1,9,<a href='./?m=info&type=music&id=14' target='_blank'>点击查看详情</a>,12.5%,0.14%,0.02%,5,3,62.5%,37.5%,0.09%,0.24%,
15,风之神社,風の神社,东方灵异传,38,3,41,<a href='./?m=info&type=music&id=15' target='_blank'>点击查看详情</a>,7.89%,0.66%,0.06%,24,14,63.16%,36.84%,0.42%,1.14%,
16,东方封魔录 ～ 净土曼荼罗,東方封魔録 ～ 浄土曼荼羅,东方封魔录,5,0,5,<a href='./?m=info&type=music&id=16' target='_blank'>点击查看详情</a>,0%,0.09%,0%,4,1,80%,20%,0.07%,0.08%,
17,博丽 ～ Eastern Wind,博麗 ～ Eastern Wind,东方封魔录,5,0,5,<a href='./?m=info&type=music&id=17' target='_blank'>点击查看详情</a>,0%,0.09%,0%,3,2,60%,40%,0.05%,0.16%,
18,She's in a temper!!,She's in a temper!!,东方封魔录,5,1,6,<a href='./?m=info&type=music&id=18' target='_blank'>点击查看详情</a>,20%,0.09%,0.02%,5,0,100%,0%,0.09%,0%,
19,End of Daylight,End of Daylight,东方封魔录,20,1,21,<a href='./?m=info&type=music&id=19' target='_blank'>点击查看详情</a>,5%,0.35%,0.02%,5,15,25%,75%,0.09%,1.22%,
20,黑暗的力量,やみのちから,东方封魔录,3,0,3,<a href='./?m=info&type=music&id=20' target='_blank'>点击查看详情</a>,0%,0.05%,0%,3,0,100%,0%,0.05%,0%,
