id,name,jpname,group,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio
1,东方灵异传,東方霊異伝,PC-98游戏（STG）,84,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,game010,12,16,16,27.27%,0.19%,36.36%,0.26%,36.36%,0.26%,44,0.71%,35,9,79.55%,20.45%,0.5%,0.67%
2,东方封魔录,東方封魔録,PC-98游戏（STG）,24,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,game020,4,3,6,30.77%,0.06%,23.08%,0.05%,46.15%,0.1%,13,0.21%,11,2,84.62%,15.38%,0.16%,0.15%
3,东方梦时空,東方夢時空,PC-98游戏（STG）,156,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,game030,27,26,23,35.53%,0.44%,34.21%,0.42%,30.26%,0.37%,76,1.23%,52,24,68.42%,31.58%,0.74%,1.79%
4,东方幻想乡,東方幻想郷,PC-98游戏（STG）,138,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,game040,32,17,8,56.14%,0.52%,29.82%,0.28%,14.04%,0.13%,57,0.92%,50,7,87.72%,12.28%,0.71%,0.52%
5,东方怪绮谈,東方怪綺談,PC-98游戏（STG）,102,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,game050,14,23,14,27.45%,0.23%,45.1%,0.37%,27.45%,0.23%,51,0.83%,44,7,86.27%,13.73%,0.63%,0.52%
6,东方红魔乡,東方紅魔郷,Windows游戏（STG）,2272,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,game060,475,321,205,47.45%,7.7%,32.07%,5.2%,20.48%,3.32%,1001,16.22%,809,192,80.82%,19.18%,11.53%,14.29%
7,东方妖妖梦,東方妖々夢,Windows游戏（STG）,2475,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,game070,521,352,208,48.2%,8.44%,32.56%,5.7%,19.24%,3.37%,1081,17.52%,912,169,84.37%,15.63%,13%,12.57%
8,东方萃梦想,東方萃夢想,Windows游戏（FTG）,143,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,game075,17,31,30,21.79%,0.28%,39.74%,0.5%,38.46%,0.49%,78,1.26%,67,11,85.9%,14.1%,0.96%,0.82%
9,东方永夜抄,東方永夜抄,Windows游戏（STG）,4870,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,game080,1045,667,401,49.46%,16.93%,31.57%,10.81%,18.98%,6.5%,2113,34.24%,1749,363,82.77%,17.18%,24.93%,27.01%
10,东方花映塚,東方花映塚,Windows游戏（STG）,568,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,game090,96,100,80,34.78%,1.56%,36.23%,1.62%,28.99%,1.3%,276,4.47%,212,64,76.81%,23.19%,3.02%,4.76%
11,东方文花帖,東方文花帖,Windows游戏（STG）,85,<a href='./?m=info&type=work&id=11' target='_blank'>点击查看详情</a>,game095,10,21,13,22.73%,0.16%,47.73%,0.34%,29.55%,0.21%,44,0.71%,31,13,70.45%,29.55%,0.44%,0.97%
12,东方风神录,東方風神録,Windows游戏（STG）,3411,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,game100,676,525,333,44.07%,10.95%,34.22%,8.51%,21.71%,5.4%,1534,24.86%,1306,227,85.14%,14.8%,18.62%,16.89%
13,东方绯想天,東方緋想天,Windows游戏（FTG）,612,<a href='./?m=info&type=work&id=13' target='_blank'>点击查看详情</a>,game105,104,106,88,34.9%,1.69%,35.57%,1.72%,29.53%,1.43%,298,4.83%,255,43,85.57%,14.43%,3.64%,3.2%
14,东方地灵殿,東方地霊殿,Windows游戏（STG）,2079,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,game110,394,328,241,40.91%,6.38%,34.06%,5.32%,25.03%,3.91%,963,15.61%,795,168,82.55%,17.45%,11.33%,12.5%
15,东方星莲船,東方星蓮船,Windows游戏（STG）,678,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,game120,101,121,133,28.45%,1.64%,34.08%,1.96%,37.46%,2.16%,355,5.75%,276,79,77.75%,22.25%,3.93%,5.88%
16,东方非想天则,東方非想天則,Windows游戏（FTG）,1983,<a href='./?m=info&type=work&id=16' target='_blank'>点击查看详情</a>,game123,365,304,280,38.46%,5.91%,32.03%,4.93%,29.5%,4.54%,949,15.38%,860,88,90.62%,9.27%,12.26%,6.55%
17,DS东方文花帖,ダブルスポイラー,Windows游戏（STG）,102,<a href='./?m=info&type=work&id=17' target='_blank'>点击查看详情</a>,game125,13,19,25,22.81%,0.21%,33.33%,0.31%,43.86%,0.41%,57,0.92%,46,11,80.7%,19.3%,0.66%,0.82%
18,妖精大战争,妖精大戦争,Windows游戏（STG）,105,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,game128,10,22,31,15.87%,0.16%,34.92%,0.36%,49.21%,0.5%,63,1.02%,58,5,92.06%,7.94%,0.83%,0.37%
