source,table_index,table_heading,table_id,row_index,cell_index,cell_type,text,number,percent,numeric_tokens
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,0,0,th,总有效票数,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,0,1,th,总本命票数,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,0,2,th,参投角色总数,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,0,3,th,本届投票结果,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,0,4,th,上届对比结果,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,0,5,th,投票演进比对,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,0,6,th,同投关系可视化,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,1,0,td,8135,8135,,[8135]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,1,1,td,7908,7908,,[7908]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,1,2,td,227,227,,[227]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,1,3,td,（本届的所有角色投票信息均整理在该页面）,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,1,4,td,（与上一届的角色投票信息进行比对的页面）,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,1,5,td,（选择角色并对比其投票演进与变化的情况）,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,1,6,td,（角色的同投率关系可视化）,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/index.html,0,说明,list,2,0,td,请点击上面的链接查看投票结果,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/m_chara__type_contrast.html,0,说明,list,0,0,th,id,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/m_chara__type_contrast.html,0,说明,list,0,1,th,所属作品,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/m_chara__type_contrast.html,0,说明,list,0,2,th,名次,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/m_chara__type_contrast.html,0,说明,list,0,3,th,第7回,,,[]
data_raw/cn_official_legacy/round_08/raw/pages/chara/m_chara__type_contrast.html,0,说明,list,0,4,th,第6回,,,[]
