source_category,source_index,source_id,source_name,base_name,base_vote_count,base_first_count,status,source
chara,1,1,博丽灵梦,博丽灵梦,4038,718,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,2,2,雾雨魔理沙,雾雨魔理沙,3660,696,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,3,3,露米娅,露米娅,542,49,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,4,4,大妖精,大妖精,328,26,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,5,5,琪露诺,琪露诺,1590,305,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,6,6,红美铃,红美铃,845,112,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,7,7,小恶魔,小恶魔,229,20,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,8,8,帕秋莉·诺蕾姬,帕秋莉·诺蕾姬,1141,182,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,9,9,十六夜咲夜,十六夜咲夜,2529,454,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,10,10,蕾米莉亚·斯卡蕾特,蕾米莉亚·斯卡蕾特,2046,354,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,11,11,芙兰朵露·斯卡蕾特,芙兰朵露·斯卡蕾特,1776,368,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,12,12,冴月麟,冴月麟,281,29,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,13,13,蕾蒂·霍瓦特洛克,蕾蒂·霍瓦特洛克,97,11,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,14,14,橙,橙,185,20,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,15,15,爱丽丝·玛格特洛依德,爱丽丝·玛格特洛依德,1657,296,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,16,16,莉莉白,莉莉白,421,37,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,17,17,露娜萨·普莉兹姆利巴,露娜萨·普莉兹姆利巴,76,5,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,18,18,梅露兰·普莉兹姆利巴,梅露兰·普莉兹姆利巴,31,2,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,19,19,莉莉卡·普莉兹姆利巴,莉莉卡·普莉兹姆利巴,32,2,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,20,20,魂魄妖梦,魂魄妖梦,2172,380,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,21,21,西行寺幽幽子,西行寺幽幽子,1753,387,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,22,22,八云蓝,八云蓝,350,36,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,23,23,八云紫,八云紫,1763,295,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,24,24,魂魄妖忌,魂魄妖忌,43,0,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,25,25,蕾拉·普莉兹姆利巴,蕾拉·普莉兹姆利巴,23,6,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,26,26,伊吹萃香,伊吹萃香,1177,159,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,27,27,莉格露·奈特巴格,莉格露·奈特巴格,86,18,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,28,28,米斯蒂娅·萝蕾拉,米斯蒂娅·萝蕾拉,206,32,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,29,29,上白泽慧音,上白泽慧音,487,52,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
chara,30,30,因幡天为（因幡帝）,因幡天为（因幡帝）,239,31,available_crawled,data_raw/cn_official_legacy/round_09/raw/advanced/entity/catalog/chara.json
