round,category,id,geo_key,geo_name,all,sum,male,female,per,maleper,femaleper
9,chara,1,01,北京,713,246,194,52,34.5,32.88,42.28
9,chara,1,02,上海,757,256,213,43,33.82,34.3,31.62
9,chara,1,03,广东,1570,521,456,65,33.18,33.88,29.02
9,chara,1,04,天津,253,85,76,9,33.6,35.35,23.68
9,chara,1,05,重庆,244,79,69,10,32.38,32.86,29.41
9,chara,1,06,四川,604,194,163,31,32.12,31.77,34.07
9,chara,1,07,江苏,993,334,282,52,33.64,32.56,40.94
9,chara,1,08,浙江,853,312,258,54,36.58,35.64,41.86
9,chara,1,09,湖北,576,224,197,27,38.89,39.32,36
9,chara,1,10,湖南,356,142,119,23,39.89,40.61,36.51
9,chara,1,11,山东,592,201,172,29,33.95,33.46,37.66
9,chara,1,12,山西,137,46,39,7,33.58,32.5,41.18
9,chara,1,13,河北,281,93,83,10,33.1,33.6,30.3
9,chara,1,14,河南,380,134,118,16,35.26,35.22,35.56
9,chara,1,15,黑龙江,192,62,56,6,32.29,32.94,27.27
9,chara,1,16,吉林,123,40,36,4,32.52,33.64,25
9,chara,1,17,辽宁,303,87,70,17,28.71,27.45,35.42
9,chara,1,18,陕西,250,87,75,12,34.8,34.56,36.36
9,chara,1,19,内蒙古,87,33,27,6,37.93,36.99,42.86
9,chara,1,20,安徽,349,133,115,18,38.11,37.58,41.86
9,chara,1,21,福建,480,168,141,27,35,35.7,31.76
9,chara,1,22,江西,337,125,109,16,37.09,38.25,30.77
9,chara,1,23,广西,392,141,110,31,35.97,34.38,43.06
9,chara,1,24,海南,76,29,26,3,38.16,41.27,23.08
9,chara,1,25,贵州,143,57,48,9,39.86,39.34,42.86
9,chara,1,26,云南,125,40,40,,32,36.04,
9,chara,1,27,甘肃,57,20,18,2,35.09,39.13,18.18
9,chara,1,28,宁夏,10,4,4,,40,40,
9,chara,1,29,青海,15,4,4,,26.67,30.77,
9,chara,1,30,新疆,57,17,12,5,29.82,25.53,50
9,chara,1,31,西藏,1,1,1,,100,100,
9,chara,1,32,香港,66,20,14,6,30.3,26.92,42.86
