round,category,id,group,question_index,question_id,question,multi,option_index,option,all_count,male_count,female_count,sum_count,all_percent,male_percent,female_percent,total_all,total_male,total_female,total_diff
9,chara,1,,0,3,您正式接触东方Project多久,0,0,不到一个月,33,23,10,33,0.28,0.23,0.58,11674,9955,1719,0
9,chara,1,,0,3,您正式接触东方Project多久,0,1,半年以内,317,257,60,317,2.72,2.58,3.49,11674,9955,1719,0
9,chara,1,,0,3,您正式接触东方Project多久,0,2,半年到一年（2019年下半年或之后）,933,814,119,933,7.99,8.18,6.92,11674,9955,1719,0
9,chara,1,,0,3,您正式接触东方Project多久,0,3,一年到三年（2017年或之后）,1365,1186,179,1365,11.69,11.91,10.41,11674,9955,1719,0
9,chara,1,,0,3,您正式接触东方Project多久,0,4,三年到五年（2015年或之后）,732,626,106,732,6.27,6.29,6.17,11674,9955,1719,0
9,chara,1,,0,3,您正式接触东方Project多久,0,5,五年到七年（2013年或之后）,386,323,63,386,3.31,3.24,3.66,11674,9955,1719,0
9,chara,1,,0,3,您正式接触东方Project多久,0,6,七年到十年（2010年或之后）,226,165,61,226,1.94,1.66,3.55,11674,9955,1719,0
9,chara,1,,0,3,您正式接触东方Project多久,0,7,十年以上,46,36,10,46,0.39,0.36,0.58,11674,9955,1719,0
9,chara,1,,1,5,原作和二次同人您更热衷于,0,0,原作,472,393,79,472,4.04,3.95,4.6,11670,9952,1718,0
9,chara,1,,1,5,原作和二次同人您更热衷于,0,1,二次同人,297,254,43,297,2.54,2.55,2.5,11670,9952,1718,0
9,chara,1,,1,5,原作和二次同人您更热衷于,0,2,都很喜欢,3234,2761,473,3234,27.71,27.74,27.53,11670,9952,1718,0
9,chara,1,,1,5,原作和二次同人您更热衷于,0,3,都没兴趣,34,22,12,34,0.29,0.22,0.7,11670,9952,1718,0
9,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,0,STG（射击类）,1689,1413,276,1689,14.47,14.19,16.06,11674,9955,1719,0
9,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,1,FTG（格斗类）,526,465,61,526,4.51,4.67,3.55,11674,9955,1719,0
9,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,2,都喜欢,1675,1442,233,1675,14.35,14.49,13.55,11674,9955,1719,0
9,chara,1,,2,1,您更喜欢官方游戏中的哪一类,0,3,对官方游戏不感兴趣，也不会去玩,148,110,38,148,1.27,1.1,2.21,11674,9955,1719,0
9,chara,1,,3,1,您是否玩过旧五作,0,0,玩过,1102,932,170,1102,9.84,9.75,10.38,11195,9557,1638,0
9,chara,1,,3,1,您是否玩过旧五作,0,1,并未玩过,2764,2368,396,2764,24.69,24.78,24.18,11195,9557,1638,0
9,chara,1,,3,1,您是否玩过旧五作,0,2,不知道旧五作是什么,26,22,4,26,0.23,0.23,0.24,11195,9557,1638,0
9,chara,1,,4,3,您最喜欢东方原作的哪方面,1,0,游戏本身,2485,2134,351,2485,21.49,21.61,20.74,11565,9873,1692,0
9,chara,1,,4,3,您最喜欢东方原作的哪方面,1,1,音乐曲目,3671,3138,533,3671,31.74,31.78,31.5,11565,9873,1692,0
9,chara,1,,4,3,您最喜欢东方原作的哪方面,1,2,人物设定,3626,3070,556,3626,31.35,31.09,32.86,11565,9873,1692,0
9,chara,1,,4,3,您最喜欢东方原作的哪方面,1,3,故事剧情,2951,2494,457,2951,25.52,25.26,27.01,11565,9873,1692,0
9,chara,1,,4,3,您最喜欢东方原作的哪方面,1,4,对原作完全不感兴趣,15,10,5,15,0.13,0.1,0.3,11565,9873,1692,0
9,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,0,东方醉蝶华（月刊）,1923,1653,270,1923,16.62,16.73,15.96,11570,9878,1692,0
9,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,1,东方智灵奇传（网络连载）,992,812,180,992,8.57,8.22,10.64,11570,9878,1692,0
9,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,2,新东方香霖堂（半年刊）,1024,853,171,1024,8.85,8.64,10.11,11570,9878,1692,0
9,chara,1,,5,2,您关注哪些近期连载的官方连载作品,1,3,都不关注,1449,1252,197,1449,12.52,12.67,11.64,11570,9878,1692,0
9,chara,1,,6,0,对二次同人是否有兴趣,0,0,非常热衷,2640,2203,437,2640,22.61,22.13,25.42,11674,9955,1719,0
9,chara,1,,6,0,对二次同人是否有兴趣,0,1,有些兴趣,1335,1178,157,1335,11.44,11.83,9.13,11674,9955,1719,0
9,chara,1,,6,0,对二次同人是否有兴趣,0,2,完全不感兴趣,63,49,14,63,0.54,0.49,0.81,11674,9955,1719,0
9,chara,1,,7,1,在二次同人中您最关注,1,0,音乐,3330,2845,485,3330,29.3,29.28,29.39,11365,9715,1650,0
9,chara,1,,7,1,在二次同人中您最关注,1,1,漫画,2524,2101,423,2524,22.21,21.63,25.64,11365,9715,1650,0
9,chara,1,,7,1,在二次同人中您最关注,1,2,游戏,2455,2159,296,2455,21.6,22.22,17.94,11365,9715,1650,0
9,chara,1,,7,1,在二次同人中您最关注,1,3,绘画,2378,1938,440,2378,20.92,19.95,26.67,11365,9715,1650,0
9,chara,1,,7,1,在二次同人中您最关注,1,4,视频,2662,2304,358,2662,23.42,23.72,21.7,11365,9715,1650,0
9,chara,1,,7,1,在二次同人中您最关注,1,5,小说,1159,956,203,1159,10.2,9.84,12.3,11365,9715,1650,0
9,chara,1,,7,1,在二次同人中您最关注,1,6,实物,1119,927,192,1119,9.85,9.54,11.64,11365,9715,1650,0
9,chara,1,,7,1,在二次同人中您最关注,1,7,其他,420,347,73,420,3.7,3.57,4.42,11365,9715,1650,0
9,chara,1,,8,2,购买过二次同人作品吗（非国内作品）,0,0,热衷于购买,348,281,67,348,3.04,2.87,4,11460,9785,1675,0
9,chara,1,,8,2,购买过二次同人作品吗（非国内作品）,0,1,购买过,1346,1117,229,1346,11.75,11.42,13.67,11460,9785,1675,0
9,chara,1,,8,2,购买过二次同人作品吗（非国内作品）,0,2,想买但是没有条件,1519,1314,205,1519,13.25,13.43,12.24,11460,9785,1675,0
9,chara,1,,8,2,购买过二次同人作品吗（非国内作品）,0,3,没有考虑过,762,669,93,762,6.65,6.84,5.55,11460,9785,1675,0
9,chara,1,,9,3,购买过国内创作的二次同人作品吗,0,0,热衷于购买,402,322,80,402,3.51,3.29,4.77,11465,9788,1677,0
9,chara,1,,9,3,购买过国内创作的二次同人作品吗,0,1,购买过,1740,1465,275,1740,15.18,14.97,16.4,11465,9788,1677,0
9,chara,1,,9,3,购买过国内创作的二次同人作品吗,0,2,想买但是没有条件,1005,885,120,1005,8.77,9.04,7.16,11465,9788,1677,0
9,chara,1,,9,3,购买过国内创作的二次同人作品吗,0,3,没有考虑过,828,709,119,828,7.22,7.24,7.1,11465,9788,1677,0
9,chara,1,,10,4,有想过做东方的同人创作吗,0,0,已经做过或正在做,769,557,212,769,6.71,5.69,12.65,11465,9789,1676,0
9,chara,1,,10,4,有想过做东方的同人创作吗,0,1,想过还没有实际做过,1989,1708,281,1989,17.35,17.45,16.77,11465,9789,1676,0
9,chara,1,,10,4,有想过做东方的同人创作吗,0,2,没有想过,1216,1116,100,1216,10.61,11.4,5.97,11465,9789,1676,0
9,chara,1,,11,6,是否购买实物型周边（手办、抱枕、挂链、钱包、贴纸、挂画等类）,0,0,有购买,2362,1966,396,2362,20.24,19.75,23.05,11672,9954,1718,0
