round,category,id,question,option_index,option,all,male,female
9,chara,1,您的年龄阶段,0,未满10岁,7,5,2
9,chara,1,您的年龄阶段,1,10-14岁,207,151,56
9,chara,1,您的年龄阶段,2,15-19岁,2263,1922,341
9,chara,1,您的年龄阶段,3,20-24岁,1350,1172,178
9,chara,1,您的年龄阶段,4,25-29岁,166,146,20
9,chara,1,您的年龄阶段,5,30-40岁,43,33,10
9,chara,1,您的年龄阶段,6,40岁以上,2,1,1
9,chara,2,您的年龄阶段,0,未满10岁,10,7,3
9,chara,2,您的年龄阶段,1,10-14岁,203,144,59
9,chara,2,您的年龄阶段,2,15-19岁,2138,1815,323
9,chara,2,您的年龄阶段,3,20-24岁,1148,982,166
9,chara,2,您的年龄阶段,4,25-29岁,130,115,15
9,chara,2,您的年龄阶段,5,30-40岁,28,20,8
9,chara,2,您的年龄阶段,6,40岁以上,3,1,2
9,chara,3,您的年龄阶段,0,未满10岁,2,1,1
9,chara,3,您的年龄阶段,1,10-14岁,30,17,13
9,chara,3,您的年龄阶段,2,15-19岁,321,285,36
9,chara,3,您的年龄阶段,3,20-24岁,163,156,7
9,chara,3,您的年龄阶段,4,25-29岁,18,18,0
9,chara,3,您的年龄阶段,5,30-40岁,8,6,2
9,chara,3,您的年龄阶段,6,40岁以上,0,0,0
9,chara,4,您的年龄阶段,0,未满10岁,0,0,0
9,chara,4,您的年龄阶段,1,10-14岁,5,4,1
9,chara,4,您的年龄阶段,2,15-19岁,166,154,12
9,chara,4,您的年龄阶段,3,20-24岁,129,123,6
9,chara,4,您的年龄阶段,4,25-29岁,21,21,0
9,chara,4,您的年龄阶段,5,30-40岁,7,6,1
9,chara,4,您的年龄阶段,6,40岁以上,0,0,0
9,chara,5,您的年龄阶段,0,未满10岁,2,1,1
9,chara,5,您的年龄阶段,1,10-14岁,101,73,28
9,chara,5,您的年龄阶段,2,15-19岁,932,838,94
9,chara,5,您的年龄阶段,3,20-24岁,476,418,58
9,chara,5,您的年龄阶段,4,25-29岁,60,56,4
9,chara,5,您的年龄阶段,5,30-40岁,17,15,2
9,chara,5,您的年龄阶段,6,40岁以上,2,1,1
9,chara,6,您的年龄阶段,0,未满10岁,1,1,0
9,chara,6,您的年龄阶段,1,10-14岁,37,25,12
9,chara,6,您的年龄阶段,2,15-19岁,472,388,84
9,chara,6,您的年龄阶段,3,20-24岁,281,242,39
9,chara,6,您的年龄阶段,4,25-29岁,40,35,5
9,chara,6,您的年龄阶段,5,30-40岁,13,12,1
9,chara,6,您的年龄阶段,6,40岁以上,1,1,0
9,chara,7,您的年龄阶段,0,未满10岁,0,0,0
9,chara,7,您的年龄阶段,1,10-14岁,3,3,0
9,chara,7,您的年龄阶段,2,15-19岁,111,100,11
9,chara,7,您的年龄阶段,3,20-24岁,95,86,9
9,chara,7,您的年龄阶段,4,25-29岁,17,17,0
9,chara,7,您的年龄阶段,5,30-40岁,3,2,1
9,chara,7,您的年龄阶段,6,40岁以上,0,0,0
9,chara,8,您的年龄阶段,0,未满10岁,4,3,1
9,chara,8,您的年龄阶段,1,10-14岁,38,25,13
9,chara,8,您的年龄阶段,2,15-19岁,583,511,72
9,chara,8,您的年龄阶段,3,20-24岁,410,368,42
9,chara,8,您的年龄阶段,4,25-29岁,88,76,12
9,chara,8,您的年龄阶段,5,30-40岁,15,13,2
9,chara,8,您的年龄阶段,6,40岁以上,3,2,1
9,chara,9,您的年龄阶段,0,未满10岁,2,1,1
9,chara,9,您的年龄阶段,1,10-14岁,119,83,36
