id,name,group,vote,first,info,ratio,vratio,fratio,vote1,first1,ratio1,vratio1,fratio1,vote2,first2,ratio2,vratio2,fratio2
1,博丽灵梦,主角,4038,718,<a href='./?m=info&type=chara&id=1' target='_blank'>点击查看详情</a>,17.78%,35.57%,6.52%,2675,519,19.4%,32.88%,6.56%,2271,422,18.58%,33.54%,6.41%
2,雾雨魔理沙,主角,3660,696,<a href='./?m=info&type=chara&id=2' target='_blank'>点击查看详情</a>,19.02%,32.24%,6.32%,2294,407,17.74%,28.2%,5.15%,1851,320,17.29%,27.34%,4.86%
3,露米娅,东方红魔乡,542,49,<a href='./?m=info&type=chara&id=3' target='_blank'>点击查看详情</a>,9.04%,4.77%,0.45%,356,50,14.04%,4.38%,0.63%,314,32,10.19%,4.64%,0.49%
4,大妖精,东方红魔乡,328,26,<a href='./?m=info&type=chara&id=4' target='_blank'>点击查看详情</a>,7.93%,2.89%,0.24%,233,15,6.44%,2.86%,0.19%,228,15,6.58%,3.37%,0.23%
5,琪露诺,东方红魔乡,1590,305,<a href='./?m=info&type=chara&id=5' target='_blank'>点击查看详情</a>,19.18%,14.01%,2.77%,951,175,18.4%,11.69%,2.21%,863,138,15.99%,12.75%,2.1%
6,红美铃,东方红魔乡,845,112,<a href='./?m=info&type=chara&id=6' target='_blank'>点击查看详情</a>,13.25%,7.44%,1.02%,619,63,10.18%,7.61%,0.8%,480,52,10.83%,7.09%,0.79%
7,小恶魔,东方红魔乡,229,20,<a href='./?m=info&type=chara&id=7' target='_blank'>点击查看详情</a>,8.73%,2.02%,0.18%,169,14,8.28%,2.08%,0.18%,161,13,8.07%,2.38%,0.2%
8,帕秋莉·诺蕾姬,东方红魔乡,1141,182,<a href='./?m=info&type=chara&id=8' target='_blank'>点击查看详情</a>,15.95%,10.05%,1.65%,873,155,17.75%,10.73%,1.96%,757,124,16.38%,11.18%,1.88%
9,十六夜咲夜,东方红魔乡,2529,454,<a href='./?m=info&type=chara&id=9' target='_blank'>点击查看详情</a>,17.95%,22.28%,4.13%,1621,300,18.51%,19.93%,3.79%,1264,202,15.98%,18.67%,3.07%
10,蕾米莉亚·斯卡蕾特,东方红魔乡,2046,354,<a href='./?m=info&type=chara&id=10' target='_blank'>点击查看详情</a>,17.3%,18.02%,3.22%,1568,267,17.03%,19.27%,3.38%,1372,231,16.84%,20.26%,3.51%
11,芙兰朵露·斯卡蕾特,东方红魔乡,1776,368,<a href='./?m=info&type=chara&id=11' target='_blank'>点击查看详情</a>,20.72%,15.65%,3.34%,1289,269,20.87%,15.85%,3.4%,1087,217,19.96%,16.05%,3.3%
12,冴月麟,东方红魔乡,281,29,<a href='./?m=info&type=chara&id=12' target='_blank'>点击查看详情</a>,10.32%,2.48%,0.26%,142,14,9.86%,1.75%,0.18%,126,13,10.32%,1.86%,0.2%
13,蕾蒂·霍瓦特洛克,东方妖妖梦,97,11,<a href='./?m=info&type=chara&id=13' target='_blank'>点击查看详情</a>,11.34%,0.85%,0.1%,61,7,11.48%,0.75%,0.09%,56,8,14.29%,0.83%,0.12%
14,橙,东方妖妖梦,185,20,<a href='./?m=info&type=chara&id=14' target='_blank'>点击查看详情</a>,10.81%,1.63%,0.18%,142,8,5.63%,1.75%,0.1%,126,7,5.56%,1.86%,0.11%
15,爱丽丝·玛格特洛依德,东方妖妖梦,1657,296,<a href='./?m=info&type=chara&id=15' target='_blank'>点击查看详情</a>,17.86%,14.6%,2.69%,1353,267,19.73%,16.63%,3.38%,1120,223,19.91%,16.54%,3.39%
16,莉莉白,东方妖妖梦,421,37,<a href='./?m=info&type=chara&id=16' target='_blank'>点击查看详情</a>,8.79%,3.71%,0.34%,212,23,10.85%,2.61%,0.29%,168,17,10.12%,2.48%,0.26%
17,露娜萨·普莉兹姆利巴,东方妖妖梦,76,5,<a href='./?m=info&type=chara&id=17' target='_blank'>点击查看详情</a>,6.58%,0.67%,0.05%,47,1,2.13%,0.58%,0.01%,50,3,6%,0.74%,0.05%
18,梅露兰·普莉兹姆利巴,东方妖妖梦,31,2,<a href='./?m=info&type=chara&id=18' target='_blank'>点击查看详情</a>,6.45%,0.27%,0.02%,21,2,9.52%,0.26%,0.03%,23,2,8.7%,0.34%,0.03%
19,莉莉卡·普莉兹姆利巴,东方妖妖梦,32,2,<a href='./?m=info&type=chara&id=19' target='_blank'>点击查看详情</a>,6.25%,0.28%,0.02%,24,0,0%,0.3%,0%,19,1,5.26%,0.28%,0.02%
20,魂魄妖梦,东方妖妖梦,2172,380,<a href='./?m=info&type=chara&id=20' target='_blank'>点击查看详情</a>,17.5%,19.13%,3.45%,1326,224,16.89%,16.3%,2.83%,1059,187,17.66%,15.64%,2.84%
21,西行寺幽幽子,东方妖妖梦,1753,387,<a href='./?m=info&type=chara&id=21' target='_blank'>点击查看详情</a>,22.08%,15.44%,3.52%,1341,301,22.45%,16.48%,3.81%,1217,309,25.39%,17.97%,4.69%
22,八云蓝,东方妖妖梦,350,36,<a href='./?m=info&type=chara&id=22' target='_blank'>点击查看详情</a>,10.29%,3.08%,0.33%,220,21,9.55%,2.7%,0.27%,226,25,11.06%,3.34%,0.38%
23,八云紫,东方妖妖梦,1763,295,<a href='./?m=info&type=chara&id=23' target='_blank'>点击查看详情</a>,16.73%,15.53%,2.68%,1375,230,16.73%,16.9%,2.91%,1290,216,16.74%,19.05%,3.28%
24,魂魄妖忌,东方妖妖梦,43,0,<a href='./?m=info&type=chara&id=24' target='_blank'>点击查看详情</a>,0%,0.38%,0%,37,0,0%,0.45%,0%,31,1,3.23%,0.46%,0.02%
25,蕾拉·普莉兹姆利巴,东方妖妖梦,23,6,<a href='./?m=info&type=chara&id=25' target='_blank'>点击查看详情</a>,26.09%,0.2%,0.05%,21,2,9.52%,0.26%,0.03%,20,1,5%,0.3%,0.02%
26,伊吹萃香,东方萃梦想,1177,159,<a href='./?m=info&type=chara&id=26' target='_blank'>点击查看详情</a>,13.51%,10.37%,1.44%,767,96,12.52%,9.43%,1.21%,575,84,14.61%,8.49%,1.28%
27,莉格露·奈特巴格,东方永夜抄,86,18,<a href='./?m=info&type=chara&id=27' target='_blank'>点击查看详情</a>,20.93%,0.76%,0.16%,61,14,22.95%,0.75%,0.18%,45,9,20%,0.66%,0.14%
28,米斯蒂娅·萝蕾拉,东方永夜抄,206,32,<a href='./?m=info&type=chara&id=28' target='_blank'>点击查看详情</a>,15.53%,1.81%,0.29%,156,21,13.46%,1.92%,0.27%,151,29,19.21%,2.23%,0.44%
29,上白泽慧音,东方永夜抄,487,52,<a href='./?m=info&type=chara&id=29' target='_blank'>点击查看详情</a>,10.68%,4.29%,0.47%,376,46,12.23%,4.62%,0.58%,323,33,10.22%,4.77%,0.5%
30,因幡天为（因幡帝）,东方永夜抄,239,31,<a href='./?m=info&type=chara&id=30' target='_blank'>点击查看详情</a>,12.97%,2.11%,0.28%,180,19,10.56%,2.21%,0.24%,147,15,10.2%,2.17%,0.23%
31,铃仙·优昙华院·因幡,东方永夜抄,1520,223,<a href='./?m=info&type=chara&id=31' target='_blank'>点击查看详情</a>,14.67%,13.39%,2.03%,967,150,15.51%,11.89%,1.9%,908,139,15.31%,13.41%,2.11%
32,八意永琳,东方永夜抄,417,47,<a href='./?m=info&type=chara&id=32' target='_blank'>点击查看详情</a>,11.27%,3.67%,0.43%,257,33,12.84%,3.16%,0.42%,303,43,14.19%,4.47%,0.65%
33,蓬莱山辉夜,东方永夜抄,1070,135,<a href='./?m=info&type=chara&id=33' target='_blank'>点击查看详情</a>,12.62%,9.43%,1.23%,802,126,15.71%,9.86%,1.59%,794,145,18.26%,11.73%,2.2%
34,藤原妹红,东方永夜抄,1828,308,<a href='./?m=info&type=chara&id=34' target='_blank'>点击查看详情</a>,16.85%,16.1%,2.8%,1337,234,17.5%,16.44%,2.96%,1207,222,18.39%,17.83%,3.37%
35,射命丸文,东方花映塚,1992,343,<a href='./?m=info&type=chara&id=35' target='_blank'>点击查看详情</a>,17.22%,17.55%,3.12%,1335,257,19.25%,16.41%,3.25%,1155,261,22.6%,17.06%,3.97%
36,梅蒂欣·梅兰可莉,东方花映塚,94,20,<a href='./?m=info&type=chara&id=36' target='_blank'>点击查看详情</a>,21.28%,0.83%,0.18%,77,12,15.58%,0.95%,0.15%,82,11,13.41%,1.21%,0.17%
