id,vote,first,info,type,chara1,charaName1,chara2,charaName2,chara3,charaName3,male,female,hmratio,hfratio,hmaratio,hfaratio,vector1,vector2,vector3,vector0,ratio,vratio
1,56,26,<a href='./?m=info&type=cp&id=020021023' target='_blank'>点击查看详情</a>,1,20,<a href='./?m=info&type=chara&id=20' target='_blank'>魂魄妖梦</a>,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,48,8,85.71%,14.29%,0.48%,0.47%,0%,16.07%,21.43%,62.5%,46.43,0.68%
2,179,38,<a href='./?m=info&type=cp&id=029033034' target='_blank'>点击查看详情</a>,1,29,<a href='./?m=info&type=chara&id=29' target='_blank'>上白泽慧音</a>,33,<a href='./?m=info&type=chara&id=33' target='_blank'>蓬莱山辉夜</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,162,17,90.5%,9.5%,1.63%,0.99%,2.79%,9.5%,31.28%,56.42%,21.23,2.16%
3,3,1,<a href='./?m=info&type=cp&id=042042000' target='_blank'>点击查看详情</a>,1,42,<a href='./?m=info&type=chara&id=42' target='_blank'>键山雏</a>,42,<a href='./?m=info&type=chara&id=42' target='_blank'>键山雏</a>,0,-,3,0,100%,0%,0.03%,0%,0%,0%,-,100%,33.33,0.04%
4,161,32,<a href='./?m=info&type=cp&id=139140141' target='_blank'>点击查看详情</a>,1,139,<a href='./?m=info&type=chara&id=139' target='_blank'>桑尼米尔克</a>,140,<a href='./?m=info&type=chara&id=140' target='_blank'>露娜切尔德</a>,141,<a href='./?m=info&type=chara&id=141' target='_blank'>斯塔萨菲雅</a>,153,8,95.03%,4.97%,1.54%,0.47%,9.94%,3.73%,3.73%,82.61%,19.88,1.94%
5,12,3,<a href='./?m=info&type=cp&id=013016000' target='_blank'>点击查看详情</a>,1,13,<a href='./?m=info&type=chara&id=13' target='_blank'>蕾蒂·霍瓦特洛克</a>,16,<a href='./?m=info&type=chara&id=16' target='_blank'>莉莉白</a>,0,-,8,4,66.67%,33.33%,0.08%,0.23%,0%,25%,-,75%,25,0.14%
6,2364,784,<a href='./?m=info&type=cp&id=001002000' target='_blank'>点击查看详情</a>,1,1,<a href='./?m=info&type=chara&id=1' target='_blank'>博丽灵梦</a>,2,<a href='./?m=info&type=chara&id=2' target='_blank'>雾雨魔理沙</a>,0,-,1912,452,80.88%,19.12%,19.21%,26.29%,18.99%,16.75%,-,64.26%,33.16,28.55%
7,213,50,<a href='./?m=info&type=cp&id=035044000' target='_blank'>点击查看详情</a>,1,35,<a href='./?m=info&type=chara&id=35' target='_blank'>射命丸文</a>,44,<a href='./?m=info&type=chara&id=44' target='_blank'>犬走椛</a>,0,-,197,16,92.49%,7.51%,1.98%,0.93%,56.34%,4.69%,-,38.97%,23.47,2.57%
8,1738,658,<a href='./?m=info&type=cp&id=134135000' target='_blank'>点击查看详情</a>,1,134,<a href='./?m=info&type=chara&id=134' target='_blank'>宇佐见莲子</a>,135,<a href='./?m=info&type=chara&id=135' target='_blank'>玛艾露贝莉·赫恩（梅莉）</a>,0,-,1449,289,83.37%,16.63%,14.56%,16.81%,22.15%,7.65%,-,70.2%,37.86,20.99%
9,293,35,<a href='./?m=info&type=cp&id=046047000' target='_blank'>点击查看详情</a>,1,46,<a href='./?m=info&type=chara&id=46' target='_blank'>八坂神奈子</a>,47,<a href='./?m=info&type=chara&id=47' target='_blank'>洩矢诹访子</a>,0,-,200,93,68.26%,31.74%,2.01%,5.41%,10.92%,31.06%,-,58.02%,11.95,3.54%
10,1120,364,<a href='./?m=info&type=cp&id=021023000' target='_blank'>点击查看详情</a>,1,21,<a href='./?m=info&type=chara&id=21' target='_blank'>西行寺幽幽子</a>,23,<a href='./?m=info&type=chara&id=23' target='_blank'>八云紫</a>,0,-,913,207,81.52%,18.48%,9.17%,12.04%,5.36%,30.09%,-,64.55%,32.5,13.52%
11,93,15,<a href='./?m=info&type=cp&id=071072000' target='_blank'>点击查看详情</a>,1,71,<a href='./?m=info&type=chara&id=71' target='_blank'>宫古芳香</a>,72,<a href='./?m=info&type=chara&id=72' target='_blank'>霍青娥</a>,0,-,54,39,58.06%,41.94%,0.54%,2.27%,6.45%,48.39%,-,45.16%,16.13,1.12%
12,686,194,<a href='./?m=info&type=cp&id=010011000' target='_blank'>点击查看详情</a>,1,10,<a href='./?m=info&type=chara&id=10' target='_blank'>蕾米莉亚·斯卡蕾特</a>,11,<a href='./?m=info&type=chara&id=11' target='_blank'>芙兰朵露·斯卡蕾特</a>,0,-,579,107,84.4%,15.6%,5.82%,6.22%,15.31%,20.41%,-,64.29%,28.28,8.28%
13,45,9,<a href='./?m=info&type=cp&id=065084000' target='_blank'>点击查看详情</a>,1,65,<a href='./?m=info&type=chara&id=65' target='_blank'>封兽鵺</a>,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,0,-,35,10,77.78%,22.22%,0.35%,0.58%,24.44%,13.33%,-,62.22%,20,0.54%
14,1251,309,<a href='./?m=info&type=cp&id=033034000' target='_blank'>点击查看详情</a>,1,33,<a href='./?m=info&type=chara&id=33' target='_blank'>蓬莱山辉夜</a>,34,<a href='./?m=info&type=chara&id=34' target='_blank'>藤原妹红</a>,0,-,992,259,79.3%,20.7%,9.96%,15.07%,20.62%,17.75%,-,61.63%,24.7,15.11%
15,481,113,<a href='./?m=info&type=cp&id=084085000' target='_blank'>点击查看详情</a>,1,84,<a href='./?m=info&type=chara&id=84' target='_blank'>鬼人正邪</a>,85,<a href='./?m=info&type=chara&id=85' target='_blank'>少名针妙丸</a>,0,-,384,97,79.83%,20.17%,3.86%,5.64%,33.68%,10.4%,-,55.93%,23.49,5.81%
