id,name,group,by,info,v0,v1,v2,v3,v4,v5,v6
TH02,东方封魔录,PC-98,TH02,<a href='./?m=info&type=work&id=35' target='_blank'>点击查看详情</a>,5398 (91.31%),277 (4.69%),184 (3.11%),26 (0.44%),24 (0.41%),34 (0.58%),-
TH03,东方梦时空,PC-98,TH03,<a href='./?m=info&type=work&id=36' target='_blank'>点击查看详情</a>,5276 (89.24%),335 (5.67%),229 (3.87%),43 (0.73%),29 (0.49%),-,-
TH04,东方幻想乡,PC-98,TH04,<a href='./?m=info&type=work&id=33' target='_blank'>点击查看详情</a>,5118 (86.57%),365 (6.17%),315 (5.33%),63 (1.07%),45 (0.76%),64 (1.08%),-
TH05,东方怪绮谈,PC-98,TH05,<a href='./?m=info&type=work&id=34' target='_blank'>点击查看详情</a>,5207 (88.08%),349 (5.9%),264 (4.47%),45 (0.76%),36 (0.61%),74 (1.25%),-
TH06,东方红魔乡,Win(STG),TH06,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,1973 (33.37%),1603 (27.11%),1665 (28.16%),366 (6.19%),275 (4.65%),595 (10.06%),-
TH07,东方妖妖梦,Win(STG),TH07,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,1905 (32.22%),1546 (26.15%),1660 (28.08%),420 (7.1%),351 (5.94%),704 (11.91%),417 (7.05%)
TH08,东方永夜抄,Win(STG),TH08,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,1020 (17.25%),1611 (27.25%),2124 (35.93%),682 (11.54%),436 (7.37%),964 (16.31%),-
TH09,东方花映塚,Win(STG),TH09,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,3013 (50.96%),1328 (22.46%),1072 (18.13%),241 (4.08%),238 (4.03%),225 (3.81%),-
TH10,东方风神录,Win(STG),TH10,<a href='./?m=info&type=work&id=12' target='_blank'>点击查看详情</a>,1810 (30.62%),1416 (23.95%),1794 (30.35%),475 (8.03%),396 (6.7%),821 (13.89%),-
TH11,东方地灵殿,Win(STG),TH11,<a href='./?m=info&type=work&id=14' target='_blank'>点击查看详情</a>,2501 (42.3%),1685 (28.5%),1183 (20.01%),258 (4.36%),250 (4.23%),595 (10.06%),-
TH12,东方星莲船,Win(STG),TH12,<a href='./?m=info&type=work&id=15' target='_blank'>点击查看详情</a>,3222 (54.5%),1406 (23.78%),922 (15.6%),187 (3.16%),163 (2.76%),375 (6.34%),-
TH12.8,妖精大战争,Win(STG),TH12.8,<a href='./?m=info&type=work&id=18' target='_blank'>点击查看详情</a>,4548 (76.93%),748 (12.65%),448 (7.58%),89 (1.51%),65 (1.1%),125 (2.11%),-
TH13,东方神灵庙,Win(STG),TH13,<a href='./?m=info&type=work&id=19' target='_blank'>点击查看详情</a>,2669 (45.15%),1306 (22.09%),1333 (22.55%),326 (5.51%),264 (4.47%),501 (8.47%),-
TH14,东方辉针城,Win(STG),TH14,<a href='./?m=info&type=work&id=21' target='_blank'>点击查看详情</a>,2617 (44.27%),1383 (23.39%),1328 (22.46%),304 (5.14%),267 (4.52%),569 (9.62%),-
TH16,东方天空璋,Win(STG),TH16,<a href='./?m=info&type=work&id=59' target='_blank'>点击查看详情</a>,2867 (48.49%),1314 (22.23%),1101 (18.62%),261 (4.41%),355 (6%),757 (12.8%),-
TH17,东方鬼形兽,Win(STG),TH17,<a href='./?m=info&type=work&id=64' target='_blank'>点击查看详情</a>,3099 (52.42%),1209 (20.45%),1116 (18.88%),241 (4.08%),233 (3.94%),569 (9.62%),-
