id,name,group,vote,first,info,ratio,vratio,fratio,vote1,first1,ratio1,vratio1,fratio1,vote2,first2,ratio2,vratio2,fratio2
1,A Sacred Lot,东方灵异传，幺乐团的历史 vol.5,46,1,<a href='./?m=info&type=music&id=1' target='_blank'>点击查看详情</a>,2.17%,0.5%,0.01%,25,0,0%,0.37%,0%,25,2,8%,0.44%,0.04%
2,永远之巫女,东方灵异传，蓬莱人形，幺乐团的历史 vol.5,851,70,<a href='./?m=info&type=music&id=2' target='_blank'>点击查看详情</a>,8.23%,9.25%,0.8%,483,52,10.77%,7.1%,0.8%,350,31,8.86%,6.1%,0.57%
3,The Positive and Negative,东方灵异传，幺乐团的历史 vol.5,16,1,<a href='./?m=info&type=music&id=3' target='_blank'>点击查看详情</a>,6.25%,0.17%,0.01%,14,0,0%,0.21%,0%,13,1,7.69%,0.23%,0.02%
4,Highly Responsive to Prayers,东方灵异传，幺乐团的历史 vol.5,14,1,<a href='./?m=info&type=music&id=4' target='_blank'>点击查看详情</a>,7.14%,0.15%,0.01%,7,1,14.29%,0.1%,0.02%,6,1,16.67%,0.1%,0.02%
5,东方怪奇谈,东方灵异传，蓬莱人形，幺乐团的历史 vol.5,58,5,<a href='./?m=info&type=music&id=5' target='_blank'>点击查看详情</a>,8.62%,0.63%,0.06%,24,0,0%,0.35%,0%,22,1,4.55%,0.38%,0.02%
6,天使传说,东方灵异传，幺乐团的历史 vol.5,19,1,<a href='./?m=info&type=music&id=6' target='_blank'>点击查看详情</a>,5.26%,0.21%,0.01%,11,0,0%,0.16%,0%,9,0,0%,0.16%,0%
7,Oriental Magician,东方灵异传，幺乐团的历史 vol.5,4,0,<a href='./?m=info&type=music&id=7' target='_blank'>点击查看详情</a>,0%,0.04%,0%,3,0,0%,0.04%,0%,1,0,0%,0.02%,0%
8,破邪的小太刀,东方灵异传，幺乐团的历史 vol.5,17,1,<a href='./?m=info&type=music&id=8' target='_blank'>点击查看详情</a>,5.88%,0.18%,0.01%,15,0,0%,0.22%,0%,11,0,0%,0.19%,0%
9,魔镜,东方灵异传，幺乐团的历史 vol.5,12,1,<a href='./?m=info&type=music&id=9' target='_blank'>点击查看详情</a>,8.33%,0.13%,0.01%,8,0,0%,0.12%,0%,6,1,16.67%,0.1%,0.02%
10,the Legend of KAGE,东方灵异传，幺乐团的历史 vol.5,4,0,<a href='./?m=info&type=music&id=10' target='_blank'>点击查看详情</a>,0%,0.04%,0%,2,0,0%,0.03%,0%,1,0,0%,0.02%,0%
11,来吧，直到倒地死去的那一刻,东方灵异传，幺乐团的历史 vol.5,120,7,<a href='./?m=info&type=music&id=11' target='_blank'>点击查看详情</a>,5.83%,1.3%,0.08%,74,3,4.05%,1.09%,0.05%,76,2,2.63%,1.32%,0.04%
12,同归于尽,东方灵异传，幺乐团的历史 vol.5,36,5,<a href='./?m=info&type=music&id=12' target='_blank'>点击查看详情</a>,13.89%,0.39%,0.06%,35,0,0%,0.51%,0%,24,1,4.17%,0.42%,0.02%
13,星幽剑士,东方灵异传，幺乐团的历史 vol.5,23,3,<a href='./?m=info&type=music&id=13' target='_blank'>点击查看详情</a>,13.04%,0.25%,0.03%,12,0,0%,0.18%,0%,13,1,7.69%,0.23%,0.02%
14,鸢尾花,东方灵异传，幺乐团的历史 vol.5,22,2,<a href='./?m=info&type=music&id=14' target='_blank'>点击查看详情</a>,9.09%,0.24%,0.02%,13,1,7.69%,0.19%,0.02%,8,1,12.5%,0.14%,0.02%
15,风之神社,东方灵异传，幺乐团的历史 vol.5,87,1,<a href='./?m=info&type=music&id=15' target='_blank'>点击查看详情</a>,1.15%,0.95%,0.01%,41,1,2.44%,0.6%,0.02%,38,3,7.89%,0.66%,0.06%
16,东方封魔录 ～ 净土曼荼罗,东方封魔录，幺乐团的历史 vol.3,18,0,<a href='./?m=info&type=music&id=16' target='_blank'>点击查看详情</a>,0%,0.2%,0%,6,1,16.67%,0.09%,0.02%,5,0,0%,0.09%,0%
17,博丽 ～ Eastern Wind,东方封魔录，幺乐团的历史 vol.3,30,4,<a href='./?m=info&type=music&id=17' target='_blank'>点击查看详情</a>,13.33%,0.33%,0.05%,10,2,20%,0.15%,0.03%,5,0,0%,0.09%,0%
18,She's in a temper!!,东方封魔录，幺乐团的历史 vol.3,15,3,<a href='./?m=info&type=music&id=18' target='_blank'>点击查看详情</a>,20%,0.16%,0.03%,5,0,0%,0.07%,0%,5,1,20%,0.09%,0.02%
19,End of Daylight,东方封魔录，幺乐团的历史 vol.3,46,6,<a href='./?m=info&type=music&id=19' target='_blank'>点击查看详情</a>,13.04%,0.5%,0.07%,33,0,0%,0.48%,0%,20,1,5%,0.35%,0.02%
20,黑暗的力量,东方封魔录，幺乐团的历史 vol.3,8,1,<a href='./?m=info&type=music&id=20' target='_blank'>点击查看详情</a>,12.5%,0.09%,0.01%,4,0,0%,0.06%,0%,3,0,0%,0.05%,0%
