id,name,jpname,group,weight,info,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,vratioa,male,female,hmratio,hfratio,hmaratio,hfaratio,vratio0
1,东方灵异传,東方霊異伝,PC-98游戏（STG）,90,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,game010,12,16,22,24%,0.15%,32%,0.2%,44%,0.27%,50,0.61%,40,10,80%,20%,0.4%,0.58%,
2,东方封魔录,東方封魔録,PC-98游戏（STG）,59,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,game020,11,9,8,39.29%,0.13%,32.14%,0.11%,28.57%,0.1%,28,0.34%,23,5,82.14%,17.86%,0.23%,0.29%,
3,东方梦时空,東方夢時空,PC-98游戏（STG）,211,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,game030,30,39,43,26.79%,0.37%,34.82%,0.48%,38.39%,0.52%,112,1.37%,78,34,69.64%,30.36%,0.78%,1.98%,
4,东方幻想乡,東方幻想郷,PC-98游戏（STG）,212,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,game040,41,33,23,42.27%,0.5%,34.02%,0.4%,23.71%,0.28%,97,1.18%,76,21,78.35%,21.65%,0.76%,1.22%,
5,东方怪绮谈,東方怪綺談,PC-98游戏（STG）,171,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,game050,24,40,19,28.92%,0.29%,48.19%,0.49%,22.89%,0.23%,83,1.01%,67,16,80.72%,19.28%,0.67%,0.93%,
6,东方红魔乡,東方紅魔郷,Windows游戏（STG）,3447,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,game060,748,455,293,50%,9.12%,30.41%,5.55%,19.59%,3.57%,1496,18.24%,1265,231,84.56%,15.44%,12.71%,13.44%,
7,东方妖妖梦,東方妖々夢,Windows游戏（STG）,3178,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,game070,626,497,306,43.81%,7.63%,34.78%,6.06%,21.41%,3.73%,1429,17.42%,1226,203,85.79%,14.21%,12.32%,11.81%,
8,东方萃梦想,東方萃夢想,Windows游戏（FTG）,209,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,game075,32,39,35,30.19%,0.39%,36.79%,0.48%,33.02%,0.43%,106,1.29%,89,17,83.96%,16.04%,0.89%,0.99%,
9,东方永夜抄,東方永夜抄,Windows游戏（STG）,6858,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,game080,1508,909,516,51.41%,18.38%,30.99%,11.08%,17.59%,6.29%,2933,35.75%,2501,432,85.27%,14.73%,25.12%,25.13%,
10,东方花映塚,東方花映塚,Windows游戏（STG）,737,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,game090,125,134,94,35.41%,1.52%,37.96%,1.63%,26.63%,1.15%,353,4.3%,275,78,77.9%,22.1%,2.76%,4.54%,
