id,name,jpname,group,weight,order,vote1,vote2,vote3,ratio1,vratio1,ratio2,vratio2,ratio3,vratio3,total,info,chara,charaList,charaVote,charaMid,charaArr
1,东方灵异传,東方霊異伝,PC-98游戏（STG）,90,game010,12,16,22,24%,0.15%,32%,0.2%,44%,0.27%,50,<a href='./?m=info&type=work&id=1' target='_blank'>点击查看详情</a>,7,神玉，魅魔，菊理，矜羯罗，幽玄魔眼，依莉斯，萨丽爱尔,333,11,48
2,东方封魔录,東方封魔録,PC-98游戏（STG）,59,game020,11,9,8,39.29%,0.13%,32.14%,0.11%,28.57%,0.1%,28,<a href='./?m=info&type=work&id=2' target='_blank'>点击查看详情</a>,6,魅魔，玄爷，里香，明罗，Flower～战车，邪眼西格玛,289,19,48
3,东方梦时空,東方夢時空,PC-98游戏（STG）,211,game030,30,39,43,26.79%,0.37%,34.82%,0.48%,38.39%,0.52%,112,<a href='./?m=info&type=work&id=3' target='_blank'>点击查看详情</a>,12,魅魔，玄爷，爱莲，小兔姬，卡娜·安娜贝拉尔，朝仓理香子，北白河千百合，冈崎梦美，咪咪号，留琴，玛○奇，苏格拉底,662,24,55
4,东方幻想乡,東方幻想郷,PC-98游戏（STG）,212,game040,41,33,23,42.27%,0.5%,34.02%,0.4%,23.71%,0.28%,97,<a href='./?m=info&type=work&id=4' target='_blank'>点击查看详情</a>,7,风见幽香，玄爷，奥莲姬，胡桃，艾丽，梦月，幻月,1051,25,150
5,东方怪绮谈,東方怪綺談,PC-98游戏（STG）,171,game050,24,40,19,28.92%,0.29%,48.19%,0.49%,22.89%,0.23%,83,<a href='./?m=info&type=work&id=5' target='_blank'>点击查看详情</a>,9,爱丽丝·玛格特洛依德，魅魔，玄爷，萨拉，露易兹，雪，舞，梦子，神绮,2267,25,252
6,东方红魔乡,東方紅魔郷,Windows游戏（STG）,3447,game060,748,455,293,50%,9.12%,30.41%,5.55%,19.59%,3.57%,1496,<a href='./?m=info&type=work&id=6' target='_blank'>点击查看详情</a>,10,露米娅，大妖精，琪露诺，红美铃，小恶魔，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，芙兰朵露·斯卡蕾特，冴月麟,11307,1141,1131
7,东方妖妖梦,東方妖々夢,Windows游戏（STG）,3178,game070,626,497,306,43.81%,7.63%,34.78%,6.06%,21.41%,3.73%,1429,<a href='./?m=info&type=work&id=7' target='_blank'>点击查看详情</a>,15,琪露诺，十六夜咲夜，蕾蒂·霍瓦特洛克，橙，爱丽丝·玛格特洛依德，莉莉白，露娜萨·普莉兹姆利巴，梅露兰·普莉兹姆利巴，莉莉卡·普莉兹姆利巴，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，魂魄妖忌，蕾拉·普莉兹姆利巴,12722,350,848
8,东方萃梦想,東方萃夢想,Windows游戏（FTG）,209,game075,32,39,35,30.19%,0.39%,36.79%,0.48%,33.02%,0.43%,106,<a href='./?m=info&type=work&id=8' target='_blank'>点击查看详情</a>,11,红美铃，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，橙，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，伊吹萃香,15618,1657,1420
9,东方永夜抄,東方永夜抄,Windows游戏（STG）,6858,game080,1508,909,516,51.41%,18.38%,30.99%,11.08%,17.59%,6.29%,2933,<a href='./?m=info&type=work&id=9' target='_blank'>点击查看详情</a>,17,帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，橙，爱丽丝·玛格特洛依德，魂魄妖梦，西行寺幽幽子，八云蓝，八云紫，莉格露·奈特巴格，米斯蒂娅·萝蕾拉，上白泽慧音，因幡天为（因幡帝），铃仙·优昙华院·因幡，八意永琳，蓬莱山辉夜，藤原妹红,19449,1141,1144
10,东方花映塚,東方花映塚,Windows游戏（STG）,737,game090,125,134,94,35.41%,1.52%,37.96%,1.63%,26.63%,1.15%,353,<a href='./?m=info&type=work&id=10' target='_blank'>点击查看详情</a>,19,琪露诺，帕秋莉·诺蕾姬，十六夜咲夜，蕾米莉亚·斯卡蕾特，莉莉白，露娜萨·普莉兹姆利巴，梅露兰·普莉兹姆利巴，莉莉卡·普莉兹姆利巴，魂魄妖梦，西行寺幽幽子，米斯蒂娅·萝蕾拉，因幡天为（因幡帝），铃仙·优昙华院·因幡，八意永琳，射命丸文，梅蒂欣·梅兰可莉，风见幽香，小野塚小町，四季映姬·夜摩仙那度,18255,868,961
